"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"COL","239","55","0","7.5%","12.6%",".335",".361",".363",".426",".698",".470","181","0.2","31.0%","89.4%","42.2%"
"CIN","223","42","0","10.3%","26.0%",".275",".350",".290",".373",".565",".396","143","-0.4","30.7%","90.9%","43.2%"
"OAK","195","28","7","10.8%","19.0%",".179",".320",".274",".374",".452",".362","137","1.4","28.8%","86.3%","39.7%"
"PHI","259","40","0","6.2%","17.8%",".277",".260",".260",".320",".536",".359","122","-0.7","33.2%","85.7%","41.7%"
"TBR","239","39","1","10.0%","23.0%",".235",".295",".258",".331",".493",".350","128","0.9","30.9%","85.4%","40.6%"
"BAL","224","26","6","4.0%","22.8%",".217",".327",".285",".321",".502",".348","123","0.2","34.6%","82.4%","40.0%"
"SDP","192","25","1","7.8%","21.9%",".138",".346",".282",".346",".420",".333","111","-1.0","31.2%","83.9%","39.8%"
"TOR","279","43","4","6.8%","17.9%",".190",".298",".269",".323",".458",".331","108","0.0","31.2%","89.7%","37.7%"
"NYY","274","37","3","9.5%","18.2%",".143",".306",".265",".347",".408",".328","109","0.2","29.8%","84.3%","40.1%"
"STL","224","23","2","8.9%","20.5%",".133",".310",".262",".345",".395",".327","106","0.4","28.7%","86.9%","37.5%"
"ATL","228","36","1","10.1%","18.0%",".177",".267",".247",".332",".424",".325","100","0.3","29.4%","86.4%","36.0%"
"MIN","244","29","0","10.2%","25.4%",".171",".309",".244",".324",".415",".322","104","0.0","29.7%","83.6%","35.3%"
"LAD","193","23","4","6.7%","20.7%",".171",".295",".257",".321",".429",".322","104","0.6","31.8%","83.2%","36.8%"
"CHW","225","31","5","8.4%","27.1%",".216",".267",".230",".302",".446",".319","106","0.4","33.5%","82.8%","44.8%"
"MIA","255","32","1","5.9%","25.1%",".169",".323",".257",".303",".426",".312","100","-0.2","33.0%","83.6%","33.7%"
"BOS","255","21","1","7.1%","22.0%",".123",".326",".268",".318",".391",".309","92","-1.0","32.0%","83.7%","44.2%"
"HOU","227","24","3","7.0%","25.1%",".190",".285",".242",".295",".431",".308","101","-0.1","32.5%","86.3%","39.6%"
"CLE","267","27","7","4.5%","21.3%",".124",".335",".279",".308",".402",".307","92","1.4","32.8%","85.4%","31.3%"
"WSN","262","31","1","8.0%","21.4%",".161",".267",".233",".305",".394",".304","87","-0.5","28.8%","87.0%","26.0%"
"SFG","290","39","2","7.6%","22.4%",".183",".265",".232",".292",".414",".300","91","-0.2","32.6%","87.8%","34.7%"
"MIL","226","27","4","8.4%","16.8%",".172",".230",".216",".283",".387",".285","77","0.4","30.5%","87.3%","33.3%"
"DET","217","21","2","7.4%","31.8%",".132",".323",".228",".286",".360",".281","76","0.3","32.8%","80.5%","40.5%"
"SEA","271","26","4","8.5%","26.2%",".120",".286",".224",".293",".344",".281","81","0.0","33.3%","87.8%","33.7%"
"LAA","264","28","6","8.3%","25.4%",".121",".294",".229",".292",".350",".281","78","0.2","34.7%","85.2%","28.0%"
"PIT","262","21","3","8.8%","25.6%",".099",".299",".220",".297",".319",".274","70","-0.4","29.0%","86.6%","27.2%"
"NYM","269","19","1","11.2%","23.8%",".129",".230",".189",".287",".318",".271","73","-0.9","34.4%","80.1%","36.6%"
"ARI","262","26","2","8.4%","27.9%",".084",".304",".219",".288",".304",".266","63","-0.3","29.9%","83.8%","38.6%"
"CHC","224","23","4","6.3%","33.0%",".091",".338",".230",".277",".321",".264","64","-0.6","34.0%","85.8%","28.7%"
"KCR","218","23","8","6.4%","22.0%",".121",".250",".212",".264",".333",".261","62","1.7","34.1%","89.3%","35.5%"
"TEX","243","15","6","5.8%","25.9%",".107",".224",".173",".226",".280",".224","38","-0.1","31.2%","85.8%","32.3%"
