"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","96","66","46","765","162","1474.1","9.90","2.77","1.10",".290","73.8 %","44.1 %","13.4 %","3.67","3.65","3.89","25.3"
"Dodgers","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7 %","44.9 %","14.1 %","3.39","3.73","3.87","24.0"
"Twins","101","61","50","686","162","1463.1","9.00","2.78","1.22",".309","71.8 %","41.8 %","13.4 %","4.18","4.03","4.27","23.9"
"Astros","107","55","47","654","162","1462.1","10.28","2.76","1.42",".270","76.8 %","43.6 %","16.7 %","3.66","3.98","3.80","23.7"
"Nationals","93","69","40","692","162","1439.1","9.45","3.23","1.26",".296","73.0 %","42.6 %","13.9 %","4.28","4.14","4.32","22.4"
"Indians","93","69","42","684","162","1437.2","9.44","2.82","1.30",".291","76.0 %","39.7 %","13.6 %","3.79","4.06","4.30","21.8"
"Mets","86","76","38","664","162","1461.0","9.36","3.08","1.26",".304","73.1 %","43.4 %","13.9 %","4.25","4.10","4.29","20.4"
"Athletics","97","65","45","712","162","1467.2","7.98","2.93","1.23",".278","75.1 %","41.4 %","12.6 %","3.97","4.34","4.72","18.7"
"Reds","75","87","46","697","162","1438.0","9.71","3.35","1.34",".286","73.7 %","44.3 %","16.4 %","4.18","4.23","4.10","18.6"
"Yankees","103","59","50","707","162","1443.0","9.57","3.16","1.55",".296","75.2 %","42.4 %","16.8 %","4.31","4.47","4.27","18.1"
"Cubs","84","78","38","738","162","1442.0","9.01","3.33","1.22",".300","74.2 %","45.9 %","15.0 %","4.10","4.25","4.29","16.9"
"Red Sox","84","78","33","794","162","1471.0","9.99","3.70","1.32",".312","70.8 %","42.6 %","14.4 %","4.70","4.28","4.39","16.5"
"Cardinals","91","71","52","704","162","1444.0","8.72","3.40","1.19",".283","75.8 %","44.9 %","14.5 %","3.82","4.27","4.36","15.6"
"Padres","70","92","47","705","162","1432.0","9.27","2.91","1.35",".299","70.0 %","43.0 %","14.8 %","4.63","4.22","4.29","15.5"
"Rangers","78","84","33","661","162","1438.0","8.63","3.65","1.51",".312","70.5 %","41.8 %","15.4 %","5.09","4.84","4.82","14.2"
"Diamondbacks","85","77","45","719","162","1465.0","8.77","3.17","1.35",".295","74.0 %","43.1 %","15.2 %","4.25","4.40","4.42","13.9"
"Brewers","89","73","50","750","162","1459.1","9.23","3.52","1.39",".292","73.1 %","42.2 %","15.6 %","4.40","4.46","4.42","12.9"
"Braves","97","65","44","737","162","1450.2","8.64","3.40","1.26",".302","73.8 %","45.2 %","15.0 %","4.20","4.39","4.42","12.3"
"White Sox","72","89","33","697","161","1412.2","8.36","3.71","1.52",".302","71.3 %","43.2 %","15.9 %","4.91","4.89","4.81","12.3"
"Tigers","47","114","31","740","161","1434.1","8.60","3.38","1.57",".317","68.8 %","42.7 %","15.9 %","5.25","4.84","4.75","11.2"
"Blue Jays","67","95","33","753","162","1440.1","8.32","3.77","1.42",".300","71.8 %","43.1 %","14.9 %","4.79","4.82","4.88","9.1"
"Pirates","69","93","31","712","162","1440.0","9.02","3.65","1.51",".315","68.9 %","42.2 %","15.7 %","5.19","4.78","4.72","8.8"
"Phillies","81","81","36","726","162","1453.2","8.62","3.38","1.60",".298","74.7 %","43.1 %","17.9 %","4.53","4.88","4.55","8.4"
"Royals","59","103","37","682","162","1425.0","7.77","3.68","1.40",".311","70.2 %","43.9 %","14.7 %","5.20","4.90","4.98","7.7"
"Giants","77","85","41","749","162","1469.0","8.38","3.18","1.39",".286","72.6 %","42.2 %","15.1 %","4.38","4.55","4.58","7.5"
"Rockies","71","91","28","752","162","1448.2","7.85","3.66","1.68",".308","68.6 %","46.1 %","19.0 %","5.58","5.23","4.75","6.8"
"Marlins","57","105","27","701","162","1444.1","8.59","3.83","1.47",".281","72.2 %","38.4 %","14.2 %","4.74","4.89","5.06","6.0"
"Mariners","68","94","34","700","162","1439.1","7.75","3.16","1.63",".291","68.4 %","43.4 %","16.4 %","5.00","5.00","4.85","5.8"
"Angels","72","90","32","751","162","1442.2","8.76","3.59","1.67",".290","71.0 %","40.4 %","17.0 %","5.12","5.04","4.80","5.8"
"Orioles","54","108","27","695","162","1443.0","7.78","3.50","1.90",".295","68.5 %","40.5 %","17.4 %","5.67","5.56","5.23","5.5"
