"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Nationals","119","301","13","54","51","7","12.0 %","24.9 %",".224",".370",".303",".385",".528",".377","132","0.1","12.3","1.8","2.3"
"Cardinals","107","282","13","35","31","5","11.7 %","28.0 %",".200",".287",".233",".340",".433",".331","107","0.8","3.2","3.2","1.5"
"Rangers","83","241","8","42","40","14","12.4 %","21.6 %",".192",".347",".291",".386",".483",".366","121","1.3","7.7","-1.9","1.4"
"Orioles","96","271","13","40","40","5","11.1 %","22.9 %",".211",".302",".262",".352",".473",".350","118","0.6","6.5","-2.5","1.3"
"Red Sox","114","277","8","41","37","5","8.7 %","22.7 %",".153",".361",".294",".357",".448",".341","109","-0.5","2.6","0.3","1.2"
"Dodgers","114","230","11","33","33","2","9.6 %","25.7 %",".224",".295",".249",".336",".473",".340","113","0.2","3.9","1.1","1.2"
"Mets","119","275","11","35","35","2","9.5 %","25.1 %",".191",".315",".261",".338",".452",".333","110","-1.2","2.3","1.1","1.2"
"Astros","94","246","11","27","27","6","11.8 %","19.1 %",".225",".232",".221",".325",".446",".328","107","0.9","3.2","-0.2","1.1"
"Brewers","110","253","8","30","29","1","11.1 %","25.7 %",".188",".301",".239",".337",".427",".328","99","-0.5","-0.9","3.0","1.0"
"Blue Jays","108","240","13","32","32","6","9.2 %","22.9 %",".245",".239",".226",".321",".471",".331","106","0.5","2.2","-0.8","1.0"
"White Sox","93","219","9","31","27","1","7.3 %","26.9 %",".192",".338",".268",".335",".460",".337","113","-0.5","2.9","-2.2","0.8"
"Twins","89","223","10","33","31","2","5.4 %","19.7 %",".212",".297",".269",".314",".481",".330","105","0.5","1.9","-1.9","0.8"
"Braves","88","210","6","24","23","3","9.0 %","25.2 %",".151",".339",".265",".344",".416",".326","98","0.2","-0.6","0.6","0.7"
"Reds","104","247","6","19","18","3","11.3 %","22.7 %",".167",".288",".233",".329",".400",".314","90","0.0","-3.6","1.3","0.5"
"Cubs","99","229","7","25","24","1","8.3 %","24.5 %",".161",".301",".244",".316",".405",".307","87","0.1","-4.3","2.5","0.5"
"Diamondbacks","111","260","7","32","29","1","12.3 %","25.0 %",".151",".279",".222",".323",".373",".299","83","0.3","-5.8","2.6","0.5"
"Rays","116","222","11","23","22","2","8.1 %","32.0 %",".207",".289",".227",".293",".433",".306","94","-0.4","-2.4","-0.7","0.5"
"Royals","77","175","3","21","20","1","5.7 %","28.0 %",".177",".355",".266",".314",".443",".316","95","-0.1","-1.5","-0.8","0.4"
"Phillies","129","314","11","30","29","3","7.3 %","25.2 %",".167",".278",".230",".294",".397",".291","77","0.8","-9.1","2.4","0.3"
"Athletics","95","222","7","13","13","3","10.4 %","20.3 %",".133",".229",".204",".294",".337",".277","74","0.9","-6.7","1.9","0.3"
"Marlins","122","282","12","30","29","7","3.5 %","25.5 %",".184",".290",".243",".276",".427",".293","84","-1.0","-7.3","0.5","0.2"
"Rockies","122","275","12","30","27","9","9.8 %","28.4 %",".191",".298",".237",".319",".427",".317","76","1.9","-7.1","0.5","0.2"
"Pirates","91","229","3","31","24","2","5.2 %","17.0 %",".108",".312",".268",".307",".376",".290","79","-0.5","-7.0","0.9","0.1"
"Indians","107","220","10","25","23","1","9.1 %","26.8 %",".192",".231",".202",".274",".394",".283","69","0.2","-8.6","1.4","0.1"
"Yankees","108","189","8","20","20","0","7.4 %","31.7 %",".186",".267",".209",".275",".395",".284","75","0.1","-6.0","-0.7","0.0"
"Giants","126","242","6","17","16","4","9.1 %","23.1 %",".126",".252",".210",".286",".336",".267","65","0.8","-10.7","0.6","-0.2"
"Angels","105","220","5","17","16","1","6.4 %","27.3 %",".139",".246",".194",".255",".333",".251","56","-0.2","-13.1","-0.3","-0.5"
"Padres","103","215","4","15","13","2","6.5 %","31.2 %",".122",".286",".204",".263",".327",".251","53","-0.8","-14.3","1.5","-0.6"
"Tigers","84","209","4","15","15","2","3.8 %","28.2 %",".131",".270",".206",".239",".337",".244","46","-0.6","-15.0","-1.1","-0.8"
"Mariners","99","199","1","8","8","2","6.5 %","30.2 %",".054",".242",".168",".226",".222",".202","23","0.7","-19.0","-0.9","-1.3"
