"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Athletics","13185.0","-11","-4","1","-7","10","-4","40","13","43","2104","1735",".825","533","","-8.1","8.5","-1.2","16.4","18.5","42.2","6.4","45.2"
"Indians","12939.0","21","7","2","0","7","12","10","16","74","1869","1535",".821","544","","13.3","12.8","-0.5","8.8","11.5","32.6","7.1","40.6"
"Cardinals","12996.0","-13","0","2","2","5","-4","58","29","93","1910","1569",".822","562","","-11.2","6.0","6.0","8.3","12.1","32.5","6.2","39.5"
"Diamondbacks","13185.0","3","-1","3","3","5","7","51","44","116","1841","1512",".821","679","","5.0","10.5","0.6","6.8","2.6","20.5","5.0","38.5"
"Phillies","13083.0","0","-2","10","-4","5","-2","29","7","50","2001","1616",".808","537","","7.7","8.8","-8.0","13.1","6.5","20.3","3.6","34.3"
"Royals","12825.0","-4","3","3","0","-4","6","1","-1","4","2125","1695",".798","594","","-3.5","-2.6","3.7","1.3","17.4","19.8","2.2","26.8"
"Angels","12984.0","-5","-2","-2","0","-6","-6","12","20","11","1976","1613",".816","568","","-5.1","6.9","0.6","6.6","10.7","24.8","4.1","23.8"
"Braves","13056.0","16","-1","-1","-1","2","-2","27","-1","33","2000","1596",".798","555","","17.0","3.3","0.4","-28.4","13.9","-10.8","-0.6","19.2"
"Red Sox","13239.0","10","0","1","-7","13","-4","-48","-3","-36","1924","1589",".826","500","","14.1","15.6","-6.0","-4.9","5.6","10.3","3.4","13.3"
"Rays","13269.0","7","-1","0","0","3","4","23","24","57","1790","1425",".796","629","","4.7","5.0","-0.6","3.3","-7.2","0.5","0.9","11.9"
"Astros","13161.0","-1","-2","-2","-4","-1","27","46","34","91","1752","1425",".813","650","","-0.1","-0.5","-5.4","16.6","4.0","14.7","1.8","9.7"
"Cubs","12978.0","-1","2","0","6","4","3","-16","-5","-13","2012","1635",".813","505","","-7.1","1.5","6.7","-2.8","6.8","12.3","2.1","9.3"
"Yankees","12987.0","0","-1","2","0","2","6","-7","-15","-16","1842","1440",".782","634","","-5.3","0.3","2.2","2.6","-0.4","4.8","0.9","4.8"
"Brewers","13134.0","16","-2","-4","1","-3","9","30","2","41","1812","1453",".802","608","","23.1","-0.3","2.1","16.6","-7.1","11.3","1.9","3.3"
"Giants","13221.0","12","-2","-1","-9","-2","-1","36","13","45","2006","1635",".815","572","","7.0","-6.8","-4.8","16.8","0.1","5.3","-1.0","2.3"
"Padres","12888.0","25","5","0","-4","-2","-9","21","-7","21","1931","1539",".797","577","","15.9","-8.0","-1.9","13.1","-0.9","2.2","-1.7","2.2"
"Marlins","12999.0","0","-6","0","1","-10","2","7","13","7","1869","1512",".809","583","","-7.7","2.5","1.6","3.9","-8.1","-0.2","0.7","-0.2"
"Nationals","12954.0","-11","2","-4","1","7","3","-7","4","-2","1823","1512",".829","592","","-6.4","1.5","-4.2","-6.3","9.8","0.8","0.1","-2.2"
"Rockies","13038.0","-15","1","2","6","-11","8","-3","14","9","2054","1647",".802","623","","-12.9","-12.7","1.1","6.5","-3.9","-9.0","-2.9","-4.0"
"Dodgers","13011.0","13","1","-1","4","8","7","62","46","133","1759","1426",".811","622","","12.0","6.0","-0.9","9.7","-17.3","-2.6","0.7","-5.6"
"Twins","13170.0","1","0","-5","-2","12","0","-20","5","-9","1940","1540",".794","635","","3.4","7.7","-1.3","8.6","-23.1","-8.0","-0.7","-7.2"
"Reds","12942.0","6","2","-3","4","7","4","31","13","57","1809","1442",".797","585","","2.9","-2.4","2.0","-1.0","0.3","-1.0","-0.4","-10.0"
"Rangers","12942.0","-9","3","-2","-1","-7","-12","-32","11","-49","2091","1663",".795","535","","-10.9","-12.4","-1.3","2.9","-0.8","-11.6","-3.3","-13.6"
"Blue Jays","12963.0","12","5","3","-3","-3","-3","-32","12","-10","1956","1555",".795","616","","11.9","-3.3","-3.9","-21.8","4.3","-24.7","-4.1","-16.7"
"White Sox","12714.0","-15","2","1","10","-3","-4","-59","10","-55","1917","1521",".793","604","","-18.3","-1.9","5.2","-13.1","-11.1","-20.7","-2.9","-19.7"
"Mets","13149.0","-11","-2","-2","3","5","-10","-65","-2","-95","1961","1581",".806","530","","-5.1","2.3","4.7","-22.8","3.8","-12.0","-0.8","-28.0"
"Tigers","12897.0","-4","2","-2","-4","-13","-14","-49","2","-86","2063","1597",".774","581","","-8.0","-13.7","-1.9","-15.9","3.9","-27.6","-5.8","-29.6"
"Orioles","12987.0","-21","0","0","9","-17","-10","-50","-14","-104","1996","1617",".810","721","","-19.3","-18.1","5.8","-1.9","-15.8","-30.0","-6.2","-33.0"
"Mariners","12954.0","-7","-4","1","-4","-1","-12","-57","0","-91","2148","1720",".801","603","","-6.0","-10.3","-2.2","-9.6","-10.5","-32.5","-5.7","-34.5"
"Pirates","12960.0","-9","-5","1","3","-3","1","-41","-4","-57","1950","1531",".785","534","","-7.1","-6.2","2.8","-33.4","-16.6","-53.3","-8.4","-51.3"
