"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","11112.0","3","-2","1","0","3","7","37","34","84","1563","1274",".815","583","","3.7","6.4","-1.7","8.6","4.6","18.0","4.4","31.4"
"Indians","10941.0","19","4","1","-2","6","12","7","15","62","1571","1288",".820","461","","12.5","9.7","-2.6","7.9","8.3","23.3","6.0","30.3"
"Phillies","10917.0","1","-3","9","-4","2","-10","2","6","8","1702","1368",".804","441","","6.7","7.1","-5.8","7.3","6.7","15.3","3.8","28.3"
"Athletics","11127.0","-10","-4","1","-6","7","-4","24","13","22","1805","1492",".827","451","","-5.3","5.8","-0.3","7.1","14.5","27.2","5.1","28.2"
"Cardinals","10830.0","-14","1","3","3","0","-5","51","23","75","1589","1299",".818","454","","-13.0","2.0","4.9","4.5","9.6","21.0","4.2","28.0"
"Royals","10938.0","0","3","2","1","-3","4","3","1","10","1802","1429",".793","509","","2.8","-2.8","4.9","4.5","14.0","20.6","2.8","27.6"
"Braves","11151.0","15","-2","-3","-1","1","-1","19","-3","21","1724","1366",".792","470","","17.3","4.6","1.2","-27.3","11.3","-10.3","-0.3","20.3"
"Cubs","10917.0","-2","2","0","8","2","4","3","-1","14","1709","1396",".817","433","","-6.0","-0.4","7.5","3.5","8.5","19.1","2.7","18.1"
"Red Sox","11172.0","8","1","1","-5","9","2","-35","5","-11","1618","1335",".825","433","","14.0","12.5","-5.0","-0.3","5.9","13.1","4.4","16.1"
"Angels","11085.0","-4","-3","-2","1","-5","-6","5","3","-12","1695","1381",".815","462","","-4.7","4.7","1.1","0.4","8.8","14.9","3.0","13.9"
"Padres","10857.0","21","4","0","-2","1","-2","12","-6","22","1651","1310",".794","491","","13.4","-2.1","-2.2","15.5","-0.7","10.5","0.7","11.5"
"Rays","11271.0","8","-1","0","1","6","7","18","18","54","1523","1207",".793","525","","4.6","5.7","-1.2","1.9","-7.4","-1.0","0.8","11.2"
"Giants","11061.0","10","-1","0","-8","1","4","26","7","40","1701","1383",".813","462","","4.8","-0.4","-3.7","15.4","0.5","11.8","1.7","9.8"
"Marlins","10878.0","0","-5","0","1","-9","2","15","9","12","1553","1255",".808","481","","-3.7","-0.2","2.5","9.4","-5.2","6.6","1.6","6.6"
"Twins","11070.0","3","-2","-4","-3","10","1","-11","6","-1","1656","1320",".797","540","","3.9","7.1","-0.8","16.5","-19.3","3.4","1.5","6.2"
"Astros","11157.0","-2","-1","-2","-4","0","20","33","35","76","1497","1215",".812","564","","-0.2","1.1","-6.4","12.1","1.4","8.3","1.5","5.3"
"Yankees","11058.0","-1","1","2","-1","3","3","-10","-7","-14","1594","1249",".784","536","","-6.1","0.3","1.2","-0.1","0.5","1.9","0.5","0.9"
"Dodgers","11148.0","9","1","0","2","7","5","56","42","118","1513","1219",".806","537","","10.2","9.0","-0.1","8.4","-15.4","1.8","2.8","0.8"
"Nationals","10821.0","-8","1","-3","-2","7","3","-13","2","-13","1545","1279",".828","477","","-8.1","1.2","-4.3","-6.1","7.9","-1.3","-0.1","-4.3"
"Rockies","11052.0","-15","0","3","6","-13","2","1","14","3","1737","1387",".799","551","","-11.6","-14.3","1.0","4.8","-2.8","-11.4","-4.3","-7.4"
"Brewers","11010.0","14","-2","-4","-1","-3","7","9","3","18","1534","1220",".795","504","","22.3","0.3","0.9","3.7","-6.6","-1.7","-0.2","-7.7"
"Reds","10902.0","4","0","-3","4","4","4","23","14","48","1520","1203",".791","489","","2.1","-2.4","1.9","-4.2","1.6","-3.2","-1.1","-9.2"
"Rangers","11034.0","-10","3","-4","1","-3","-10","-18","9","-32","1785","1423",".797","440","","-10.1","-8.3","1.6","0.0","2.0","-4.7","-2.0","-9.7"
"Blue Jays","11010.0","8","4","2","-2","-1","-1","-25","14","0","1665","1323",".795","524","","9.4","-1.6","-2.8","-20.7","8.4","-16.7","-3.1","-9.7"
"White Sox","10704.0","-14","2","2","7","-3","1","-51","10","-44","1615","1280",".793","516","","-14.6","0.9","5.3","-6.7","-12.5","-12.9","-1.9","-11.9"
"Tigers","10791.0","-4","2","-1","-3","-15","-4","-36","10","-54","1701","1325",".779","497","","-9.1","-14.1","-2.0","-10.2","3.6","-22.6","-6.5","-24.6"
"Mets","11031.0","-11","-2","-1","3","6","-9","-61","-1","-84","1654","1334",".807","429","","-7.3","-2.9","3.7","-16.9","-2.2","-18.3","-3.4","-30.3"
"Orioles","10803.0","-18","0","0","4","-15","-13","-41","-4","-89","1644","1335",".812","618","","-15.4","-16.4","3.6","-2.2","-15.3","-30.4","-8.0","-33.4"
"Mariners","10980.0","-5","-3","-1","-4","-1","-11","-42","3","-71","1834","1462",".797","509","","-7.4","-9.1","-2.6","-10.4","-8.9","-31.0","-6.2","-35.0"
"Pirates","10944.0","-7","-3","1","2","-2","-1","-31","4","-39","1629","1273",".782","465","","-9.1","-3.4","1.6","-26.6","-16.3","-44.7","-9.1","-43.7"
