"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","5373","756","88","9.7%","21.7%",".193",".305",".261",".337",".454",".343","122","18.2","29.3%","84.2%","42.1%"
"ATL","5271","697","80","7.8%","24.5%",".193",".301",".253",".318",".446",".331","110","7.0","34.7%","82.9%","43.7%"
"STL","5383","691","85","8.6%","19.8%",".173",".293",".257",".328",".430",".331","115","5.2","33.2%","86.3%","37.4%"
"TOR","5291","653","58","8.1%","20.1%",".167",".303",".262",".327",".428",".329","116","-10.5","31.0%","85.6%","44.3%"
"NYY","5375","697","86","10.0%","22.2%",".184",".272",".239",".323",".423",".325","114","-5.0","30.8%","84.5%","41.9%"
"NYM","5366","666","54","8.1%","19.7%",".152",".302",".259",".330",".411",".324","113","-8.4","32.9%","86.2%","37.0%"
"PHI","5249","661","88","7.8%","22.2%",".171",".301",".256",".318",".426",".324","106","9.1","34.0%","86.0%","41.5%"
"HOU","5241","632","73","9.1%","19.9%",".175",".276",".245",".320",".420",".322","112","-5.9","32.1%","87.3%","39.2%"
"BOS","5389","644","49","7.6%","22.3%",".151",".316",".260",".321",".411",".319","103","-6.2","33.9%","84.4%","41.0%"
"MIN","5246","605","30","8.6%","21.9%",".158",".294",".248",".318",".406",".317","109","-12.3","31.9%","86.3%","40.9%"
"MIL","5322","636","81","9.4%","23.7%",".176",".276",".234",".315",".410",".317","102","2.5","29.2%","85.2%","40.0%"
"COL","5330","635","40","7.5%","21.0%",".145",".309",".259",".320",".403",".317","88","-6.6","33.6%","87.4%","37.2%"
"CHW","5361","613","45","6.5%","20.4%",".130",".311",".262",".318",".392",".311","102","-5.8","36.5%","85.9%","40.4%"
"SFG","5289","618","59","9.5%","23.6%",".158",".280",".232",".315",".390",".310","100","3.7","29.8%","84.7%","37.0%"
"SEA","5289","589","71","9.6%","22.6%",".159",".271",".230",".313",".389",".309","106","-9.8","29.8%","85.9%","35.8%"
"CHC","5265","568","93","8.2%","23.3%",".149",".296",".242",".313",".391",".309","97","-4.7","32.1%","84.0%","36.9%"
"ARI","5191","626","81","9.4%","21.7%",".159",".274",".233",".311",".392",".308","95","21.8","28.9%","86.1%","36.1%"
"SDP","5386","620","40","9.4%","21.3%",".141",".287",".240",".319",".381",".308","100","4.1","30.4%","85.9%","37.5%"
"WSN","5259","545","62","7.5%","19.8%",".129",".298",".252",".315",".382",".307","94","-23.0","33.7%","85.8%","35.6%"
"TEX","5212","619","115","7.7%","23.5%",".155",".290",".242",".305",".397",".307","100","21.1","33.5%","83.6%","39.3%"
"CIN","5123","594","54","7.5%","23.9%",".142",".298",".242",".309",".384",".305","88","-9.9","33.6%","86.2%","35.2%"
"TBR","5140","586","81","8.3%","23.3%",".141",".300",".243",".311",".383",".305","104","-2.8","32.3%","83.9%","38.4%"
"CLE","5219","575","92","7.3%","18.2%",".129",".290",".250",".312",".379",".303","97","7.5","33.9%","88.2%","33.3%"
"BAL","5223","583","85","7.7%","23.1%",".153",".283",".235",".303",".388",".303","97","12.6","34.7%","84.8%","38.9%"
"KCR","5231","553","92","7.8%","21.5%",".135",".292",".243",".307",".378",".301","93","1.3","33.5%","85.3%","37.6%"
"LAA","5177","537","71","7.7%","26.1%",".157",".284",".229",".294",".386",".297","91","3.1","31.3%","83.5%","35.8%"
"MIA","5109","494","109","7.4%","24.1%",".134",".283",".229",".294",".363",".290","86","-3.6","34.2%","85.1%","37.2%"
"PIT","5039","492","69","7.8%","25.6%",".142",".276",".222",".288",".363",".287","81","3.5","31.8%","86.8%","37.1%"
"DET","5058","467","38","6.5%","24.1%",".112",".291",".230",".287",".342",".278","80","-4.6","36.5%","84.9%","35.9%"
"OAK","5099","486","67","7.2%","23.4%",".129",".264",".217",".281",".345",".277","84","-0.6","33.6%","84.9%","34.5%"
