"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1241.0","8.95","2.57","0.95",".256","78.1%","2.88","3.52","3.74","1.06"
"HOU","1246.1","9.22","2.90","0.85",".266","76.9%","2.97","3.40","3.70","1.10"
"NYY","1266.1","8.94","2.62","0.96",".269","76.3%","3.29","3.53","3.65","1.11"
"TBR","1229.2","8.81","2.42","1.08",".277","74.9%","3.34","3.67","3.68","1.14"
"SEA","1253.0","8.58","2.75","1.15",".278","77.2%","3.48","3.91","3.96","1.18"
"ATL","1253.1","9.68","3.11","0.94",".286","74.1%","3.52","3.50","3.60","1.19"
"NYM","1253.2","9.56","2.76","1.03",".297","76.1%","3.55","3.55","3.55","1.20"
"CLE","1228.0","8.55","2.84","1.06",".278","73.6%","3.60","3.82","3.86","1.19"
"LAA","1244.0","8.59","3.43","1.09",".277","73.0%","3.85","4.05","4.06","1.25"
"STL","1250.2","7.30","3.01","0.94",".287","73.9%","3.85","3.99","4.05","1.27"
"BAL","1240.2","7.62","2.73","1.08",".297","74.1%","3.90","4.03","4.11","1.29"
"PHI","1240.1","8.92","2.93","0.92",".299","71.3%","3.90","3.60","3.75","1.24"
"SFG","1235.0","8.61","2.78","0.90",".307","69.8%","3.91","3.55","3.67","1.28"
"MIL","1255.0","9.49","3.26","1.20",".282","72.4%","3.91","3.97","3.71","1.23"
"TOR","1238.0","8.77","2.61","1.18",".296","73.7%","3.91","3.90","3.82","1.23"
"SDP","1254.0","9.03","2.96","1.09",".288","72.6%","3.96","3.86","3.88","1.23"
"MIA","1230.0","8.89","3.23","1.09",".297","72.9%","3.97","3.95","3.82","1.29"
"CHW","1257.0","9.00","3.36","1.06",".295","71.5%","3.97","3.87","3.95","1.29"
"MIN","1234.1","8.41","3.03","1.20",".286","73.7%","4.03","4.13","4.11","1.26"
"DET","1220.0","7.56","3.19","1.05",".285","70.5%","4.11","4.14","4.35","1.30"
"TEX","1234.0","8.29","3.71","1.03",".291","71.4%","4.16","4.14","4.12","1.35"
"ARI","1226.1","7.59","3.12","1.10",".286","70.0%","4.28","4.20","4.31","1.29"
"CHC","1249.2","8.62","3.40","1.36",".292","72.1%","4.31","4.45","4.07","1.33"
"BOS","1254.0","8.47","3.27","1.08",".301","69.4%","4.47","4.05","4.09","1.33"
"OAK","1243.1","7.52","3.25","1.19",".287","70.8%","4.47","4.40","4.45","1.33"
"PIT","1220.0","7.78","3.65","1.05",".307","68.8%","4.69","4.31","4.36","1.43"
"KCR","1236.1","7.50","3.78","1.16",".310","70.5%","4.72","4.51","4.47","1.47"
"CIN","1212.2","8.94","3.81","1.39",".302","71.3%","4.92","4.64","4.32","1.40"
"WSN","1231.2","7.86","3.62","1.55",".297","70.5%","5.06","4.98","4.52","1.44"
"COL","1242.1","7.28","3.44","1.18",".310","66.6%","5.12","4.48","4.34","1.45"
