"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"CLE","54.2","8.56","3.13","0.49",".296","76.8%","2.47","3.03","4.00","1.23"
"HOU","55.0","10.15","2.13","0.98",".265","75.6%","2.62","3.05","2.95","1.00"
"NYY","66.0","9.00","2.45","0.55",".311","78.0%","2.73","2.77","3.60","1.20"
"SEA","54.0","9.83","2.17","1.83",".211","73.2%","3.17","4.47","3.53","0.96"
"CHW","61.0","9.89","2.95","0.74",".275","68.2%","3.39","3.17","3.71","1.13"
"BOS","50.0","8.82","2.88","0.72",".284","74.9%","3.42","3.46","4.05","1.16"
"LAD","54.1","8.78","2.32","2.15",".245","87.6%","3.48","5.22","3.86","1.14"
"NYM","52.0","10.73","2.25","1.04",".331","76.9%","3.63","3.04","2.77","1.19"
"TEX","53.2","7.55","4.70","0.84",".303","76.7%","3.69","4.22","4.48","1.49"
"SFG","67.0","9.00","2.69","1.34",".290","76.1%","3.76","4.14","3.72","1.21"
"PHI","54.0","7.83","1.83","0.83",".331","74.6%","3.83","3.36","3.42","1.31"
"CHC","54.0","9.33","3.17","1.50",".261","76.3%","3.83","4.32","3.64","1.19"
"LAA","53.0","8.32","4.08","1.87",".277","82.8%","4.25","5.50","4.42","1.40"
"DET","50.1","8.05","2.68","1.79",".283","71.7%","4.29","4.87","4.12","1.31"
"KCR","54.0","6.33","2.00","0.83",".328","68.1%","4.33","3.69","4.09","1.37"
"TOR","61.0","8.26","1.77","1.33",".282","70.5%","4.43","3.99","4.07","1.16"
"MIL","71.1","9.84","2.14","1.51",".258","63.3%","4.54","4.05","3.09","1.05"
"CIN","51.0","9.88","4.06","1.59",".310","76.9%","4.76","4.81","3.88","1.39"
"PIT","54.0","5.83","3.33","1.17",".297","72.0%","5.00","4.84","4.73","1.44"
"TBR","52.0","9.17","3.29","1.73",".289","73.7%","5.02","4.74","3.92","1.35"
"MIN","63.2","8.34","4.66","1.84",".295","77.6%","5.09","5.71","4.78","1.52"
"WSN","58.2","5.22","3.38","1.99",".270","73.7%","5.22","6.02","5.19","1.45"
"ATL","43.2","11.13","3.71","2.68",".213","75.4%","5.56","5.96","3.82","1.17"
"STL","62.0","6.39","3.05","1.31",".355","70.8%","5.66","4.65","4.39","1.65"
"MIA","52.1","9.11","3.10","1.89",".343","70.1%","5.68","5.03","3.86","1.49"
"SDP","55.0","9.49","3.11","2.29",".279","69.3%","5.73","5.47","4.02","1.29"
"ARI","51.1","7.54","3.68","2.28",".252","68.8%","6.14","6.08","4.81","1.36"
"BAL","63.0","6.86","3.57","1.29",".351","66.0%","6.29","4.74","4.58","1.68"
"COL","55.0","9.16","3.60","1.31",".311","57.5%","6.38","4.34","3.61","1.38"
"OAK","54.0","6.83","2.67","1.67",".359","57.3%","8.00","5.18","4.69","1.69"
