"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"BOS","244","55","0","12.3%","16.8%",".287",".350",".321",".414",".608",".426","172","-0.3","31.1%","89.5%","42.0%"
"MIL","257","49","2","6.6%","17.1%",".254",".367",".335",".383",".589",".409","155","0.0","34.0%","84.8%","39.7%"
"OAK","248","45","6","9.7%","16.1%",".244",".291",".281",".364",".525",".378","146","0.2","29.3%","85.6%","40.2%"
"ARI","232","33","1","9.1%","22.4%",".198",".373",".300",".365",".498",".365","125","0.2","26.5%","84.6%","39.2%"
"MIA","229","38","5","7.4%","28.4%",".197",".368",".284",".346",".481",".356","127","0.5","33.7%","80.4%","40.3%"
"STL","239","37","3","8.8%","22.6%",".211",".329",".282",".347",".493",".355","125","-0.2","29.4%","84.3%","45.7%"
"LAD","252","36","3","10.7%","25.4%",".218",".310",".259",".349",".477",".351","123","-0.2","32.9%","82.6%","42.3%"
"NYY","255","37","6","12.5%","27.8%",".219",".317",".251",".346",".470",".348","123","0.9","26.0%","84.6%","35.8%"
"CHW","233","31","0","9.4%","22.3%",".225",".288",".263",".330",".488",".348","123","0.2","33.1%","82.5%","30.8%"
"SFG","222","33","2","7.7%","21.2%",".173",".345",".287",".351",".460",".347","120","-0.2","27.1%","89.2%","38.1%"
"ATL","239","36","4","10.5%","22.6%",".249",".248",".239",".322",".488",".344","115","0.8","32.5%","81.9%","37.7%"
"TOR","254","33","4","8.7%","18.5%",".191",".289",".261",".328",".452",".335","111","0.0","29.8%","91.2%","45.1%"
"CIN","274","37","1","8.0%","26.3%",".229",".275",".237",".311",".465",".333","104","-0.3","33.5%","87.6%","41.7%"
"TBR","236","38","1","9.3%","24.6%",".234",".275",".244",".315",".478",".331","115","0.8","34.8%","85.7%","41.3%"
"MIN","216","27","0","11.6%","24.1%",".183",".276",".231",".333",".414",".328","108","0.0","25.5%","79.0%","40.0%"
"HOU","190","23","1","7.9%","22.6%",".140",".341",".275",".337",".415",".327","112","-0.8","30.3%","88.7%","41.5%"
"CLE","271","37","7","11.8%","22.1%",".184",".284",".235",".330",".419",".325","104","1.3","27.7%","84.2%","38.4%"
"SEA","219","24","2","10.0%","20.1%",".191",".261",".237",".320",".428",".324","110","0.4","28.3%","85.4%","45.0%"
"DET","217","30","2","6.5%","26.3%",".195",".301",".245",".300",".440",".317","100","-0.2","31.7%","85.2%","43.1%"
"CHC","255","24","1","6.3%","31.4%",".155",".352",".254",".312",".409",".314","94","-0.4","33.7%","76.2%","32.3%"
"SDP","252","27","1","8.7%","20.2%",".155",".291",".243",".311",".398",".306","92","-0.2","30.5%","83.5%","44.4%"
"NYM","219","27","3","7.8%","21.9%",".117",".329",".264",".324",".381",".306","93","-0.3","33.7%","86.9%","35.3%"
"BAL","221","15","3","5.9%","24.4%",".167",".284",".240",".295",".407",".305","94","-0.4","32.2%","84.9%","38.4%"
"WSN","213","21","1","10.8%","24.9%",".071",".336",".247",".330",".319",".290","76","-1.2","28.8%","85.8%","36.0%"
"KCR","231","22","6","6.5%","17.7%",".081",".298",".254",".306",".335",".283","76","0.5","34.4%","89.6%","42.2%"
"TEX","211","25","5","2.8%","17.1%",".160",".239",".230",".256",".390",".275","74","0.2","37.5%","89.4%","31.7%"
"LAA","241","20","7","8.3%","24.1%",".083",".288",".222",".299",".306",".271","71","0.7","34.0%","83.6%","27.0%"
"PIT","195","22","2","5.6%","26.7%",".127",".282",".221",".266",".348",".268","65","-0.1","31.0%","85.7%","43.2%"
"PHI","212","15","1","9.4%","26.9%",".096",".262",".197",".275",".293",".253","55","0.0","35.6%","76.4%","33.6%"
"COL","217","11","0","9.2%","26.3%",".062",".267",".196",".278",".258",".244","36","0.4","33.6%","83.4%","34.1%"
