"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","4353","604","56","8.0%","21.0%",".193",".302",".265",".328",".458",".337","112","-3.0","31.4%","86.9%","41.5%"
"HOU","4521","627","43","9.2%","19.8%",".173",".304",".266",".338",".439",".335","117","-6.9","29.2%","87.9%","40.4%"
"CIN","4590","600","26","9.1%","23.4%",".180",".303",".253",".334",".433",".332","103","-11.9","31.0%","85.4%","38.5%"
"LAD","4613","619","43","10.1%","22.9%",".180",".293",".247",".336",".427",".330","109","3.5","27.8%","84.8%","40.0%"
"BOS","4502","606","33","8.0%","22.8%",".184",".310",".260",".325",".444",".330","106","0.0","34.5%","83.3%","42.0%"
"SFG","4487","582","49","9.8%","24.4%",".191",".296",".247",".327",".437",".328","106","-7.3","27.9%","84.2%","38.9%"
"CHW","4400","585","47","9.9%","23.6%",".169",".304",".250",".332",".419",".327","109","3.5","33.0%","84.8%","38.7%"
"ATL","4446","579","50","9.5%","24.1%",".189",".288",".242",".322",".431",".323","99","5.8","31.3%","82.9%","40.5%"
"WSN","4358","512","46","8.5%","22.1%",".157",".308",".257",".330",".413",".322","98","-15.1","29.1%","85.7%","39.8%"
"MIN","4450","546","37","8.9%","22.8%",".184",".284",".244",".318",".428",".322","104","-2.8","31.0%","84.1%","41.4%"
"SDP","4547","572","94","10.0%","22.0%",".164",".293",".247",".328",".411",".320","101","0.2","27.6%","85.7%","41.2%"
"TBR","4534","608","64","9.7%","25.9%",".180",".291",".236",".317",".415",".317","105","7.8","30.6%","81.0%","39.7%"
"OAK","4446","542","61","9.1%","22.6%",".173",".279",".238",".318",".411",".316","105","4.2","29.3%","85.1%","40.0%"
"NYY","4419","499","45","10.8%","24.5%",".159",".289",".237",".326",".396",".316","101","-9.5","28.4%","83.1%","41.5%"
"LAA","4413","538","52","7.3%","23.2%",".169",".302",".251",".313",".420",".316","101","0.4","33.4%","85.2%","35.3%"
"PHI","4417","533","63","9.3%","23.9%",".164",".292",".241",".318",".405",".313","94","6.3","31.0%","82.9%","37.5%"
"MIL","4494","555","60","9.7%","24.5%",".167",".284",".233",".318",".400",".313","93","7.1","29.9%","83.6%","38.6%"
"COL","4385","525","62","8.2%","22.4%",".158",".298",".248",".316",".406",".313","79","17.4","32.7%","85.4%","35.9%"
"DET","4404","528","65","8.5%","26.0%",".159",".301",".241",".309",".399",".307","93","0.8","32.5%","82.8%","38.4%"
"BAL","4283","473","40","7.5%","23.7%",".162",".286",".239",".303",".401",".305","93","-2.3","33.9%","83.7%","36.4%"
"STL","4329","482","61","8.1%","22.2%",".156",".282",".238",".310",".394",".305","91","3.8","31.1%","84.4%","38.2%"
"CHC","4405","498","59","8.4%","26.7%",".165",".285",".229",".305",".394",".305","89","-4.0","31.8%","83.3%","38.8%"
"NYM","4174","443","31","8.9%","23.7%",".146",".286",".234",".313",".380",".304","93","-15.6","32.7%","84.4%","37.6%"
"CLE","4224","505","67","7.7%","23.4%",".169",".276",".233",".300",".402",".304","89","6.7","32.3%","83.6%","39.3%"
"ARI","4519","497","33","9.1%","23.9%",".144",".295",".235",".311",".379",".302","85","2.4","30.3%","84.7%","36.0%"
"MIA","4371","479","82","7.8%","26.0%",".143",".303",".238",".305",".382",".299","90","4.4","33.3%","83.7%","37.4%"
"KCR","4254","473","79","7.2%","21.9%",".144",".286",".241",".301",".385",".298","86","5.5","34.2%","85.6%","39.2%"
"SEA","4350","498","51","8.9%","25.8%",".160",".271",".222",".299",".382",".298","92","0.7","30.5%","83.2%","36.8%"
"PIT","4343","427","38","8.4%","22.2%",".127",".288",".235",".305",".362",".293","82","1.5","30.4%","87.1%","33.4%"
"TEX","4300","445","69","7.6%","23.8%",".146",".267",".223",".289",".369",".288","81","-3.5","32.3%","82.9%","35.8%"
