"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","418.1","8.80","2.58","0.82",".266","78.6%","2.67","3.37","3.62","1.08"
"HOU","422.1","8.37","2.75","0.83",".271","77.4%","2.90","3.56","3.87","1.14"
"NYY","430.1","9.29","2.47","0.77",".273","77.5%","2.95","3.15","3.39","1.08"
"TBR","423.0","8.83","2.51","1.09",".258","72.2%","3.23","3.70","3.60","1.09"
"MIL","423.2","9.90","3.21","0.83",".280","72.4%","3.27","3.32","3.39","1.17"
"SDP","424.0","9.25","3.04","0.93",".266","74.2%","3.38","3.56","3.57","1.12"
"MIN","427.0","8.73","2.97","1.01",".281","76.7%","3.41","3.74","3.84","1.21"
"MIA","394.2","9.03","3.33","1.09",".272","74.9%","3.47","3.94","3.72","1.20"
"DET","400.2","7.68","3.05","0.94",".267","72.1%","3.62","3.86","4.08","1.20"
"LAA","435.2","8.04","3.04","1.01",".257","72.3%","3.68","3.93","3.89","1.15"
"TOR","415.1","8.39","2.62","0.98",".286","72.8%","3.68","3.67","3.74","1.20"
"NYM","436.2","9.38","2.84","1.05",".284","74.8%","3.75","3.68","3.60","1.18"
"STL","415.0","7.42","3.32","1.08",".275","76.6%","3.80","4.33","4.14","1.27"
"CLE","378.0","8.17","3.02","0.98",".268","69.1%","3.86","3.89","4.03","1.18"
"BOS","428.2","8.67","3.09","1.24",".266","72.4%","3.91","4.18","3.92","1.19"
"TEX","405.2","8.70","3.66","1.09",".284","73.9%","3.95","4.13","3.81","1.30"
"ATL","426.0","9.30","3.76","0.78",".292","69.7%","3.95","3.59","3.89","1.29"
"CHW","414.0","9.35","4.00","0.93",".304","70.7%","4.04","3.83","3.93","1.37"
"PHI","423.0","9.43","3.38","0.87",".313","70.5%","4.06","3.61","3.67","1.32"
"BAL","434.1","7.52","3.09","1.14",".297","72.1%","4.10","4.31","4.08","1.33"
"OAK","440.2","7.92","3.19","0.98",".289","71.9%","4.11","3.98","4.06","1.29"
"SEA","419.2","8.58","3.17","1.33",".289","73.8%","4.14","4.31","4.00","1.29"
"CHC","404.1","8.68","3.23","1.20",".295","71.8%","4.18","4.11","3.76","1.30"
"ARI","433.0","7.13","3.22","1.12",".276","70.6%","4.20","4.37","4.44","1.29"
"SFG","407.1","8.51","2.83","0.80",".324","68.0%","4.40","3.44","3.62","1.35"
"PIT","404.0","8.00","3.88","0.96",".290","65.3%","4.54","4.15","4.34","1.39"
"WSN","429.2","7.96","3.88","1.11",".311","69.1%","4.94","4.45","4.35","1.47"
"KCR","404.0","7.15","3.97","1.07",".304","68.2%","4.99","4.51","4.58","1.48"
"COL","410.0","7.33","3.49","1.01",".322","65.2%","5.07","4.24","4.24","1.49"
"CIN","405.0","8.87","4.36","1.36",".300","68.5%","5.53","4.80","4.53","1.46"
