"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"BOS","267","48","3","7.5%","16.1%",".277",".299",".293",".348",".570",".393","161","0.8","33.7%","84.9%","43.1%"
"LAD","272","43","5","11.4%","22.4%",".217",".315",".271",".353",".488",".363","138","1.1","26.1%","84.2%","42.2%"
"MIA","231","27","1","6.9%","22.1%",".176",".353",".289",".348",".466",".353","132","-1.1","33.8%","82.9%","40.9%"
"MIN","251","41","3","13.9%","16.3%",".137",".317",".278",".375",".415",".350","135","-0.9","28.5%","87.8%","40.2%"
"STL","293","43","7","6.8%","18.1%",".141",".346",".297",".348",".439",".346","127","0.9","35.0%","87.4%","38.1%"
"CHC","265","36","6","10.2%","23.0%",".217",".264",".234",".317",".451",".338","117","0.9","29.8%","84.4%","37.1%"
"LAA","228","25","2","8.8%","25.4%",".190",".299",".249",".319",".439",".335","123","-0.4","32.3%","84.1%","44.3%"
"HOU","249","29","5","7.2%","17.7%",".192",".273",".250",".316",".442",".334","125","0.4","35.2%","83.8%","37.2%"
"COL","229","30","0","6.1%","19.7%",".134",".325",".278",".335",".411",".332","102","-0.1","34.2%","91.1%","34.3%"
"TBR","242","34","5","6.2%","19.4%",".184",".284",".265",".306",".448",".326","125","-0.4","32.0%","86.4%","41.7%"
"ARI","304","40","2","7.9%","27.0%",".188",".293",".245",".305",".433",".326","107","2.3","30.1%","82.5%","35.9%"
"SFG","240","29","1","9.6%","23.3%",".185",".288",".242",".313",".427",".324","112","0.5","29.1%","83.9%","38.8%"
"MIL","223","22","4","10.8%","17.9%",".133",".285",".251",".333",".385",".320","105","1.4","28.9%","83.6%","39.2%"
"NYY","264","28","1","10.2%","18.9%",".150",".277",".244",".326",".393",".319","115","-0.3","29.1%","83.7%","38.4%"
"KCR","297","27","6","6.1%","24.2%",".160",".327",".262",".306",".422",".319","111","-0.4","34.7%","85.3%","42.2%"
"TEX","261","30","3","7.3%","29.9%",".139",".346",".256",".315",".395",".317","111","1.8","33.0%","79.8%","45.7%"
"NYM","265","34","3","7.2%","18.1%",".113",".310",".265",".324",".378",".314","108","0.0","31.5%","88.5%","37.9%"
"CHW","313","31","3","5.1%","21.1%",".114",".329",".270",".319",".384",".314","110","0.8","38.0%","88.8%","40.4%"
"TOR","210","17","1","9.0%","20.5%",".112",".279",".230",".314",".342",".299","94","-0.5","31.3%","86.9%","36.1%"
"SEA","262","25","3","7.3%","25.2%",".153",".280",".231",".286",".384",".298","102","-0.4","28.2%","84.9%","36.2%"
"SDP","235","25","5","5.5%","20.9%",".101",".321",".258",".303",".359",".293","92","1.3","33.9%","86.6%","33.9%"
"CIN","179","14","4","6.1%","22.9%",".111",".294",".235",".298",".346",".290","80","-0.3","31.2%","85.7%","43.1%"
"BAL","283","33","3","7.1%","22.3%",".141",".267",".224",".286",".365",".287","88","0.4","38.8%","84.3%","32.5%"
"ATL","227","21","5","7.9%","26.4%",".159",".245",".203",".273",".362",".283","81","-0.2","33.5%","78.9%","36.1%"
"WSN","226","17","2","6.2%","19.0%",".078",".302",".244",".304",".322",".283","80","-1.5","36.4%","86.5%","23.6%"
"OAK","218","18","1","5.5%","22.9%",".110",".289",".230",".284",".340",".279","88","-0.4","33.3%","88.8%","31.6%"
"CLE","139","14","3","8.6%","17.3%",".123",".214",".197",".273",".320",".267","76","0.2","34.1%","91.2%","38.6%"
"PIT","210","14","3","6.7%","24.3%",".128",".245",".200",".257",".328",".263","69","-1.4","30.0%","87.9%","38.9%"
"PHI","207","12","2","4.8%","29.0%",".093",".271",".202",".249",".295",".244","57","0.4","33.9%","86.8%","30.4%"
"DET","166","10","3","2.4%","28.9%",".119",".215",".176",".205",".296",".222","44","-0.3","40.1%","82.4%","27.7%"
