"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","1525","217","24","11.1%","21.6%",".169",".292",".246",".332",".415",".330","116","5.6","27.0%","85.3%","41.8%"
"LAA","1608","207","24","9.3%","24.6%",".177",".299",".247",".321",".423",".329","119","-4.8","27.9%","83.5%","38.5%"
"COL","1507","190","7","7.7%","20.6%",".147",".311",".263",".327",".410",".327","97","-2.0","32.6%","86.3%","37.7%"
"NYY","1539","195","22","10.0%","21.8%",".172",".279",".243",".323",".415",".327","119","-0.1","31.9%","84.5%","45.6%"
"MIL","1526","193","28","9.2%","23.8%",".176",".282",".238",".315",".414",".323","107","5.5","28.9%","84.7%","40.3%"
"STL","1566","200","36","8.3%","19.0%",".145",".297",".256",".325",".401",".322","112","5.8","35.0%","85.5%","34.7%"
"MIN","1526","178","10","9.8%","22.1%",".150",".293",".244",".325",".394",".321","114","-6.6","30.2%","86.1%","41.3%"
"HOU","1564","180","21","9.6%","21.0%",".181",".262",".232",".310",".413",".320","116","-0.6","30.8%","86.4%","41.1%"
"SFG","1531","198","21","10.1%","21.5%",".146",".287",".244",".326",".390",".319","109","3.8","29.3%","84.5%","39.3%"
"PHI","1520","184","26","7.6%","24.1%",".164",".301",".248",".310",".412",".318","104","3.1","34.0%","84.8%","40.8%"
"NYM","1630","194","18","8.6%","19.8%",".128",".301",".253",".328",".381",".317","111","-0.5","32.1%","86.1%","36.2%"
"MIA","1507","168","18","8.2%","23.8%",".151",".300",".244",".315",".395",".315","107","-3.3","34.6%","84.3%","37.4%"
"CLE","1396","171","21","8.3%","19.6%",".147",".286",".246",".312",".393",".313","108","-0.3","31.8%","87.2%","35.5%"
"SEA","1582","164","21","9.3%","22.5%",".142",".281",".234",".312",".376",".308","109","-4.2","30.5%","86.2%","35.6%"
"CHC","1475","166","16","9.2%","24.3%",".145",".290",".232",".311",".377",".307","97","-1.8","31.6%","84.3%","40.6%"
"ATL","1518","167","22","8.7%","26.0%",".168",".273",".224",".298",".392",".306","95","-0.1","34.1%","81.0%","40.1%"
"TBR","1526","180","34","7.7%","23.1%",".148",".289",".239",".302",".387",".305","108","0.3","31.2%","83.0%","39.7%"
"BOS","1543","174","10","6.9%","21.0%",".146",".290",".245",".300",".391",".304","97","0.6","34.7%","83.7%","39.9%"
"WSN","1565","167","12","7.7%","19.8%",".109",".303",".252",".316",".360",".303","93","-9.0","33.8%","85.7%","34.8%"
"SDP","1567","185","20","9.6%","22.2%",".131",".284",".233",".314",".363",".302","98","2.4","31.1%","86.4%","36.5%"
"TOR","1484","147","16","7.4%","22.4%",".141",".277",".233",".298",".374",".299","95","2.0","33.1%","84.8%","42.8%"
"ARI","1577","164","18","9.7%","25.4%",".158",".258",".212",".294",".370",".297","88","6.6","28.9%","84.7%","37.3%"
"BAL","1587","147","23","7.8%","24.1%",".120",".286",".227",".299",".348",".290","90","1.1","35.1%","83.5%","38.6%"
"CHW","1508","148","21","6.0%","20.2%",".124",".276",".236",".290",".360",".290","93","4.3","35.7%","85.9%","42.4%"
"PIT","1444","133","14","8.8%","24.2%",".127",".279",".224",".294",".351",".289","87","-5.2","29.5%","87.0%","38.4%"
"KCR","1482","145","25","7.5%","20.2%",".122",".276",".232",".293",".354",".289","89","2.9","33.3%","84.6%","38.1%"
"CIN","1446","155","18","8.1%","24.8%",".132",".274",".218",".291",".350",".288","80","-7.2","32.6%","85.2%","36.9%"
"TEX","1460","161","27","7.8%","23.1%",".130",".266",".222",".287",".353",".287","91","10.1","31.3%","82.5%","40.5%"
"DET","1415","110","8","7.3%","23.9%",".095",".279",".219",".282",".314",".269","77","-8.6","34.5%","84.6%","33.9%"
"OAK","1529","140","25","7.5%","24.3%",".109",".259",".205",".272",".313",".264","77","-1.6","32.8%","85.3%","35.7%"
