"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","356.1","8.97","2.63","0.93",".260","77.8%","2.80","3.47","3.55","1.07"
"HOU","370.1","8.36","2.72","0.78",".270","77.4%","2.84","3.43","3.78","1.12"
"NYY","367.1","9.36","2.60","0.78",".283","78.5%","2.96","3.16","3.34","1.13"
"MIA","353.2","8.88","3.49","1.02",".269","75.3%","3.31","3.88","3.73","1.21"
"LAA","381.2","8.04","2.97","0.97",".248","74.2%","3.37","3.82","3.83","1.11"
"TBR","369.0","8.76","2.56","1.12",".259","71.1%","3.39","3.76","3.60","1.10"
"MIN","363.0","8.70","2.93","1.04",".277","77.0%","3.40","3.73","3.75","1.19"
"NYM","383.0","9.42","2.68","0.94",".282","76.0%","3.41","3.41","3.47","1.14"
"MIL","362.0","10.37","3.26","0.87",".286","71.5%","3.46","3.26","3.21","1.18"
"SDP","368.0","9.20","2.98","0.98",".271","73.7%","3.47","3.58","3.54","1.14"
"TOR","360.2","8.18","2.62","0.90",".281","72.6%","3.59","3.56","3.71","1.18"
"DET","347.1","7.62","3.11","1.01",".263","72.1%","3.63","3.95","4.08","1.19"
"CHW","366.0","9.42","3.86","0.89",".295","72.9%","3.69","3.67","3.82","1.31"
"STL","360.0","7.53","3.23","0.98",".276","75.9%","3.70","4.09","4.00","1.25"
"OAK","378.2","7.91","3.11","0.90",".283","73.0%","3.78","3.80","3.91","1.25"
"BOS","366.2","9.01","2.99","1.25",".266","73.2%","3.80","4.07","3.78","1.17"
"ATL","363.0","9.40","3.67","0.72",".293","68.7%","3.87","3.41","3.78","1.28"
"BAL","373.0","7.58","3.11","1.01",".292","72.0%","3.88","4.07","4.00","1.29"
"CHC","350.0","8.90","3.16","1.18",".295","73.7%","3.93","3.98","3.60","1.28"
"PHI","363.2","9.18","3.34","0.84",".300","71.4%","3.93","3.57","3.68","1.28"
"ARI","379.0","7.31","3.21","1.02",".268","70.7%","3.97","4.15","4.31","1.25"
"CLE","327.2","8.19","3.13","1.02",".267","67.8%","3.98","3.95","4.00","1.19"
"TEX","353.0","8.77","3.77","1.15",".279","74.0%","4.03","4.20","3.78","1.30"
"SFG","355.1","8.56","2.86","0.71",".321","69.6%","4.05","3.27","3.55","1.32"
"SEA","365.2","8.69","3.35","1.38",".287","72.9%","4.26","4.38","3.98","1.30"
"KCR","354.0","6.94","3.81","0.92",".296","67.5%","4.70","4.25","4.50","1.42"
"COL","351.0","7.26","3.33","1.00",".323","65.6%","4.87","4.14","4.08","1.47"
"WSN","366.2","8.08","3.88","1.15",".310","69.3%","4.93","4.46","4.26","1.46"
"PIT","350.0","8.10","3.91","1.00",".289","62.8%","4.96","4.19","4.33","1.39"
"CIN","342.0","8.82","4.53","1.37",".301","68.0%","5.63","4.83","4.51","1.48"
