"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYM","239","36","1","8.4%","20.5%",".229",".329",".298",".360",".528",".380","144","-1.7","29.6%","90.0%","39.1%"
"ARI","233","32","3","9.9%","21.9%",".231",".349",".288",".365",".519",".378","136","0.4","30.4%","89.1%","37.6%"
"STL","276","38","3","9.1%","25.7%",".226",".331",".272",".348",".498",".362","128","-0.1","31.2%","79.7%","36.9%"
"BOS","231","39","0","8.2%","22.9%",".275",".281",".261",".316",".536",".356","123","0.0","36.1%","84.4%","46.5%"
"DET","256","41","2","8.2%","17.6%",".209",".299",".283",".340",".491",".354","125","0.0","31.9%","87.7%","34.9%"
"TBR","272","40","1","7.4%","18.0%",".230",".286",".266",".324",".496",".348","126","0.1","34.2%","86.3%","42.3%"
"CIN","244","32","0","9.4%","22.1%",".160",".342",".282",".358",".441",".348","115","-0.9","29.0%","87.7%","37.4%"
"SFG","263","34","5","8.7%","28.5%",".261",".281",".239",".313",".500",".345","119","0.0","30.9%","86.5%","38.3%"
"WSN","229","33","2","7.0%","17.9%",".215",".273",".254",".332",".468",".345","113","-0.3","34.1%","90.6%","34.8%"
"KCR","186","31","3","7.5%","22.6%",".238",".272",".250",".317",".488",".342","114","0.6","31.5%","84.4%","39.4%"
"HOU","212","31","4","10.4%","20.8%",".196",".276",".250",".335",".446",".338","119","0.0","32.3%","86.7%","31.5%"
"NYY","234","26","11","10.7%","24.4%",".182",".301",".242",".342",".424",".335","114","1.0","29.4%","86.5%","34.9%"
"TOR","190","22","1","6.3%","18.9%",".211",".275",".257",".311",".469",".332","109","-0.5","36.0%","88.9%","38.6%"
"PHI","231","21","5","14.3%","25.1%",".155",".275",".216",".332",".371",".314","96","0.3","31.0%","83.6%","34.5%"
"BAL","214","29","2","5.6%","24.8%",".206",".277",".242",".290",".448",".313","99","-0.5","31.5%","84.3%","38.4%"
"ATL","238","32","1","8.4%","18.1%",".179",".259",".241",".306",".420",".313","91","0.0","31.7%","85.6%","36.2%"
"PIT","237","29","2","6.8%","23.6%",".124",".346",".272",".322",".396",".311","95","-0.1","33.3%","86.5%","37.2%"
"COL","184","21","4","10.3%","21.2%",".185",".256",".228",".308",".414",".311","79","0.0","33.1%","82.9%","30.2%"
"OAK","220","24","4","7.7%","26.4%",".169",".290",".236",".307",".405",".309","100","0.7","32.8%","86.4%","36.9%"
"CHC","257","30","4","8.6%","23.7%",".173",".250",".209",".305",".382",".301","87","0.2","32.2%","84.2%","43.6%"
"LAD","251","25","3","7.6%","25.5%",".211",".225",".203",".279",".414",".300","91","0.5","30.0%","82.6%","40.5%"
"MIL","184","19","2","10.3%","23.4%",".138",".283",".231",".315",".369",".300","85","0.5","26.6%","89.2%","33.9%"
"SEA","212","23","2","9.0%","28.3%",".168",".254",".209",".288",".377",".292","89","0.1","31.3%","84.9%","38.9%"
"MIA","255","23","5","7.1%","23.5%",".135",".285",".230",".296",".365",".291","86","0.3","30.4%","83.3%","35.3%"
"MIN","274","28","5","6.9%","25.5%",".169",".262",".221",".281",".390",".291","83","0.0","32.3%","86.9%","41.8%"
"CHW","236","23","5","8.1%","25.8%",".158",".259",".209",".280",".367",".282","80","1.2","36.3%","81.1%","36.4%"
"SDP","236","22","2","10.2%","22.5%",".153",".231",".198",".294",".351",".282","77","-0.8","28.0%","87.4%","37.7%"
"CLE","262","25","4","6.9%","26.0%",".126",".273",".218",".280",".345",".273","70","0.9","33.2%","79.9%","33.5%"
"LAA","214","16","4","3.7%","19.2%",".148",".255",".222",".258",".369",".270","71","0.2","34.7%","87.2%","33.1%"
"TEX","244","13","0","8.6%","27.0%",".078",".205",".151",".238",".229",".216","34","-0.8","30.1%","84.2%","33.3%"
