"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","898.0","10.09","3.05","1.14",".265","75.4%","3.27","3.71","3.72","1.13"
"SFG","879.2","8.82","2.67","1.02",".265","74.6%","3.31","3.70","3.91","1.12"
"MIL","892.0","10.23","3.51","1.03",".270","75.7%","3.34","3.71","3.72","1.17"
"SDP","905.2","9.58","3.21","1.13",".282","76.3%","3.53","3.94","3.97","1.22"
"NYM","810.2","9.67","3.13","1.09",".286","74.0%","3.53","3.77","3.80","1.20"
"MIA","876.2","8.76","3.17","0.89",".280","72.9%","3.53","3.73","4.10","1.21"
"TBR","900.0","9.40","2.71","1.13",".276","72.9%","3.59","3.71","3.82","1.14"
"CHW","851.2","10.35","3.15","1.19",".285","75.3%","3.60","3.74","3.84","1.20"
"HOU","892.0","9.10","3.35","1.16",".265","75.6%","3.62","4.06","4.15","1.19"
"OAK","895.2","8.50","2.72","1.12",".286","74.7%","3.72","3.91","4.31","1.22"
"NYY","863.2","9.63","3.03","1.16",".277","72.4%","3.79","3.81","4.03","1.18"
"TOR","824.2","9.54","3.27","1.45",".283","75.5%","4.03","4.36","4.07","1.26"
"BOS","883.1","9.52","3.50","1.05",".322","73.4%","4.07","3.89","4.07","1.37"
"CHC","876.1","9.02","3.91","1.31",".278","74.7%","4.09","4.55","4.35","1.32"
"ATL","857.0","9.20","3.56","1.17",".292","72.2%","4.20","4.12","4.16","1.31"
"STL","870.1","8.05","4.46","0.89",".275","72.2%","4.24","4.39","4.84","1.36"
"WSN","841.1","8.85","3.32","1.41",".281","71.6%","4.38","4.48","4.35","1.29"
"SEA","877.2","8.50","3.25","1.16",".291","70.2%","4.41","4.18","4.39","1.29"
"PHI","856.0","9.45","3.16","1.37",".300","71.5%","4.44","4.24","3.97","1.31"
"CLE","840.0","9.53","3.60","1.39",".288","72.2%","4.49","4.37","4.13","1.31"
"DET","870.1","8.27","3.57","1.28",".288","70.1%","4.59","4.55","4.53","1.35"
"CIN","883.2","9.78","4.18","1.33",".297","71.4%","4.61","4.45","4.29","1.40"
"COL","854.0","8.08","3.53","1.25",".293","69.7%","4.67","4.49","4.36","1.36"
"TEX","875.0","8.12","3.18","1.48",".294","71.0%","4.75","4.66","4.40","1.35"
"LAA","860.2","9.68","3.95","1.27",".302","68.9%","4.81","4.28","4.12","1.38"
"MIN","869.0","8.51","3.01","1.53",".295","67.9%","4.90","4.61","4.33","1.33"
"PIT","850.1","8.65","3.84","1.33",".293","70.1%","4.90","4.61","4.56","1.38"
"KCR","839.0","8.97","4.03","1.29",".311","70.0%","5.04","4.50","4.52","1.45"
"ARI","877.0","8.09","3.44","1.52",".307","67.5%","5.38","4.88","4.71","1.45"
"BAL","847.1","8.68","3.63","1.52",".311","68.5%","5.44","4.78","4.61","1.46"
