"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"MIL","45.0","9.20","2.60","0.80",".263","77.1%","2.20","3.33","3.76","1.07"
"OAK","51.2","10.28","3.31","0.87",".276","85.2%","2.61","3.35","3.75","1.14"
"HOU","54.0","10.67","3.67","0.67",".262","81.6%","2.67","3.08","3.41","1.11"
"KCR","45.0","8.00","3.00","0.60",".282","73.8%","3.20","3.24","3.88","1.18"
"ATL","55.0","8.84","4.09","0.65",".277","76.5%","3.27","3.55","4.07","1.27"
"BOS","55.0","9.49","3.44","0.82",".290","76.9%","3.27","3.70","4.20","1.20"
"LAA","51.0","9.53","2.12","0.88",".271","73.5%","3.35","3.25","3.38","1.02"
"TBR","63.0","9.57","2.00","1.00",".263","70.9%","3.43","3.33","4.01","1.03"
"WSN","52.1","7.22","1.55","1.55",".240","74.9%","3.44","4.36","4.10","1.01"
"NYM","55.0","8.02","2.78","1.31",".298","72.9%","3.60","4.41","4.46","1.33"
"SDP","53.0","8.15","3.40","0.85",".277","73.4%","3.74","3.98","4.41","1.25"
"BAL","52.2","8.72","2.56","1.20",".245","74.7%","3.76","4.14","4.55","1.06"
"CHC","61.1","9.24","3.23","1.47",".298","76.1%","3.82","4.39","4.31","1.35"
"NYY","53.2","9.56","4.70","0.84",".275","68.2%","3.86","3.86","4.75","1.34"
"COL","44.0","8.18","2.45","1.84",".239","82.9%","3.89","4.88","4.21","1.11"
"MIN","67.0","7.93","1.88","1.48",".246","70.5%","3.90","4.33","4.04","1.06"
"DET","60.0","9.15","2.70","1.05",".240","67.0%","4.05","3.69","4.10","1.03"
"SEA","53.0","8.83","3.74","1.19",".291","77.5%","4.08","4.32","4.59","1.32"
"CHW","58.0","9.47","3.88","2.02",".260","76.9%","4.34","5.31","4.58","1.33"
"SFG","62.0","9.87","3.34","1.31",".253","69.9%","4.35","4.20","3.96","1.16"
"STL","62.0","8.56","3.77","0.73",".305","72.1%","4.35","3.94","4.54","1.37"
"ARI","52.0","9.17","2.60","1.56",".322","74.1%","4.50","4.35","3.92","1.35"
"LAD","64.0","9.14","3.38","1.83",".252","75.7%","4.50","4.94","4.33","1.22"
"MIA","62.0","7.55","3.34","1.74",".272","70.6%","5.08","5.44","4.80","1.32"
"PHI","53.1","8.27","3.88","2.36",".275","72.8%","5.57","6.08","4.71","1.48"
"PIT","50.0","11.52","3.60","2.16",".363","74.8%","5.76","5.15","3.96","1.54"
"CLE","62.0","6.68","2.47","2.03",".297","68.6%","5.95","5.57","4.80","1.42"
"CIN","56.0","9.32","4.34","2.73",".316","73.4%","6.43","6.64","4.86","1.66"
"TOR","43.0","8.37","3.56","2.93",".319","76.9%","6.49","6.71","4.47","1.60"
"TEX","56.0","6.75","4.50","1.93",".285","63.7%","6.59","6.05","5.21","1.55"
