"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"NYY","485.1","9.23","2.41","0.70",".266","78.3%","2.74","3.04","3.39","1.04"
"LAD","482.1","8.98","2.57","0.93",".268","77.8%","2.91","3.51","3.63","1.09"
"HOU","475.1","8.27","2.82","0.81",".266","77.1%","2.93","3.57","3.94","1.13"
"TBR","486.0","8.76","2.50","1.11",".269","73.6%","3.31","3.77","3.68","1.12"
"SDP","485.2","9.10","3.11","0.91",".265","74.6%","3.34","3.60","3.66","1.13"
"MIL","496.1","9.86","3.23","0.89",".287","72.2%","3.41","3.41","3.43","1.20"
"NYM","498.2","9.11","2.91","1.01",".283","75.5%","3.59","3.69","3.68","1.19"
"MIN","494.0","8.49","2.91","1.09",".282","75.3%","3.66","3.91","3.92","1.22"
"DET","471.0","7.87","3.06","1.01",".264","71.6%","3.67","3.93","4.08","1.18"
"CLE","431.0","8.44","2.97","0.96",".265","70.3%","3.72","3.79","3.99","1.15"
"BOS","482.2","8.56","2.95","1.16",".268","72.8%","3.73","4.03","3.93","1.18"
"TEX","471.2","8.61","3.61","1.05",".278","74.4%","3.78","4.09","3.86","1.27"
"STL","489.0","7.40","3.35","1.05",".283","76.9%","3.79","4.28","4.19","1.31"
"TOR","469.1","8.51","2.53","1.07",".294","73.0%","3.82","3.76","3.75","1.22"
"ATL","491.1","9.31","3.74","0.81",".290","69.9%","3.85","3.61","3.86","1.28"
"MIA","456.2","9.18","3.43","1.14",".278","72.8%","3.86","4.04","3.82","1.23"
"PHI","480.0","9.34","3.24","0.86",".306","70.0%","3.99","3.57","3.67","1.28"
"LAA","484.1","8.05","3.23","1.15",".263","71.3%","4.05","4.20","4.06","1.21"
"BAL","498.1","7.21","3.03","1.07",".295","71.4%","4.10","4.26","4.21","1.32"
"SEA","473.2","8.59","3.06","1.37",".284","73.8%","4.14","4.33","4.03","1.27"
"CHW","464.0","9.29","4.11","1.01",".306","70.7%","4.15","3.99","4.01","1.40"
"ARI","486.0","7.17","3.22","1.11",".282","71.1%","4.19","4.34","4.42","1.31"
"OAK","494.2","7.82","3.24","1.00",".290","71.4%","4.20","4.07","4.16","1.30"
"SFG","470.2","8.59","2.81","0.84",".316","68.2%","4.30","3.48","3.63","1.31"
"CHC","489.1","8.75","3.29","1.23",".292","70.5%","4.30","4.17","3.79","1.30"
"PIT","458.0","8.14","3.85","1.04",".286","67.5%","4.36","4.24","4.33","1.37"
"KCR","455.0","6.98","4.05","1.11",".304","68.3%","5.12","4.66","4.70","1.50"
"COL","477.0","7.26","3.45","1.08",".323","64.0%","5.25","4.34","4.32","1.51"
"WSN","488.2","7.88","3.89","1.20",".317","68.0%","5.30","4.59","4.41","1.51"
"CIN","458.0","9.12","4.22","1.38",".302","68.3%","5.46","4.70","4.39","1.44"
