"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"NYY","55.0","8.84","1.96","0.16",".203","86.2%","1.15","2.18","3.19","0.73"
"BOS","54.0","7.67","1.83","0.50",".283","76.2%","2.33","2.82","3.69","1.06"
"NYM","62.0","7.26","3.34","0.73",".271","80.3%","2.47","3.74","4.03","1.24"
"CLE","53.0","10.36","2.55","0.85",".244","80.9%","2.72","3.08","3.48","0.96"
"TEX","66.0","8.05","3.27","0.82",".243","77.6%","2.73","3.85","4.01","1.11"
"PIT","54.0","9.17","3.67","1.67",".252","87.5%","3.00","4.90","4.05","1.24"
"SDP","61.2","8.03","3.65","0.73",".263","77.5%","3.06","3.82","4.04","1.20"
"ATL","65.1","9.37","3.58","0.96",".277","71.2%","3.17","3.69","3.46","1.21"
"HOU","53.0","7.47","3.40","0.68",".231","74.4%","3.23","3.65","4.29","1.08"
"PHI","57.0","8.68","2.21","0.79",".253","64.8%","3.47","3.30","3.44","1.00"
"SFG","63.1","9.09","2.70","1.14",".253","69.7%","3.69","3.71","3.51","1.09"
"STL","74.0","7.30","3.53","0.85",".327","78.3%","3.77","4.00","4.28","1.49"
"TBR","63.0","8.29","2.43","1.29",".332","80.6%","3.86","4.20","4.05","1.38"
"DET","70.1","8.96","3.07","1.41",".242","68.6%","3.97","4.29","3.88","1.12"
"ARI","53.0","7.47","3.23","1.02",".329","74.7%","4.08","4.08","4.01","1.45"
"BAL","64.0","5.06","2.67","0.56",".280","66.8%","4.08","3.90","4.81","1.27"
"SEA","54.0","8.67","2.17","1.67",".241","73.9%","4.17","4.51","3.98","1.06"
"MIL","72.2","9.66","3.34","1.24",".322","70.8%","4.21","3.98","3.51","1.39"
"LAD","64.0","10.13","2.53","1.69",".282","72.8%","4.50","4.36","3.51","1.19"
"TOR","54.0","9.50","1.83","1.83",".345","74.3%","4.67","4.45","3.53","1.35"
"CHC","85.0","9.11","3.60","1.38",".278","64.3%","4.87","4.44","3.79","1.28"
"CIN","53.0","11.04","3.23","1.53",".316","66.8%","4.92","3.97","3.06","1.34"
"OAK","54.0","7.00","3.67","1.17",".296","67.9%","5.00","4.77","4.73","1.43"
"CHW","50.0","8.82","5.04","1.62",".326","70.4%","5.04","5.32","4.38","1.66"
"MIN","67.0","6.99","2.55","1.61",".287","66.9%","5.24","4.94","4.22","1.33"
"KCR","51.0","5.65","4.76","1.41",".302","68.9%","6.18","5.81","5.39","1.69"
"COL","67.0","6.85","3.22","1.48",".332","56.9%","6.31","4.96","4.60","1.63"
"MIA","62.0","10.16","4.06","1.45",".317","62.2%","6.39","4.67","4.26","1.44"
"LAA","48.2","8.14","4.99","2.40",".317","65.0%","7.40","6.65","5.33","1.77"
"WSN","59.0","7.32","3.97","1.83",".360","60.3%","7.93","5.58","4.61","1.80"
