"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","2072","290","35","10.6%","21.0%",".177",".294",".251",".333",".428",".334","116","6.5","27.6%","85.2%","41.2%"
"NYM","2146","286","23","8.3%","19.8%",".143",".310",".264",".335",".407",".327","116","2.0","32.5%","86.3%","36.8%"
"NYY","2012","258","31","9.5%","21.9%",".181",".277",".244",".321",".425",".327","117","0.7","32.0%","84.6%","44.0%"
"SFG","2040","273","24","9.7%","22.1%",".165",".286",".244",".325",".410",".324","110","0.5","29.3%","84.4%","39.2%"
"COL","2061","253","10","8.0%","20.8%",".140",".312",".261",".327",".402",".323","93","-5.9","33.6%","86.3%","35.7%"
"BOS","2073","262","12","7.4%","21.1%",".161",".308",".259",".318",".420",".322","108","-0.2","34.2%","83.9%","41.1%"
"TOR","1973","227","19","8.5%","21.4%",".167",".285",".245",".317",".413",".321","108","2.7","31.7%","84.9%","43.6%"
"MIN","2098","244","13","9.2%","22.6%",".153",".298",".248",".323",".400",".320","111","-5.9","30.5%","86.6%","41.8%"
"STL","2102","269","44","8.6%","19.3%",".145",".294",".254",".323",".399",".319","108","8.8","35.0%","85.8%","34.8%"
"LAA","2050","247","31","8.6%","24.5%",".162",".299",".244",".316",".406",".318","110","-3.9","28.8%","83.5%","37.7%"
"PHI","2038","256","32","8.3%","23.6%",".165",".296",".246",".314",".411",".318","102","5.0","34.1%","84.7%","40.5%"
"CHC","2089","245","39","9.4%","23.0%",".151",".299",".244",".323",".396",".318","102","2.1","31.4%","84.3%","39.4%"
"ATL","2067","243","27","8.1%","25.6%",".174",".298",".241",".309",".415",".318","101","-1.9","34.5%","81.6%","41.7%"
"HOU","2010","223","26","9.3%","20.1%",".171",".263",".234",".311",".404",".316","111","-3.2","30.8%","86.3%","40.4%"
"SEA","2053","222","28","9.4%","22.1%",".149",".285",".239",".319",".388",".314","112","-6.3","30.4%","86.6%","36.1%"
"MIA","1963","225","27","8.4%","23.4%",".150",".297",".243",".315",".393",".314","104","-2.4","33.9%","84.5%","37.0%"
"MIL","2084","247","33","8.9%","24.1%",".168",".274",".230",".307",".398",".312","98","2.3","29.5%","85.0%","39.3%"
"WSN","2097","230","23","8.2%","19.5%",".121",".304",".255",".321",".376",".310","96","-9.8","33.3%","85.5%","36.0%"
"CLE","1846","225","28","8.2%","18.3%",".142",".281",".245",".311",".387",".308","103","1.7","32.1%","87.5%","35.2%"
"ARI","2024","212","19","9.7%","25.0%",".163",".262",".216",".298",".379",".300","89","8.0","28.9%","85.0%","37.8%"
"CIN","1928","227","27","8.2%","23.5%",".137",".282",".231",".302",".368",".298","85","-6.8","32.1%","86.1%","37.1%"
"TEX","1956","226","43","7.3%","22.6%",".150",".271",".231",".292",".381",".297","96","11.6","32.3%","83.0%","39.5%"
"SDP","2068","228","21","9.3%","22.3%",".124",".286",".233",".310",".357",".297","93","0.8","31.0%","86.2%","34.7%"
"TBR","1982","223","39","8.0%","23.1%",".143",".280",".231",".297",".375",".297","100","0.6","31.9%","83.4%","39.1%"
"PIT","1893","185","27","8.9%","24.2%",".134",".281",".226",".299",".360",".293","88","-3.3","30.0%","86.8%","38.1%"
"KCR","1942","195","30","7.7%","20.6%",".124",".283",".236",".299",".360",".293","90","2.8","33.1%","85.2%","38.7%"
"BAL","2107","215","29","7.6%","23.8%",".135",".280",".227",".297",".362",".293","90","0.7","35.2%","84.4%","38.9%"
"CHW","1932","190","25","6.2%","19.7%",".124",".280",".240",".294",".363",".292","92","3.9","35.4%","86.4%","40.4%"
"OAK","2007","183","37","7.6%","24.2%",".114",".265",".210",".276",".324",".268","79","0.1","32.3%","84.9%","35.5%"
"DET","1901","150","11","6.7%","24.3%",".099",".278",".218",".278",".318",".267","74","-10.2","35.8%","84.4%","33.5%"
