"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","239","42","2","10.9%","18.8%",".301",".327",".306",".389",".608",".427","183","0.6","27.6%","86.2%","47.3%"
"NYY","224","38","6","10.3%","20.1%",".277",".326",".303",".375",".579",".404","172","0.2","27.9%","85.0%","43.5%"
"CHC","367","44","11","10.4%","18.8%",".181",".347",".299",".374",".480",".371","137","1.8","30.7%","84.4%","35.0%"
"ATL","300","45","2","6.7%","19.7%",".196",".344",".293",".347",".489",".362","131","-0.4","36.3%","84.2%","45.4%"
"HOU","240","30","2","10.0%","16.7%",".182",".286",".263",".354",".445",".353","138","-0.8","28.0%","85.9%","38.2%"
"NYM","273","43","1","7.3%","20.1%",".167",".324",".285",".348",".451",".350","131","0.0","31.6%","86.9%","38.9%"
"PHI","239","40","3","10.5%","22.2%",".230",".260",".239",".326",".469",".344","120","0.5","32.1%","81.9%","42.4%"
"PIT","226","30","7","8.8%","22.6%",".182",".306",".261",".329",".443",".336","116","0.4","33.3%","86.3%","34.4%"
"STL","319","46","6","10.7%","19.1%",".152",".304",".266",".342",".418",".335","118","0.5","32.8%","87.1%","33.0%"
"COL","280","37","0","10.0%","25.4%",".170",".314",".247",".332",".417",".332","99","-0.6","35.0%","84.9%","35.0%"
"SEA","244","31","5","8.6%","18.9%",".169",".291",".254",".332",".423",".332","124","-0.2","29.2%","90.2%","39.2%"
"CLE","228","32","3","9.2%","9.6%",".153",".269",".261",".339",".414",".330","120","0.2","33.4%","89.3%","35.2%"
"WSN","273","29","3","9.5%","20.1%",".152",".297",".258",".330",".410",".327","107","-1.3","32.3%","84.4%","39.3%"
"CHW","230","23","2","4.8%","19.6%",".129",".341",".286",".326",".415",".327","117","0.3","34.2%","88.3%","39.0%"
"MIA","273","42","6","8.1%","19.8%",".158",".299",".259",".322",".417",".326","112","0.5","30.0%","85.6%","35.4%"
"BAL","254","35","0","7.5%","25.2%",".223",".252",".218",".291",".441",".320","109","-0.7","37.1%","88.2%","41.6%"
"SFG","275","41","3","7.6%","24.7%",".219",".250",".219",".295",".437",".319","107","-0.7","31.4%","84.4%","35.0%"
"LAD","263","28","6","8.4%","22.8%",".180",".278",".238",".305",".418",".319","107","1.1","29.8%","85.1%","41.7%"
"TEX","262","27","8","6.1%","23.7%",".206",".262",".235",".290",".440",".318","111","1.8","33.0%","84.3%","34.3%"
"CIN","221","28","7","7.7%","17.2%",".123",".296",".266",".321",".389",".316","97","-0.8","28.3%","88.5%","39.2%"
"MIN","295","35","3","5.8%","26.4%",".175",".277",".230",".282",".405",".303","99","0.6","33.3%","87.4%","42.6%"
"BOS","223","28","1","8.5%","25.1%",".144",".308",".233",".305",".376",".298","91","0.1","34.3%","82.6%","34.9%"
"ARI","223","23","1","9.4%","23.3%",".173",".243",".209",".291",".383",".295","86","1.7","31.5%","87.6%","38.1%"
"SDP","273","28","1","6.6%","25.3%",".135",".298",".234",".287",".369",".290","89","-0.1","30.2%","86.1%","33.0%"
"KCR","221","19","1","7.7%","24.4%",".109",".292",".228",".294",".337",".282","83","-0.2","34.3%","88.6%","33.1%"
"TBR","263","25","5","10.6%","20.5%",".101",".259",".215",".302",".316",".280","88","-0.6","32.6%","84.4%","37.4%"
"MIL","297","29","3","8.4%","26.9%",".144",".233",".186",".276",".330",".275","74","1.0","30.7%","83.7%","28.8%"
"DET","266","25","2","3.8%","25.2%",".099",".269",".206",".245",".306",".245","58","-1.0","39.7%","82.0%","33.3%"
"LAA","213","12","3","7.5%","23.9%",".052",".246",".186",".258",".237",".231","48","-0.5","31.4%","81.3%","30.8%"
"OAK","205","10","4","8.3%","25.9%",".091",".226",".166",".239",".257",".227","50","0.6","28.5%","85.2%","37.3%"
