"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","7344.0","3","-1","2","0","-1","6","35","24","67","1034","846",".818","372","","10.8","3.4","0.2","6.7","6.3","16.5","5.8","31.3"
"Royals","7107.0","1","1","0","0","-1","3","19","7","26","1166","922",".791","337","","6.5","-2.1","0.9","11.7","9.8","20.3","4.6","20.3"
"Twins","7164.0","3","0","-3","-1","11","7","28","16","61","1045","852",".815","375","","6.9","9.0","0.0","16.8","-9.7","16.0","7.4","19.0"
"Phillies","7119.0","-1","1","5","1","3","-4","1","1","10","1110","894",".805","287","","6.0","7.0","-2.1","-0.9","5.8","9.8","5.1","17.8"
"Rays","7383.0","4","-1","-1","3","8","1","20","15","45","983","792",".806","358","","8.1","7.7","0.6","5.0","-4.3","9.0","5.7","16.1"
"Athletics","7413.0","-6","-3","1","-6","7","-4","12","10","13","1167","962",".824","311","","-12.4","5.3","-2.0","3.4","8.4","15.0","5.3","16.0"
"Angels","7146.0","-4","-5","0","-1","-3","-2","10","1","-6","1071","882",".824","308","","-10.4","1.2","-0.9","6.8","8.4","15.6","4.1","15.6"
"Dodgers","7284.0","4","2","1","0","6","4","42","32","90","1014","819",".808","351","","11.4","9.2","0.0","8.2","-4.9","12.5","8.0","14.5"
"Cubs","7143.0","-2","0","-1","5","3","2","5","4","13","1104","911",".825","285","","-13.6","2.1","4.7","2.8","6.8","16.4","4.2","14.4"
"Marlins","7005.0","2","-2","0","2","-6","2","8","0","5","1035","837",".809","281","","2.8","-0.6","0.5","5.9","1.0","6.8","1.9","7.8"
"Padres","7134.0","17","4","0","-3","1","-4","-9","-5","-2","1126","897",".797","310","","30.9","-2.7","-0.6","3.4","5.1","5.3","0.0","6.3"
"Indians","6897.0","10","2","-1","0","0","2","-2","16","25","957","781",".816","302","","9.0","0.8","-1.5","1.0","3.7","4.0","1.4","6.0"
"Astros","7206.0","-1","0","1","-2","-1","13","28","29","67","968","791",".817","367","","-7.5","-2.1","-5.2","6.9","4.2","3.8","0.6","4.8"
"Red Sox","7266.0","5","1","2","-1","6","8","-30","6","-2","1042","857",".823","275","","19.8","9.1","-2.5","-5.1","1.0","2.5","3.7","4.5"
"Cardinals","6945.0","-7","-3","2","3","0","-1","24","18","42","1028","848",".825","276","","-8.8","4.0","1.5","0.5","3.3","9.3","4.1","3.5"
"Giants","7068.0","7","-1","-2","-5","4","-1","27","10","39","1066","863",".810","294","","15.3","0.8","-1.9","10.0","-2.7","6.2","2.1","3.2"
"Rangers","7128.0","-6","2","-6","4","-4","-6","-24","8","-33","1157","918",".793","279","","-20.2","-3.3","4.4","0.9","7.8","9.9","1.0","2.9"
"Brewers","7335.0","6","-2","-2","3","-1","8","20","5","37","1001","791",".790","335","","18.3","2.0","1.3","2.1","-6.1","-0.6","0.4","-0.6"
"Reds","6876.0","4","-1","-3","3","3","3","24","15","44","958","768",".802","309","","7.0","-2.8","1.5","2.7","0.8","2.2","-0.6","-2.8"
"Rockies","7155.0","-8","0","3","3","-6","-3","-3","17","3","1117","900",".806","343","","-11.1","-3.5","2.0","-1.7","-3.1","-6.3","-2.7","-4.3"
"Yankees","6999.0","-3","0","2","2","-3","6","-17","-6","-22","1023","782",".764","343","","-10.9","-3.8","2.5","-2.8","-3.6","-7.7","-3.8","-6.7"
"White Sox","6636.0","-5","1","2","3","-1","0","-30","7","-20","997","798",".800","319","","-16.8","-0.5","1.8","-5.7","-6.0","-10.4","-3.3","-8.4"
"Blue Jays","7173.0","5","3","1","-1","0","-4","-24","13","-6","1093","871",".797","324","","13.9","-0.1","-2.9","-20.0","5.6","-17.4","-4.1","-12.4"
"Nationals","7014.0","-4","1","-1","-1","3","-1","-35","3","-36","1014","826",".815","287","","-7.8","-4.1","-2.1","-6.6","1.4","-11.5","-4.6","-12.5"
"Tigers","6789.0","-2","2","0","-3","-4","-5","-21","6","-30","1110","871",".785","283","","-10.2","-8.1","-0.4","-6.9","1.8","-13.6","-6.1","-12.6"
"Braves","7269.0","9","2","-2","-1","-2","-1","15","-1","16","1100","882",".802","324","","19.0","-1.6","-0.5","-11.1","0.5","-12.7","-3.4","-16.7"
"Pirates","7074.0","-7","-2","0","0","-2","-7","-14","8","-23","1036","821",".793","312","","-19.2","-1.3","0.1","-8.6","-8.1","-17.9","-6.3","-17.9"
"Orioles","6984.0","-16","-2","2","3","-13","-11","-31","-1","-67","1062","861",".811","386","","-20.0","-16.0","1.7","-0.8","-11.4","-26.5","-12.2","-23.5"
"Mariners","7449.0","-4","-3","-1","-3","-7","-9","-32","-1","-65","1251","992",".793","339","","-12.6","-7.7","-1.3","-11.2","-14.9","-35.1","-9.2","-39.1"
"Mets","7134.0","-7","2","-1","1","5","-5","-47","-6","-64","1077","857",".796","269","","-10.5","-1.2","0.2","-13.5","-6.0","-20.6","-5.4","-41.0"
