"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","51","39","20","399","90","820.1","9.48","2.92","0.97",".282","75.3 %","45.5 %","12.3 %","3.39","3.57","3.89","14.3"
"Dodgers","60","31","26","364","91","809.1","9.03","2.22","1.18",".267","74.1 %","45.5 %","14.2 %","3.38","3.76","3.86","13.2"
"Nationals","46","42","23","375","88","779.1","9.68","3.19","1.17",".305","70.9 %","43.0 %","12.9 %","4.40","3.97","4.25","12.6"
"Twins","56","32","26","359","88","796.0","8.64","2.83","1.22",".290","73.2 %","41.4 %","13.3 %","3.98","4.14","4.36","12.5"
"Athletics","49","41","20","398","91","823.2","7.82","3.18","1.11",".276","73.0 %","40.8 %","11.0 %","4.06","4.28","4.88","11.6"
"Indians","49","38","24","369","87","766.1","9.61","2.83","1.35",".290","74.6 %","40.8 %","14.6 %","3.98","4.11","4.17","11.5"
"Astros","56","33","23","342","89","800.2","9.98","2.79","1.52",".261","77.2 %","43.0 %","17.4 %","3.80","4.20","3.90","11.3"
"Reds","41","45","22","378","86","764.0","9.72","3.39","1.17",".285","77.1 %","44.8 %","15.0 %","3.69","3.98","3.99","11.3"
"Yankees","57","30","31","371","87","777.2","9.28","3.09","1.50",".293","75.7 %","44.1 %","16.6 %","4.17","4.44","4.23","11.0"
"Red Sox","48","41","17","402","89","807.1","10.04","3.38","1.28",".312","70.3 %","42.3 %","14.0 %","4.60","4.11","4.26","10.7"
"Diamondbacks","45","45","19","375","90","816.0","8.65","3.20","1.20",".297","73.0 %","42.8 %","13.6 %","4.28","4.21","4.40","9.2"
"Rangers","47","42","21","353","89","792.0","8.55","3.52","1.45",".313","71.9 %","41.4 %","14.9 %","4.90","4.72","4.75","9.0"
"Brewers","47","43","26","391","90","815.0","9.22","3.40","1.35",".306","71.9 %","41.9 %","15.5 %","4.60","4.36","4.30","8.7"
"Cubs","47","42","20","378","89","793.2","8.62","3.48","1.22",".292","73.6 %","47.0 %","15.5 %","4.09","4.34","4.29","8.5"
"Mets","40","49","21","352","89","792.2","9.29","3.37","1.37",".310","70.0 %","42.7 %","14.4 %","4.85","4.38","4.48","8.1"
"Rockies","44","44","16","397","88","795.0","8.11","3.45","1.47",".308","69.7 %","46.7 %","17.3 %","5.16","4.78","4.51","6.8"
"Padres","44","45","34","382","89","792.2","8.87","2.61","1.40",".295","70.0 %","43.6 %","15.0 %","4.58","4.27","4.28","6.5"
"Tigers","28","56","22","391","85","754.1","8.15","3.30","1.54",".306","69.5 %","43.7 %","15.6 %","4.98","4.85","4.77","6.4"
"Pirates","43","45","21","373","88","786.0","8.95","3.66","1.39",".311","70.6 %","41.8 %","14.5 %","4.91","4.59","4.67","6.1"
"Marlins","33","54","20","360","87","778.1","8.61","3.61","1.21",".286","73.0 %","40.1 %","12.5 %","4.28","4.41","4.77","5.9"
"Braves","53","37","24","411","90","807.2","8.64","3.64","1.24",".298","72.6 %","45.1 %","14.4 %","4.21","4.45","4.53","5.9"
"Cardinals","44","43","24","378","87","771.2","8.79","3.43","1.40",".285","74.3 %","45.7 %","17.5 %","4.18","4.53","4.25","5.6"
"White Sox","41","44","21","371","85","737.1","8.18","3.82","1.53",".302","70.5 %","40.0 %","14.8 %","5.09","4.98","5.02","5.3"
"Angels","45","45","21","396","90","794.0","9.03","3.57","1.67",".282","72.9 %","38.6 %","16.2 %","4.87","4.94","4.77","4.3"
"Blue Jays","33","57","16","392","90","797.0","8.33","3.83","1.50",".303","71.2 %","45.1 %","16.6 %","4.96","4.92","4.73","3.9"
"Royals","30","60","16","360","90","789.2","7.75","3.80","1.36",".308","71.3 %","43.6 %","14.5 %","5.08","4.90","4.97","3.6"
"Giants","40","48","23","378","88","785.1","8.58","3.22","1.42",".295","71.1 %","42.0 %","15.6 %","4.58","4.57","4.50","3.3"
"Mariners","39","54","20","390","93","827.2","7.77","3.27","1.65",".299","67.1 %","42.3 %","16.2 %","5.17","5.06","4.89","3.2"
"Phillies","46","43","23","377","89","791.0","8.48","3.33","1.72",".301","75.8 %","42.5 %","18.3 %","4.66","5.05","4.61","3.1"
"Orioles","27","61","16","357","88","776.0","7.82","3.66","1.96",".290","68.4 %","41.0 %","17.9 %","5.67","5.68","5.23","1.8"
