"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"COL","272","46","6","8.5%","18.4%",".184",".384",".326",".386",".510",".384","135","0.5","32.1%","89.6%","39.0%"
"LAD","207","33","0","11.6%","18.8%",".217",".315",".280",".379",".497",".380","149","-0.4","30.1%","91.5%","39.6%"
"TOR","219","31","4","5.5%","20.1%",".152",".387",".328",".365",".480",".367","138","-0.3","28.0%","85.9%","47.5%"
"NYY","261","47","5","13.4%","22.2%",".203",".302",".258",".379",".461",".367","141","0.3","26.5%","86.0%","41.9%"
"SFG","263","41","5","9.1%","21.3%",".233",".301",".267",".346",".500",".365","139","1.1","28.2%","83.2%","38.8%"
"STL","228","37","2","9.6%","21.1%",".190",".329",".280",".360",".470",".361","137","0.2","32.6%","86.0%","37.0%"
"SEA","242","31","2","9.9%","23.6%",".179",".313",".264",".347",".443",".345","131","-0.5","24.7%","90.0%","41.4%"
"BAL","200","26","4","6.0%","17.0%",".209",".284",".264",".325",".473",".344","123","0.3","38.3%","85.4%","34.2%"
"TBR","256","38","1","7.4%","23.8%",".167",".346",".272",".343",".439",".342","129","-1.1","31.3%","81.8%","44.1%"
"CLE","256","33","2","7.8%","18.8%",".127",".341",".285",".357",".412",".336","120","-1.0","33.9%","90.2%","37.9%"
"CHW","312","46","1","5.8%","19.9%",".169",".304",".269",".317",".438",".329","116","-0.1","35.0%","86.9%","37.1%"
"SDP","261","30","4","9.2%","14.9%",".147",".286",".263",".333",".409",".326","114","0.6","29.7%","86.5%","36.7%"
"ARI","231","16","2","11.3%","20.8%",".146",".283",".234",".320",".380",".310","96","1.1","28.5%","85.0%","34.4%"
"WSN","218","23","2","7.8%","16.5%",".136",".274",".247",".312",".384",".305","95","-1.2","33.9%","82.9%","35.0%"
"KCR","289","31","5","4.5%","21.1%",".120",".324",".267",".307",".387",".303","94","-0.4","35.0%","86.9%","40.3%"
"ATL","252","30","6","5.2%","29.8%",".220",".250",".216",".262",".436",".301","90","1.2","35.6%","82.7%","45.1%"
"NYM","280","28","3","10.7%","23.2%",".139",".270",".220",".314",".359",".299","98","0.1","32.1%","88.2%","37.6%"
"MIN","221","17","0","9.0%","21.7%",".126",".271",".227",".308",".354",".295","91","-1.0","30.1%","89.2%","37.3%"
"CIN","198","23","1","7.6%","23.7%",".108",".299",".239",".310",".347",".293","83","-0.8","32.8%","85.4%","30.3%"
"OAK","235","33","2","4.3%","26.0%",".155",".294",".241",".281",".395",".293","94","0.4","35.3%","86.5%","31.1%"
"TEX","268","34","8","9.0%","27.6%",".157",".288",".223",".291",".380",".290","89","1.5","32.9%","82.2%","36.5%"
"PIT","271","24","5","8.9%","23.2%",".098",".311",".238",".310",".336",".288","85","-0.5","34.3%","90.0%","37.4%"
"PHI","209","22","3","2.4%","29.2%",".173",".278",".223",".249",".396",".277","76","0.3","39.6%","88.5%","45.4%"
"MIL","226","21","4","8.4%","23.9%",".099",".269",".218",".289",".317",".272","73","-0.5","30.7%","86.6%","38.4%"
"DET","255","18","3","5.5%","23.1%",".068",".285",".219",".267",".287",".248","58","-0.3","36.3%","84.1%","37.2%"
"HOU","219","19","4","9.1%","24.7%",".087",".237",".189",".269",".276",".247","61","-0.9","31.3%","87.4%","36.4%"
"BOS","244","20","5","4.5%","29.5%",".142",".253",".194",".230",".336",".246","53","1.0","38.5%","79.9%","34.8%"
"CHC","217","10","6","6.9%","28.1%",".055",".302",".215",".272",".270",".243","53","0.6","34.1%","86.6%","32.9%"
"LAA","189","16","3","9.0%","31.2%",".053",".269",".183",".266",".237",".232","48","0.6","31.8%","79.3%","33.3%"
"MIA","246","12","5","6.5%","24.8%",".040",".238",".175",".241",".215",".209","35","0.1","34.6%","89.7%","34.5%"
