"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1291.0","9.95","3.04","1.01",".259","77.3%","2.97","3.56","3.75","1.10"
"SFG","1280.2","8.80","2.66","0.96",".272","74.4%","3.27","3.62","3.92","1.14"
"MIL","1279.0","10.13","3.43","1.01",".274","75.5%","3.38","3.67","3.73","1.18"
"HOU","1264.1","9.18","3.38","1.18",".274","75.6%","3.74","4.10","4.11","1.22"
"NYY","1264.0","9.69","3.15","1.22",".279","73.5%","3.77","3.94","4.08","1.20"
"NYM","1224.1","9.51","3.04","1.21",".285","73.8%","3.77","3.97","3.94","1.21"
"TBR","1288.0","9.30","2.78","1.15",".288","72.9%","3.78","3.79","3.97","1.20"
"CHW","1241.1","10.25","3.12","1.22",".283","73.8%","3.78","3.79","3.85","1.20"
"SDP","1263.0","9.61","3.16","1.21",".286","74.8%","3.84","4.02","3.97","1.23"
"TOR","1238.1","9.38","3.05","1.32",".286","74.9%","3.89","4.14","4.05","1.24"
"MIA","1250.2","8.71","3.30","1.04",".284","72.3%","3.89","4.03","4.21","1.25"
"OAK","1266.2","8.38","2.73","1.16",".288","74.1%","3.92","4.01","4.33","1.24"
"ATL","1245.0","9.14","3.33","1.19",".285","73.8%","4.03","4.11","4.09","1.27"
"STL","1241.0","7.80","3.93","0.96",".272","72.5%","4.10","4.33","4.71","1.31"
"SEA","1270.1","8.24","2.99","1.22",".291","70.8%","4.31","4.24","4.45","1.29"
"BOS","1268.0","9.59","3.48","1.14",".323","71.8%","4.34","4.02","4.12","1.39"
"CIN","1275.2","9.55","3.85","1.31",".293","72.8%","4.37","4.36","4.20","1.35"
"CLE","1236.0","9.04","3.47","1.38",".281","72.6%","4.38","4.43","4.28","1.29"
"DET","1260.2","8.07","3.58","1.31",".291","72.1%","4.43","4.63","4.61","1.37"
"PHI","1252.2","9.40","3.20","1.31",".297","71.2%","4.45","4.19","4.01","1.30"
"KCR","1253.1","8.80","3.82","1.25",".301","71.0%","4.65","4.41","4.49","1.39"
"TEX","1249.1","7.79","3.17","1.48",".286","71.1%","4.66","4.74","4.57","1.33"
"LAA","1250.2","9.41","3.76","1.20",".306","69.4%","4.71","4.22","4.20","1.38"
"CHC","1261.1","8.74","3.77","1.47",".292","71.6%","4.75","4.81","4.40","1.39"
"WSN","1226.0","8.63","3.41","1.58",".287","70.5%","4.78","4.81","4.50","1.35"
"COL","1243.1","8.25","3.50","1.30",".298","69.8%","4.81","4.50","4.38","1.38"
"MIN","1255.0","8.33","3.05","1.55",".288","68.5%","4.88","4.69","4.43","1.32"
"PIT","1230.1","8.42","3.89","1.36",".300","69.7%","5.09","4.72","4.70","1.43"
"ARI","1251.2","7.86","3.53","1.45",".299","67.6%","5.19","4.85","4.85","1.43"
"BAL","1236.1","8.14","3.71","1.65",".307","66.1%","5.94","5.13","4.89","1.49"
