"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","5376","757","72","8.3%","20.3%",".199",".299",".267",".333",".466",".342","115","2.2","31.4%","86.7%","41.9%"
"HOU","5503","746","47","9.1%","19.4%",".171",".306",".268",".340",".439",".335","117","-8.1","29.3%","88.2%","40.7%"
"BOS","5465","731","38","8.3%","22.7%",".185",".309",".260",".327",".445",".330","106","-3.3","34.1%","83.4%","42.0%"
"SFG","5459","703","61","9.7%","24.0%",".191",".295",".248",".327",".439",".328","107","-7.1","28.1%","84.3%","38.7%"
"CHW","5366","708","54","9.6%","23.0%",".166",".307",".254",".334",".419",".327","109","1.3","32.9%","85.2%","39.2%"
"CIN","5472","701","27","9.0%","23.4%",".180",".296",".248",".328",".429",".326","100","-14.1","31.6%","85.5%","38.1%"
"WSN","5346","639","53","9.0%","21.5%",".163",".306",".257",".334",".420",".326","101","-19.6","29.1%","85.8%","39.6%"
"ATL","5354","699","55","9.4%","23.6%",".192",".283",".242",".320",".434",".323","100","4.8","31.6%","83.3%","39.9%"
"LAD","5551","725","55","9.9%","23.0%",".180",".282",".240",".327",".420",".323","105","8.8","27.9%","84.7%","40.2%"
"TBR","5510","775","75","9.4%","25.0%",".186",".295",".242",".320",".428",".322","108","11.8","30.5%","81.8%","39.8%"
"MIN","5393","643","45","8.8%","23.0%",".181",".281",".241",".315",".422",".317","100","-5.1","30.6%","84.3%","40.8%"
"NYY","5359","619","56","10.4%","24.7%",".164",".287",".236",".323",".400",".315","100","-10.9","28.1%","83.0%","41.8%"
"COL","5338","659","68","8.1%","22.3%",".167",".295",".248",".315",".415",".315","81","10.7","32.9%","85.1%","35.7%"
"MIL","5442","673","69","9.5%","24.1%",".166",".288",".237",".320",".403",".314","95","7.6","30.2%","84.2%","38.6%"
"OAK","5366","650","82","8.8%","22.3%",".172",".278",".238",".315",".409",".314","103","6.9","29.8%","85.2%","39.4%"
"PHI","5383","651","71","9.4%","23.0%",".169",".286",".240",".318",".409",".314","95","6.0","30.8%","83.7%","37.1%"
"SDP","5377","650","103","9.9%","21.9%",".159",".284",".240",".322",".398",".312","97","1.6","27.6%","85.9%","40.5%"
"LAA","5288","640","69","7.4%","23.6%",".166",".297",".247",".309",".413",".310","97","3.8","33.6%","85.2%","34.6%"
"NYM","5203","573","48","8.5%","23.7%",".153",".291",".239",".317",".392",".309","97","-10.5","33.2%","84.3%","38.3%"
"BAL","5296","600","51","7.6%","23.8%",".167",".288",".240",".305",".408",".308","95","-4.3","33.7%","84.2%","36.7%"
"DET","5318","633","72","8.2%","25.5%",".161",".301",".243",".308",".404",".308","93","0.3","32.8%","83.3%","38.5%"
"CHC","5278","616","64","8.1%","26.9%",".170",".289",".232",".305",".402",".306","91","-7.8","31.8%","83.4%","38.7%"
"STL","5250","584","74","8.1%","22.3%",".159",".282",".239",".310",".398",".306","93","7.4","31.4%","84.5%","37.3%"
"CLE","5170","614","96","7.9%","23.5%",".169",".278",".235",".302",".404",".305","90","4.4","32.2%","84.0%","38.5%"
"ARI","5434","603","36","8.8%","23.8%",".146",".294",".236",".310",".382",".301","85","5.5","30.7%","84.4%","35.4%"
"KCR","5295","601","107","7.0%","21.4%",".146",".288",".245",".303",".391",".300","87","9.5","34.5%","85.9%","38.4%"
"SEA","5295","608","58","9.0%","25.3%",".160",".271",".223",".301",".383",".298","92","-7.9","30.5%","83.4%","36.7%"
"MIA","5265","564","99","7.7%","26.1%",".139",".300",".235",".301",".374",".294","87","3.3","34.0%","84.0%","37.1%"
"PIT","5270","525","49","8.7%","22.1%",".128",".286",".234",".306",".363",".293","82","1.6","30.3%","87.1%","34.0%"
"TEX","5225","558","88","7.3%","23.3%",".147",".278",".231",".294",".378",".292","84","-0.5","32.7%","83.6%","36.1%"
