"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","633.1","9.11","2.59","0.91",".266","77.4%","2.91","3.44","3.67","1.08"
"NYY","658.1","9.15","2.57","0.90",".264","79.6%","2.94","3.38","3.53","1.07"
"HOU","636.2","8.69","2.93","0.89",".262","76.0%","3.05","3.62","3.88","1.12"
"TBR","643.1","8.86","2.56","1.12",".263","74.5%","3.18","3.77","3.73","1.11"
"SDP","674.2","8.74","3.03","0.93",".268","74.0%","3.48","3.68","3.79","1.15"
"BOS","653.1","8.50","2.89","1.07",".273","74.5%","3.54","3.89","3.93","1.18"
"ATL","662.1","9.74","3.30","0.80",".301","71.2%","3.72","3.35","3.60","1.25"
"SEA","652.2","8.48","2.96","1.30",".276","76.4%","3.74","4.21","4.05","1.22"
"CLE","604.0","8.39","3.07","1.12",".278","73.3%","3.75","4.04","4.06","1.23"
"MIL","663.1","9.42","3.16","1.09",".288","72.4%","3.76","3.77","3.57","1.23"
"MIN","655.0","8.30","2.94","1.18",".279","75.3%","3.78","4.07","4.07","1.23"
"LAA","665.1","8.22","3.19","1.10",".270","73.2%","3.80","4.07","4.04","1.22"
"STL","664.2","7.37","3.32","1.00",".280","75.4%","3.83","4.19","4.18","1.28"
"NYM","655.1","9.41","2.98","1.08",".293","74.1%","3.86","3.74","3.64","1.22"
"PHI","658.0","8.99","3.12","0.90",".296","70.7%","3.87","3.64","3.76","1.25"
"MIA","624.0","8.91","3.35","1.10",".287","72.9%","3.88","4.00","3.89","1.27"
"TEX","632.2","8.34","3.54","0.94",".286","72.1%","3.94","3.96","4.01","1.29"
"SFG","640.0","8.38","2.64","0.89",".304","69.7%","4.01","3.52","3.66","1.26"
"BAL","653.1","7.16","2.93","1.07",".296","72.4%","4.06","4.21","4.28","1.33"
"TOR","639.0","8.44","2.69","1.11",".298","71.6%","4.08","3.90","3.85","1.26"
"DET","629.0","8.00","3.10","1.06",".281","70.1%","4.12","3.99","4.14","1.25"
"CHW","640.0","9.48","3.77","1.11",".303","69.8%","4.16","3.97","3.91","1.36"
"ARI","654.0","7.49","3.17","1.14",".291","70.3%","4.32","4.31","4.38","1.33"
"OAK","649.1","7.73","3.45","1.11",".293","71.4%","4.44","4.31","4.31","1.36"
"PIT","631.0","8.24","3.77","1.11",".296","68.7%","4.56","4.32","4.31","1.40"
"CHC","650.1","8.79","3.39","1.41",".295","68.0%","4.84","4.48","4.00","1.35"
"COL","644.0","7.20","3.24","0.99",".316","65.5%","4.93","4.17","4.33","1.44"
"KCR","624.0","7.40","4.04","1.08",".302","68.7%","4.98","4.51","4.62","1.47"
"WSN","656.0","7.86","3.83","1.40",".307","68.8%","5.16","4.83","4.47","1.49"
"CIN","626.2","8.99","3.95","1.45",".297","68.1%","5.37","4.73","4.40","1.41"
