"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"BAL","50.0","7.20","2.88","0.36",".223","85.4%","1.62","3.19","4.46","0.98"
"SEA","53.0","8.32","3.06","0.85",".268","92.6%","1.87","3.58","3.90","1.13"
"TEX","45.0","6.60","3.40","0.40",".266","82.0%","2.40","3.44","4.42","1.18"
"BOS","54.0","6.83","2.17","0.67",".302","83.3%","2.50","3.40","3.77","1.22"
"LAD","55.0","8.84","2.13","0.98",".286","79.1%","2.95","3.45","3.64","1.11"
"HOU","54.1","9.94","3.81","1.33",".184","82.6%","2.98","4.21","3.81","0.99"
"MIN","56.0","7.55","2.57","0.96",".277","79.5%","3.05","3.91","4.38","1.18"
"SDP","65.0","7.62","2.91","0.97",".238","76.7%","3.18","3.99","4.26","1.09"
"WSN","41.0","8.78","2.41","1.54",".268","86.4%","3.29","4.20","3.84","1.17"
"PHI","51.0","8.82","2.47","0.88",".271","72.5%","3.35","3.44","3.49","1.08"
"TBR","55.0","10.96","2.95","1.80",".234","83.3%","3.44","4.38","3.43","1.07"
"MIA","62.0","9.44","3.05","1.02",".313","70.5%","3.63","3.61","3.70","1.34"
"STL","62.0","7.11","4.06","1.16",".256","79.1%","3.63","4.67","4.37","1.29"
"NYY","63.0","9.00","3.29","1.71",".245","84.7%","3.71","4.84","4.16","1.17"
"NYM","51.2","8.19","3.14","1.74",".274","85.2%","3.83","5.04","3.80","1.26"
"LAA","56.0","10.45","3.70","1.45",".319","77.5%","3.86","4.34","3.56","1.38"
"CHW","66.0","10.50","2.73","1.23",".298","63.0%","4.36","3.66","3.44","1.21"
"MIL","63.0","9.00","2.29","1.43",".277","70.7%","4.43","4.05","3.36","1.11"
"ATL","65.0","11.77","2.35","1.11",".383","72.1%","4.43","3.08","2.61","1.37"
"CHC","61.1","9.54","3.08","1.32",".274","57.6%","4.84","4.23","4.12","1.24"
"KCR","55.0","8.51","3.60","0.98",".296","63.1%","5.07","3.85","4.06","1.36"
"SFG","61.1","8.22","2.05","1.32",".313","63.5%","5.14","4.18","3.86","1.29"
"PIT","63.0","8.71","3.43","0.71",".351","68.1%","5.14","3.65","4.09","1.51"
"ARI","53.1","9.28","3.54","1.18",".302","61.9%","5.23","4.12","3.90","1.37"
"COL","49.0","5.69","2.76","0.92",".311","64.2%","5.33","4.29","4.79","1.45"
"DET","50.0","7.74","3.78","1.08",".281","62.7%","5.40","4.29","4.40","1.36"
"OAK","53.0","8.32","5.26","1.70",".281","74.3%","5.43","5.60","4.58","1.55"
"TOR","53.2","8.55","3.86","1.34",".380","67.2%","5.53","4.62","3.99","1.73"
"CLE","55.0","8.02","4.91","1.47",".340","74.3%","5.56","5.27","4.82","1.69"
"CIN","53.0","8.32","2.89","2.21",".322","65.8%","6.79","5.60","4.46","1.49"
