"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","2738","364","50","10.2%","21.9%",".174",".300",".253",".331",".427",".331","115","9.0","28.7%","84.9%","41.5%"
"NYY","2756","367","44","10.2%","22.0%",".194",".268",".240",".323",".434",".329","117","-1.3","31.5%","84.2%","43.5%"
"TOR","2725","339","25","8.2%","21.1%",".176",".295",".255",".323",".430",".329","112","1.3","31.3%","85.0%","43.9%"
"ATL","2788","349","36","7.9%","25.1%",".192",".296",".247",".313",".439",".327","107","1.1","35.3%","82.1%","43.4%"
"BOS","2808","351","27","7.8%","20.4%",".157",".309",".261",".326",".419",".324","108","2.4","33.5%","84.8%","41.3%"
"MIN","2775","328","13","9.0%","21.9%",".159",".298",".251",".323",".410",".322","111","-8.7","31.1%","86.2%","42.6%"
"HOU","2684","309","38","9.5%","20.0%",".180",".265",".238",".317",".418",".322","113","-4.8","31.0%","86.9%","40.1%"
"NYM","2815","365","27","8.0%","20.0%",".144",".304",".259",".329",".402",".322","112","-1.8","32.5%","85.9%","37.0%"
"SFG","2735","352","33","9.7%","22.9%",".165",".283",".240",".322",".404",".319","107","3.2","29.3%","84.4%","38.9%"
"PHI","2809","352","48","8.5%","22.3%",".167",".291",".247",".316",".413",".319","103","3.7","34.1%","85.4%","40.6%"
"STL","2857","356","53","8.3%","20.1%",".151",".295",".253",".321",".403",".319","108","4.7","34.5%","86.5%","35.1%"
"COL","2788","325","14","7.9%","20.8%",".138",".311",".259",".324",".397",".318","90","-5.9","33.6%","86.8%","35.7%"
"MIL","2799","332","44","9.1%","23.6%",".170",".277",".234",".313",".404",".315","100","1.3","29.3%","85.5%","38.8%"
"CHC","2786","310","44","8.9%","22.7%",".146",".299",".245",".320",".391",".313","99","0.6","31.6%","84.3%","38.0%"
"MIA","2660","316","56","7.8%","23.7%",".154",".297",".245",".311",".399",".312","104","-1.9","34.4%","85.1%","37.8%"
"SEA","2825","293","42","9.8%","22.5%",".147",".282",".234",".320",".381",".311","108","-4.3","30.4%","86.2%","35.1%"
"LAA","2782","315","35","8.4%","25.5%",".163",".294",".238",".307",".401",".310","102","-4.4","29.2%","83.2%","37.9%"
"WSN","2806","302","27","8.3%","19.3%",".127",".298",".252",".319",".379",".308","95","-10.9","33.5%","85.7%","35.9%"
"SDP","2880","347","25","9.1%","21.6%",".138",".293",".242",".319",".380",".308","100","1.3","31.2%","86.5%","35.5%"
"CLE","2576","308","47","7.6%","18.5%",".139",".290",".250",".311",".389",".306","100","6.0","32.7%","87.8%","34.0%"
"CIN","2644","314","38","7.7%","22.6%",".140",".290",".240",".308",".380",".304","89","-6.3","32.6%","85.8%","36.7%"
"CHW","2699","294","33","6.4%","20.3%",".125",".300",".252",".309",".377",".302","98","3.8","35.3%","86.0%","39.8%"
"TEX","2631","306","61","7.4%","23.1%",".155",".276",".236",".295",".391",".301","97","13.2","32.5%","82.8%","39.4%"
"BAL","2777","302","44","7.3%","24.2%",".149",".283",".230",".298",".379",".298","92","2.9","35.3%","84.7%","40.2%"
"KCR","2659","274","40","8.1%","20.4%",".134",".282",".237",".303",".371",".298","92","2.6","32.4%","85.4%","38.5%"
"TBR","2645","292","47","7.7%","23.4%",".141",".287",".235",".298",".376",".296","98","1.0","32.5%","83.8%","38.4%"
"ARI","2746","301","29","9.5%","24.0%",".159",".257",".216",".297",".375",".296","87","11.1","28.8%","85.6%","36.4%"
"PIT","2604","263","32","8.2%","25.4%",".144",".272",".220",".288",".364",".288","84","-5.8","31.1%","86.4%","38.0%"
"DET","2558","216","15","6.5%","23.7%",".104",".286",".226",".282",".330",".272","76","-12.3","35.9%","85.1%","34.8%"
"OAK","2648","235","45","7.1%","23.4%",".118",".261",".211",".273",".329",".268","77","-1.6","33.1%","84.9%","34.9%"
