"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Giants","91","249","12","52","51","1","8.0 %","21.7 %",".261",".371",".320",".379",".581",".395","148","0.1","15.6","1.6","2.5"
"Red Sox","90","253","12","48","46","2","6.3 %","17.4 %",".237",".363",".332",".371",".569",".389","140","0.3","13.3","1.6","2.3"
"Pirates","110","278","12","51","51","2","6.5 %","16.9 %",".226",".364",".333",".378",".560",".388","143","-0.5","15.0","-0.7","2.3"
"Cubs","80","242","10","34","34","0","9.5 %","25.6 %",".236",".354",".282",".360",".519",".367","127","0.2","8.7","2.2","1.8"
"Blue Jays","95","267","13","38","38","2","9.7 %","18.4 %",".249",".282",".266",".338",".515",".355","123","0.2","8.0","-1.7","1.5"
"Phillies","88","242","7","35","32","7","9.1 %","21.1 %",".148",".352",".292",".361",".440",".344","112","0.8","4.3","3.4","1.5"
"Twins","83","242","10","37","35","1","5.4 %","21.1 %",".222",".339",".293",".336",".516",".355","121","-0.4","5.9","0.8","1.5"
"Indians","66","206","7","30","27","2","10.7 %","14.1 %",".196",".324",".302",".380",".497",".366","126","-0.2","6.6","0.5","1.4"
"Rays","107","274","8","36","33","9","8.4 %","22.3 %",".163",".320",".264",".336",".427",".327","107","1.2","3.4","0.8","1.4"
"Cardinals","94","237","11","32","31","1","6.8 %","22.8 %",".205",".331",".284",".340",".488",".347","116","-0.2","4.7","1.1","1.3"
"Yankees","87","250","11","38","37","3","10.4 %","24.8 %",".204",".322",".267",".343",".471",".343","112","-0.9","2.8","1.0","1.2"
"Astros","71","189","7","27","27","3","9.0 %","17.5 %",".218",".305",".276",".344",".494",".350","124","0.2","5.9","-0.4","1.2"
"Athletics","86","239","10","38","33","1","10.5 %","20.5 %",".206",".270",".244",".331",".450",".331","109","0.2","2.9","0.4","1.1"
"Nationals","83","238","8","23","22","7","11.3 %","17.2 %",".186",".301",".270",".364",".456",".347","112","0.1","3.6","0.1","1.1"
"White Sox","77","198","8","28","28","2","6.6 %","23.7 %",".185",".341",".287",".337",".472",".340","115","0.9","4.5","-1.8","0.9"
"Braves","84","217","11","31","30","3","8.3 %","25.8 %",".253",".298",".253",".315",".505",".335","103","0.2","0.9","0.8","0.9"
"Angels","91","234","10","26","26","1","9.0 %","24.8 %",".186",".294",".248",".321",".433",".321","103","-0.7","0.2","0.3","0.9"
"Tigers","93","246","9","35","34","2","6.1 %","24.0 %",".185",".325",".269",".318",".454",".326","103","0.4","1.1","-1.4","0.8"
"Diamondbacks","77","189","6","24","24","2","6.9 %","22.2 %",".150",".331",".277",".328",".428",".317","93","0.4","-1.5","2.6","0.7"
"Dodgers","86","233","5","28","27","0","8.6 %","21.5 %",".137",".291",".240",".320",".377",".303","88","0.1","-3.6","2.6","0.6"
"Mets","76","182","4","21","20","2","3.8 %","19.8 %",".125",".357",".298",".343",".423",".326","105","-1.7","-0.6","-0.1","0.5"
"Marlins","89","229","4","16","15","0","5.7 %","28.8 %",".117",".354",".258",".306",".376",".293","83","-1.2","-6.2","2.3","0.3"
"Brewers","109","269","12","23","23","5","9.3 %","24.5 %",".195",".233",".208",".296",".403",".292","78","0.4","-7.4","2.0","0.3"
"Reds","86","214","8","25","24","3","4.2 %","23.8 %",".160",".296",".250",".291",".410",".295","79","-0.2","-6.4","1.5","0.2"
"Royals","101","269","4","27","24","4","7.1 %","23.4 %",".109",".319",".250",".305",".359",".286","75","-0.8","-9.5","1.8","0.2"
"Rangers","85","216","9","27","26","6","6.0 %","33.8 %",".188",".311",".234",".279",".421",".293","73","0.4","-6.9","-0.1","0.1"
"Mariners","79","206","9","20","19","4","7.8 %","29.6 %",".155",".269",".219",".282",".374",".279","77","-0.4","-6.5","-2.1","-0.1"
"Orioles","89","224","7","27","26","1","8.0 %","30.4 %",".147",".310",".230",".293",".377",".288","78","-1.5","-7.8","-3.2","-0.3"
"Rockies","75","188","4","17","15","2","8.0 %","27.7 %",".135",".304",".228",".290",".363",".280","55","0.7","-11.1","0.7","-0.4"
"Padres","103","256","8","21","21","2","4.7 %","26.2 %",".134",".255",".210",".252",".345",".254","55","0.1","-15.2","2.6","-0.4"
