"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Nationals","5","1","3","23","6","56.0","10.77","2.41","0.32",".310","83.3 %","55.6 %","6.1 %","1.61","2.24","2.93","2.3"
"Indians","5","0","1","17","5","45.0","10.20","1.40","0.80",".273","84.8 %","45.1 %","10.5 %","2.20","2.56","3.06","1.7"
"Orioles","3","3","2","23","6","52.0","7.44","2.25","0.69",".276","69.9 %","46.8 %","7.4 %","3.63","3.36","4.39","1.5"
"Astros","4","1","2","21","5","45.0","10.80","2.60","1.00",".309","80.0 %","43.9 %","13.5 %","2.80","3.11","3.28","1.4"
"Athletics","4","2","2","29","6","56.0","8.52","1.93","1.45",".279","80.2 %","40.1 %","14.8 %","3.38","4.10","4.14","1.1"
"Mets","3","2","3","24","5","45.0","10.20","3.40","1.20",".336","72.4 %","49.2 %","17.1 %","4.80","3.87","3.66","1.0"
"Braves","3","3","0","26","6","53.0","9.17","2.72","0.85",".359","77.5 %","46.2 %","12.8 %","3.91","3.41","3.63","0.9"
"Dodgers","4","2","0","23","6","55.0","10.15","1.96","1.31",".254","80.8 %","49.6 %","16.7 %","2.95","3.66","3.48","0.9"
"Yankees","4","2","2","28","6","55.2","8.08","2.91","1.46",".317","81.6 %","48.2 %","17.0 %","3.88","4.59","4.35","0.8"
"Giants","5","1","1","25","6","54.0","8.50","1.83","1.33",".312","71.4 %","49.7 %","15.7 %","4.67","3.96","3.89","0.7"
"Brewers","3","4","2","32","7","62.2","7.32","2.15","1.44",".333","73.7 %","39.4 %","14.7 %","4.60","4.46","4.52","0.7"
"Rays","4","3","1","37","7","66.0","12.14","2.59","1.77",".313","70.7 %","42.7 %","22.8 %","4.77","3.93","3.06","0.7"
"Cardinals","4","2","2","29","6","54.0","10.83","3.33","1.50",".318","77.4 %","36.9 %","17.3 %","4.17","4.13","3.85","0.7"
"Angels","3","3","1","28","6","52.0","10.56","3.81","1.38",".319","62.7 %","43.7 %","14.8 %","4.85","4.24","4.28","0.6"
"Reds","4","2","3","21","6","56.0","9.96","3.05","1.77",".237","81.0 %","43.1 %","20.8 %","4.02","4.78","4.08","0.6"
"Rangers","1","5","0","23","6","51.0","9.88","3.53","1.76",".377","59.5 %","42.1 %","18.9 %","7.59","5.03","4.51","0.6"
"White Sox","3","2","2","27","5","48.0","7.50","3.56","1.13",".286","61.4 %","42.8 %","11.1 %","4.88","4.47","5.05","0.5"
"Phillies","3","3","1","24","6","51.0","9.00","2.29","1.76",".315","63.8 %","36.2 %","18.5 %","5.65","4.75","4.28","0.5"
"Padres","2","5","2","29","7","64.0","8.86","2.53","1.55",".303","64.0 %","37.8 %","15.3 %","5.48","4.64","4.61","0.4"
"Marlins","1","5","1","24","6","51.0","9.00","3.35","1.59",".317","74.1 %","26.2 %","12.5 %","4.41","4.79","5.26","0.4"
"Twins","3","3","2","25","6","54.0","8.83","3.50","1.83",".315","74.3 %","41.6 %","21.2 %","5.00","5.17","4.40","0.4"
"Diamondbacks","2","3","1","24","5","44.0","10.02","4.70","1.23",".298","75.1 %","38.7 %","13.6 %","4.50","4.32","4.50","0.4"
"Tigers","1","5","0","32","6","55.2","7.76","3.23","1.62",".350","65.0 %","47.6 %","17.9 %","6.31","4.95","4.58","0.3"
"Mariners","2","4","1","20","6","53.0","7.81","2.55","1.53",".284","71.2 %","36.9 %","14.8 %","4.42","4.52","4.57","0.3"
"Cubs","2","4","1","24","6","50.2","7.64","2.84","1.60",".333","56.8 %","46.7 %","18.4 %","6.93","5.06","4.64","0.2"
"Rockies","0","5","0","20","5","43.0","6.49","3.56","1.47",".343","60.8 %","45.2 %","14.3 %","7.12","5.20","5.32","0.2"
"Blue Jays","2","5","1","29","7","63.0","7.57","3.14","1.57",".306","61.1 %","42.9 %","18.0 %","5.86","4.84","4.47","0.2"
"Red Sox","4","2","0","31","6","53.0","9.00","4.92","1.87",".346","65.8 %","40.6 %","17.5 %","6.79","5.60","5.23","0.0"
"Pirates","4","3","0","33","7","63.0","9.57","3.57","2.00",".331","83.3 %","46.7 %","21.2 %","4.71","5.35","4.51","-0.1"
"Royals","2","5","2","31","7","63.0","4.86","5.00","1.57",".343","69.4 %","43.8 %","14.3 %","6.29","6.20","6.33","-0.6"
