"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1300","3538","144","477","463","29","9.8 %","20.3 %",".203",".297",".263",".344",".466",".340","112","3.8","59.8","44.0","21.3"
"Twins","1223","3471","166","508","488","21","7.7 %","20.4 %",".227",".302",".273",".337",".500",".350","117","-5.2","69.4","7.8","19.5"
"Astros","1228","3437","140","447","437","41","9.7 %","17.9 %",".203",".289",".267",".341",".470",".341","118","-7.0","69.8","-7.5","17.9"
"Red Sox","1296","3582","130","503","475","48","9.5 %","20.7 %",".190",".316",".273",".346",".462",".340","108","0.9","38.6","5.4","16.6"
"Cubs","1268","3430","139","454","437","24","10.0 %","23.5 %",".198",".300",".254",".337",".453",".333","104","-1.6","15.8","29.8","15.3"
"Braves","1331","3510","142","487","470","35","9.1 %","22.2 %",".201",".306",".263",".337",".464",".336","105","3.3","23.5","17.2","15.1"
"Angels","1318","3479","129","447","427","32","9.3 %","17.6 %",".177",".282",".258",".335",".435",".326","107","-5.1","25.5","2.2","14.7"
"Diamondbacks","1297","3546","128","459","439","50","7.8 %","21.5 %",".188",".300",".259",".323",".447",".324","96","7.0","-11.1","46.8","14.7"
"Yankees","1227","3359","148","502","479","35","9.7 %","23.0 %",".200",".309",".266",".341",".466",".340","112","-1.9","47.0","-17.6","14.4"
"Rays","1302","3497","112","413","392","55","8.5 %","24.2 %",".170",".312",".253",".326",".423",".319","101","2.8","8.9","3.7","13.3"
"Athletics","1305","3507","142","460","430","28","8.7 %","20.2 %",".194",".273",".246",".320",".440",".322","103","-1.7","9.5","1.3","13.1"
"Brewers","1331","3500","152","427","416","56","9.8 %","24.4 %",".198",".288",".245",".326",".443",".324","97","3.4","-9.1","26.3","12.7"
"Phillies","1285","3419","112","434","413","35","9.7 %","22.4 %",".176",".291",".245",".324",".421",".316","93","1.3","-29.3","39.0","11.7"
"Mariners","1307","3614","158","475","461","62","9.7 %","25.1 %",".203",".286",".243",".322",".446",".325","107","6.3","39.7","-51.2","11.3"
"Mets","1327","3440","124","417","405","36","8.2 %","22.9 %",".176",".304",".256",".327",".432",".322","103","-10.6","1.2","-3.7","10.6"
"Padres","1296","3299","136","397","385","44","7.7 %","26.1 %",".187",".292",".242",".305",".429",".310","92","-4.7","-41.9","38.0","10.1"
"Rangers","1236","3428","124","481","455","71","9.1 %","25.8 %",".193",".315",".254",".328",".446",".327","96","8.5","-7.2","-13.0","9.8"
"Cardinals","1288","3310","107","393","369","57","8.9 %","22.3 %",".159",".290",".245",".320",".403",".310","90","8.3","-34.4","25.4","9.6"
"Nationals","1256","3360","123","435","414","54","8.7 %","22.1 %",".182",".298",".254",".328",".436",".324","96","2.3","-17.1","5.5","9.5"
"Pirates","1312","3416","97","426","419","33","7.0 %","20.2 %",".166",".318",".270",".327",".436",".321","98","2.8","-5.4","-8.1","9.5"
"Indians","1232","3264","111","385","357","59","9.7 %","22.1 %",".170",".282",".241",".320",".411",".311","89","7.9","-37.2","-1.2","7.5"
"Royals","1231","3384","87","380","365","83","7.5 %","23.3 %",".155",".300",".245",".308",".400",".301","85","2.8","-62.0","15.1","7.1"
"White Sox","1216","3147","101","375","359","44","6.6 %","25.3 %",".155",".320",".257",".314",".412",".309","93","5.7","-22.2","-25.2","6.2"
"Rockies","1300","3444","113","487","468","30","7.6 %","24.3 %",".188",".328",".267",".327",".455",".328","85","0.5","-66.7","12.0","5.6"
"Giants","1294","3279","87","368","359","25","8.1 %","23.1 %",".155",".279",".231",".298",".387",".292","80","-3.1","-89.2","29.4","4.5"
"Reds","1302","3203","117","367","355","39","8.0 %","23.5 %",".172",".278",".236",".307",".408",".304","83","-9.9","-82.7","20.2","4.0"
"Blue Jays","1268","3354","127","387","369","26","8.4 %","24.4 %",".178",".273",".231",".299",".409",".301","86","-1.4","-59.6","-17.9","4.0"
"Marlins","1267","3242","67","309","300","24","6.5 %","24.2 %",".118",".303",".240",".297",".358",".283","76","-12.1","-115.1","27.0","1.7"
"Orioles","1259","3320","107","374","351","43","7.3 %","24.1 %",".161",".292",".241",".304",".402",".301","86","-2.6","-62.8","-43.1","1.1"
"Tigers","1228","3174","76","308","293","35","7.2 %","25.9 %",".149",".297",".233",".294",".383",".288","77","-0.5","-92.2","-25.5","-0.5"
