"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","4804","672","43","9.1%","19.6%",".175",".305",".268",".340",".443",".337","119","-7.7","29.3%","88.0%","40.4%"
"TOR","4548","622","57","8.1%","20.8%",".192",".299",".264",".328",".456",".336","112","-3.3","31.4%","86.9%","41.5%"
"CIN","4840","637","26","9.1%","23.4%",".183",".302",".252",".333",".435",".332","104","-13.5","31.1%","85.4%","38.6%"
"LAD","4849","647","46","10.0%","22.9%",".180",".291",".246",".334",".426",".329","109","7.7","27.9%","84.8%","40.0%"
"BOS","4664","618","33","8.0%","22.7%",".182",".308",".259",".324",".441",".328","105","-1.3","34.5%","83.4%","41.8%"
"SFG","4710","603","52","9.7%","24.4%",".191",".293",".245",".325",".436",".327","106","-8.8","28.1%","84.2%","39.0%"
"CHW","4669","617","51","9.7%","23.5%",".167",".305",".251",".331",".418",".326","109","4.2","33.1%","84.9%","39.2%"
"WSN","4560","545","47","8.7%","21.9%",".158",".309",".258",".333",".417",".325","100","-15.9","29.1%","85.8%","39.8%"
"ATL","4693","615","52","9.7%","24.0%",".189",".288",".243",".324",".432",".325","100","5.5","31.4%","83.2%","40.3%"
"MIN","4683","568","39","8.9%","22.8%",".182",".283",".243",".317",".425",".320","103","-4.4","30.7%","84.2%","41.1%"
"TBR","4808","664","66","9.7%","25.7%",".183",".294",".239",".319",".422",".320","107","9.4","30.5%","81.0%","40.0%"
"SDP","4770","596","96","9.9%","21.8%",".164",".289",".245",".326",".409",".319","100","0.7","27.6%","85.9%","41.1%"
"NYY","4658","537","51","10.9%","24.4%",".161",".290",".238",".328",".399",".318","102","-8.7","28.3%","83.0%","41.5%"
"COL","4604","563","63","8.2%","22.3%",".163",".300",".250",".318",".413",".316","82","12.5","32.6%","85.4%","36.0%"
"OAK","4700","561","71","9.1%","22.7%",".170",".278",".236",".316",".406",".314","104","3.7","29.4%","85.1%","39.9%"
"MIL","4728","584","65","9.7%","24.3%",".167",".284",".234",".320",".401",".314","94","8.8","29.9%","84.0%","38.5%"
"LAA","4674","565","55","7.4%","23.4%",".167",".300",".249",".311",".416",".313","100","0.8","33.4%","85.1%","34.9%"
"PHI","4641","553","67","9.4%","23.8%",".165",".288",".238",".317",".403",".312","93","8.4","30.7%","83.2%","37.4%"
"DET","4632","550","68","8.3%","25.9%",".157",".301",".241",".307",".398",".306","92","3.2","32.7%","82.9%","38.1%"
"CLE","4464","536","75","7.8%","23.2%",".170",".277",".235",".302",".405",".306","91","5.1","32.1%","83.8%","39.2%"
"STL","4562","501","63","8.2%","22.1%",".153",".283",".238",".310",".392",".305","91","6.7","31.2%","84.5%","37.9%"
"CHC","4617","517","59","8.3%","26.7%",".164",".286",".229",".304",".392",".304","88","-4.9","31.8%","83.4%","38.8%"
"ARI","4748","524","33","9.1%","23.9%",".145",".298",".237",".313",".382",".303","86","3.9","30.4%","84.6%","36.0%"
"NYM","4448","469","34","8.6%","23.9%",".145",".287",".234",".312",".379",".303","92","-12.4","32.8%","84.3%","37.7%"
"BAL","4523","486","41","7.3%","23.8%",".161",".285",".237",".299",".399",".303","92","-2.9","34.1%","83.9%","36.6%"
"KCR","4516","508","93","7.1%","21.7%",".145",".289",".244",".303",".389",".300","88","9.1","34.3%","85.8%","38.9%"
"SEA","4585","523","52","8.9%","25.8%",".161",".269",".221",".298",".382",".297","92","-5.2","30.4%","83.3%","36.8%"
"MIA","4616","499","84","7.8%","26.0%",".140",".300",".236",".303",".377",".296","88","2.4","33.5%","83.7%","37.1%"
"PIT","4552","440","38","8.3%","22.4%",".126",".285",".232",".302",".358",".290","80","-1.9","30.5%","87.2%","33.5%"
"TEX","4493","465","70","7.5%","23.7%",".145",".270",".224",".290",".370",".288","82","-2.6","32.7%","83.0%","35.8%"
