"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"WSN","202","33","1","12.9%","18.3%",".194",".339",".297",".405",".491",".384","138","-0.4","26.9%","87.7%","40.6%"
"COL","219","38","1","7.3%","21.5%",".254",".338",".294",".353",".548",".380","127","-0.2","29.4%","86.9%","37.3%"
"TBR","274","56","2","9.9%","21.9%",".237",".343",".290",".361",".527",".372","142","0.3","28.9%","81.7%","42.7%"
"HOU","283","45","0","7.8%","15.5%",".215",".332",".305",".360",".520",".370","141","-0.2","31.0%","89.4%","40.9%"
"NYY","239","38","6","12.1%","23.0%",".187",".312",".261",".364",".448",".352","125","0.8","25.5%","85.0%","42.0%"
"ATL","247","36","2","13.0%","20.6%",".195",".289",".252",".354",".448",".346","115","-0.4","31.6%","88.6%","35.8%"
"CLE","240","31","8","9.6%","18.8%",".199",".296",".265",".340",".464",".345","117","1.5","29.1%","87.9%","36.5%"
"CIN","250","37","0","10.0%","22.8%",".239",".276",".248",".329",".486",".342","110","0.1","35.1%","88.6%","38.8%"
"ARI","229","27","0","9.6%","24.0%",".172",".357",".276",".352",".448",".341","113","0.2","33.2%","81.3%","36.0%"
"MIL","234","29","5","9.4%","20.5%",".177",".293",".251",".345",".429",".339","110","1.1","29.4%","90.7%","36.9%"
"KCR","262","35","14","5.3%","18.3%",".156",".330",".291",".333",".447",".335","113","2.2","35.9%","88.4%","34.5%"
"TOR","195","18","1","9.7%","16.4%",".170",".242",".234",".320",".404",".317","98","0.2","31.4%","87.7%","42.6%"
"CHW","269","32","4","7.1%","22.3%",".127",".322",".265",".321",".392",".310","98","1.0","35.5%","85.5%","45.7%"
"LAD","236","28","3","8.5%","22.9%",".190",".250",".218",".298",".408",".307","95","0.3","29.7%","86.9%","39.9%"
"SFG","223","21","3","8.1%","24.2%",".193",".241",".218",".291",".411",".303","91","-0.5","31.0%","83.8%","41.9%"
"STL","233","19","2","8.6%","20.2%",".101",".302",".245",".322",".346",".298","88","0.8","33.7%","85.9%","33.3%"
"TEX","193","20","1","4.7%","20.2%",".122",".317",".261",".306",".383",".296","87","-0.3","38.3%","85.3%","35.9%"
"MIN","233","22","2","8.6%","22.7%",".144",".264",".221",".305",".365",".292","84","-0.6","26.5%","83.6%","35.5%"
"SEA","235","25","1","8.1%","25.5%",".168",".239",".207",".285",".375",".288","86","-1.6","29.0%","84.9%","36.4%"
"SDP","223","24","2","8.1%","18.4%",".165",".224",".210",".284",".375",".286","79","0.0","26.8%","89.0%","39.8%"
"BOS","162","12","0","9.3%","19.8%",".130",".255",".219",".296",".349",".286","77","-0.6","36.1%","84.1%","36.8%"
"NYM","274","26","3","4.0%","25.9%",".133",".289",".229",".289",".361",".284","81","0.1","35.4%","82.7%","39.8%"
"CHC","212","19","0","5.7%","28.3%",".133",".295",".226",".281",".359",".281","75","-1.1","31.2%","84.6%","38.7%"
"PHI","224","20","4","11.2%","22.3%",".182",".194",".177",".288",".359",".280","75","0.3","25.7%","87.4%","36.1%"
"LAA","261","27","3","9.2%","26.4%",".145",".263",".209",".281",".353",".277","75","0.5","33.5%","83.2%","28.0%"
"OAK","254","19","10","9.4%","25.2%",".125",".256",".201",".291",".326",".277","78","2.0","31.9%","85.1%","37.3%"
"DET","228","22","3","3.5%","24.1%",".130",".293",".236",".269",".366",".275","71","-0.1","34.3%","85.5%","33.7%"
"BAL","240","13","1","3.8%","26.7%",".144",".259",".210",".243",".354",".258","61","-0.4","37.4%","87.3%","39.8%"
"MIA","245","20","2","7.8%","26.1%",".091",".257",".196",".269",".288",".251","58","-1.2","36.0%","83.0%","31.4%"
"PIT","209","13","0","6.7%","25.8%",".095",".230",".179",".240",".274",".225","38","-0.4","31.9%","89.2%","35.3%"
