"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","9564.0","4","-1","2","-2","0","3","42","36","85","1327","1098",".827","507","","19.2","5.3","-1.3","13.3","6.2","23.4","6.0","49.6"
"Indians","9450.0","15","1","0","-2","4","9","6","20","54","1356","1118",".825","401","","18.5","7.3","-1.7","8.5","8.5","22.7","6.3","28.7"
"Royals","9504.0","0","4","1","0","-3","8","5","9","22","1572","1253",".797","435","","6.3","-1.9","3.4","5.2","12.9","19.6","3.0","23.6"
"Cardinals","9246.0","-14","-1","3","3","0","-4","30","23","53","1383","1129",".816","379","","-27.9","2.2","2.8","0.9","9.1","15.0","3.6","23.0"
"Athletics","9651.0","-10","-5","0","-6","8","-5","18","12","14","1565","1294",".827","400","","-17.6","6.1","0.1","2.9","13.6","22.9","5.2","21.9"
"Rays","9741.0","8","-1","0","4","5","2","26","16","56","1315","1048",".797","466","","14.8","6.7","0.0","2.6","-4.8","4.5","2.7","21.3"
"Phillies","9540.0","2","-2","6","-1","2","-7","-2","4","4","1490","1200",".805","380","","13.4","7.7","-4.5","5.6","3.0","11.8","3.9","19.8"
"Cubs","9468.0","-1","3","0","8","2","4","2","6","19","1485","1217",".820","372","","-14.8","-0.8","7.7","2.4","8.9","18.4","2.8","16.4"
"Red Sox","9831.0","7","0","2","-4","10","5","-33","3","-7","1429","1178",".824","383","","28.9","12.8","-4.7","-2.5","4.9","10.4","4.4","15.4"
"Angels","9498.0","-5","-3","-2","0","-5","-6","11","4","-8","1465","1194",".815","409","","-17.3","4.7","1.4","2.6","7.5","16.2","3.7","13.2"
"Braves","9663.0","13","0","-2","-1","1","-2","15","-3","17","1519","1206",".794","416","","24.8","2.0","0.5","-19.7","9.1","-8.1","-0.7","12.6"
"Padres","9345.0","19","4","0","-2","2","-2","3","-4","13","1449","1157",".799","421","","36.5","-2.7","0.2","10.0","1.9","9.4","0.7","10.4"
"Marlins","9372.0","0","-3","1","2","-9","7","17","6","20","1360","1100",".809","401","","-5.0","-1.1","1.7","8.9","-1.0","8.5","1.8","9.5"
"Twins","9630.0","3","-1","-3","-2","12","2","7","10","28","1447","1163",".804","481","","6.5","9.1","-0.4","15.1","-17.1","6.7","2.9","9.2"
"Giants","9702.0","8","-1","-1","-8","4","5","27","8","43","1503","1213",".807","402","","17.6","0.4","-4.8","13.7","-1.1","8.2","1.6","6.2"
"Astros","9549.0","-2","-2","0","-3","-2","16","32","33","69","1281","1047",".817","486","","-3.0","-2.1","-6.3","12.7","1.7","6.0","0.3","3.0"
"Reds","9261.0","4","1","-3","4","4","2","26","13","48","1312","1041",".793","417","","4.7","-0.3","1.7","3.9","2.1","7.2","1.5","0.2"
"Yankees","9456.0","-2","1","2","0","2","3","-4","-8","-12","1392","1085",".780","467","","-6.7","-1.1","1.4","0.0","-0.9","-0.6","-0.4","-1.6"
"Dodgers","9636.0","8","0","0","2","8","7","47","43","112","1341","1077",".803","468","","19.2","9.7","0.1","3.3","-15.4","-2.3","2.4","-3.3"
"Brewers","9651.0","12","-3","-4","0","-1","7","16","3","25","1334","1059",".794","453","","36.0","2.1","1.3","5.6","-7.9","1.0","0.7","-5.0"
"White Sox","9147.0","-8","2","2","6","-1","1","-44","8","-33","1412","1126",".798","438","","-25.0","-0.7","5.0","-2.2","-10.3","-8.2","-1.7","-6.2"
"Blue Jays","9663.0","9","3","3","0","0","-2","-20","11","6","1506","1196",".794","455","","21.4","1.3","-2.6","-20.7","5.8","-16.1","-2.5","-7.1"
"Nationals","9309.0","-7","1","-1","-2","3","3","-16","3","-15","1345","1106",".822","409","","-11.9","-3.7","-3.9","-5.9","7.3","-6.3","-2.3","-7.3"
"Rangers","9351.0","-7","2","-5","2","-5","-12","-27","11","-44","1518","1213",".799","362","","-26.2","-8.5","2.1","-1.2","4.0","-3.6","-2.3","-10.6"
"Rockies","9477.0","-14","1","2","5","-14","-3","-4","16","-10","1505","1203",".799","459","","-21.5","-12.5","0.6","-2.8","-3.3","-18.0","-5.7","-17.0"
"Tigers","9270.0","-4","3","-2","-3","-11","-4","-34","7","-51","1513","1180",".780","403","","-13.5","-14.9","-1.5","-9.4","3.7","-22.1","-7.1","-24.1"
"Mariners","9483.0","-6","-2","-1","-2","-3","-11","-37","1","-67","1590","1259",".792","448","","-20.4","-8.4","-2.2","-9.9","-11.8","-32.4","-6.8","-35.4"
"Orioles","9354.0","-18","-1","0","4","-17","-12","-45","-3","-92","1441","1171",".813","532","","-30.8","-16.4","1.2","-3.9","-14.4","-33.4","-10.3","-35.4"
"Pirates","9333.0","-7","-3","2","0","-2","-4","-28","5","-37","1406","1099",".782","405","","-23.2","-1.6","0.3","-21.1","-16.6","-39.0","-9.0","-37.0"
"Mets","9564.0","-8","1","-1","4","5","-6","-58","1","-67","1435","1150",".801","372","","-10.7","-0.3","2.7","-18.0","-2.0","-17.6","-3.1","-37.3"
