"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1070.2","8.99","2.51","0.88",".260","77.7%","2.83","3.38","3.68","1.06"
"HOU","1089.2","9.05","2.92","0.86",".268","76.2%","3.08","3.48","3.77","1.12"
"NYY","1095.2","9.02","2.69","0.99",".267","76.2%","3.35","3.57","3.63","1.11"
"TBR","1068.2","8.73","2.42","1.05",".276","74.0%","3.35","3.67","3.69","1.14"
"ATL","1103.1","9.64","3.16","0.87",".294","73.3%","3.58","3.43","3.60","1.22"
"NYM","1095.2","9.59","2.77","1.07",".295","76.2%","3.59","3.61","3.54","1.19"
"SEA","1087.0","8.60","2.89","1.21",".282","76.7%","3.67","4.04","4.00","1.22"
"SDP","1103.0","8.98","2.90","1.00",".286","73.5%","3.74","3.71","3.80","1.21"
"CLE","1064.1","8.47","2.78","1.07",".283","72.7%","3.75","3.83","3.86","1.21"
"PHI","1073.2","8.91","2.94","0.93",".294","72.3%","3.79","3.63","3.75","1.22"
"MIL","1069.2","9.57","3.29","1.19",".282","73.2%","3.81","3.94","3.69","1.23"
"STL","1061.2","7.50","3.07","0.97",".282","74.3%","3.82","4.02","4.03","1.25"
"MIA","1068.2","8.88","3.22","1.04",".294","72.8%","3.88","3.88","3.79","1.27"
"TOR","1065.0","8.60","2.67","1.17",".292","73.5%","3.89","3.95","3.85","1.23"
"LAA","1072.2","8.69","3.35","1.07",".280","72.7%","3.90","3.97","3.99","1.25"
"BAL","1069.2","7.79","2.73","1.13",".297","74.0%","3.92","4.06","4.07","1.29"
"SFG","1071.2","8.51","2.74","0.88",".306","69.6%","3.94","3.53","3.66","1.28"
"MIN","1057.0","8.45","2.99","1.20",".281","73.6%","3.96","4.09","4.06","1.24"
"DET","1071.2","7.49","3.18","0.94",".284","70.2%","3.98","3.99","4.33","1.28"
"CHW","1080.0","9.02","3.42","1.08",".300","72.0%","3.99","3.89","3.93","1.32"
"TEX","1077.0","8.27","3.60","1.05",".282","72.1%","4.01","4.16","4.10","1.30"
"ARI","1067.0","7.58","3.10","1.07",".287","70.4%","4.18","4.16","4.29","1.29"
"CHC","1073.1","8.81","3.35","1.30",".294","71.6%","4.22","4.30","3.96","1.32"
"OAK","1071.2","7.54","3.24","1.19",".282","71.6%","4.32","4.38","4.41","1.31"
"BOS","1087.0","8.46","3.20","1.11",".298","69.5%","4.45","4.07","4.06","1.32"
"KCR","1077.1","7.54","3.84","1.12",".307","70.1%","4.67","4.47","4.47","1.47"
"PIT","1062.0","7.79","3.58","1.07",".308","68.8%","4.69","4.30","4.35","1.43"
"CIN","1045.1","8.99","3.84","1.39",".304","70.8%","5.02","4.64","4.33","1.42"
"COL","1085.1","7.07","3.42","1.14",".312","66.8%","5.07","4.47","4.39","1.46"
"WSN","1075.0","7.95","3.70","1.55",".301","70.0%","5.16","4.98","4.50","1.46"
