"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","63.1","11.37","3.41","0.99",".194","89.4%","1.71","3.26","3.38","0.90"
"TBR","64.0","9.70","2.25","0.70",".219","80.8%","1.83","2.92","3.01","0.86"
"MIN","55.0","9.49","2.29","0.49",".296","82.7%","2.13","2.60","3.36","1.07"
"TOR","62.0","10.16","2.47","0.73",".255","77.2%","2.18","2.83","3.16","1.00"
"STL","54.0","7.17","2.67","0.17",".240","71.4%","2.50","2.83","3.84","0.98"
"TEX","63.0","7.29","3.86","1.29",".202","86.1%","2.71","4.79","4.36","1.11"
"ATL","65.0","10.52","1.80","0.97",".288","77.3%","2.77","2.83","2.88","1.03"
"WSN","63.0","9.00","3.71","1.14",".223","82.2%","2.86","4.15","4.04","1.10"
"CHC","66.0","8.59","3.14","1.36",".250","73.8%","3.00","4.36","3.80","1.15"
"SDP","61.0","9.00","1.92","1.03",".276","82.3%","3.10","3.65","3.87","1.07"
"CLE","54.0","9.67","2.33","0.67",".296","74.5%","3.17","2.83","3.20","1.11"
"SEA","53.0","10.36","2.21","0.51",".340","72.5%","3.23","2.58","3.37","1.21"
"DET","61.0","7.38","2.51","0.74",".270","75.0%","3.25","3.63","4.18","1.15"
"MIL","65.2","10.01","3.29","1.64",".236","79.0%","3.43","4.46","3.83","1.11"
"SFG","64.1","7.27","2.24","1.12",".291","74.9%","3.50","4.01","3.63","1.23"
"BAL","62.0","7.11","1.89","1.16",".321","72.8%","3.77","3.94","4.05","1.32"
"OAK","62.0","6.24","4.06","0.87",".293","73.3%","4.06","4.49","4.94","1.45"
"HOU","61.0","8.41","3.98","0.59",".345","72.1%","4.13","3.53","4.13","1.49"
"KCR","58.0","6.67","2.95","0.78",".353","67.9%","4.34","3.79","4.32","1.55"
"CIN","53.1","8.78","3.04","1.01",".352","76.4%","4.39","3.82","3.87","1.50"
"NYY","64.0","7.73","2.95","0.84",".260","62.7%","4.50","3.75","4.18","1.16"
"PHI","62.2","10.05","3.45","1.01",".337","70.2%","4.60","3.63","3.64","1.40"
"LAA","52.0","8.13","3.29","1.21",".287","62.7%","5.02","4.33","4.17","1.33"
"ARI","61.2","9.92","3.06","1.46",".357","70.9%","5.11","4.14","3.78","1.48"
"MIA","51.0","9.35","4.94","0.88",".364","69.9%","5.47","4.08","4.34","1.73"
"CHW","53.0","6.45","3.06","1.02",".314","64.2%","5.60","4.29","4.87","1.47"
"NYM","68.0","8.34","3.18","1.19",".333","64.9%","5.69","4.23","4.34","1.49"
"PIT","54.0","7.50","3.50","0.83",".307","57.5%","5.83","3.99","4.40","1.43"
"COL","54.0","6.83","4.00","1.33",".282","61.3%","6.00","5.14","4.90","1.44"
"BOS","51.0","9.00","2.65","1.41",".315","57.6%","6.35","4.22","3.94","1.35"
