"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"CIN","251","37","4","13.1%","17.5%",".245",".333",".308",".406",".553",".403","148","0.1","31.4%","88.4%","34.7%"
"STL","307","57","7","6.8%","24.1%",".258",".335",".295",".350",".554",".376","138","1.9","32.7%","82.9%","35.3%"
"NYY","225","37","3","11.1%","23.1%",".200",".333",".277",".369",".477",".365","134","-1.4","28.9%","85.0%","43.1%"
"TBR","226","33","3","11.9%","22.6%",".182",".362",".286",".376",".469",".361","136","-0.1","30.8%","82.2%","39.3%"
"SFG","244","40","2","7.8%","20.1%",".188",".329",".289",".351",".477",".355","125","-0.6","27.4%","86.6%","35.3%"
"BOS","189","27","2","7.4%","22.8%",".207",".331",".278",".344",".485",".354","121","0.2","31.9%","83.5%","50.8%"
"ATL","286","48","2","7.0%","26.2%",".216",".347",".282",".333",".498",".349","116","-0.9","35.7%","82.5%","45.5%"
"MIN","230","27","5","9.6%","26.5%",".169",".358",".274",".352",".443",".343","119","0.6","32.1%","84.6%","39.2%"
"SDP","243","29","3","9.1%","17.7%",".210",".290",".266",".339",".477",".343","118","-0.4","29.0%","90.3%","43.8%"
"CHC","220","25","6","10.5%","29.1%",".156",".375",".269",".362",".425",".342","111","-0.1","27.0%","84.7%","38.6%"
"WSN","303","39","2","12.9%","20.5%",".185",".296",".254",".356",".438",".342","114","-1.0","28.8%","87.3%","35.7%"
"HOU","284","37","4","9.9%","19.7%",".185",".251",".237",".318",".422",".319","104","0.2","31.0%","85.1%","35.5%"
"PHI","258","30","1","9.7%","22.1%",".172",".294",".251",".328",".423",".318","99","0.3","32.5%","84.8%","34.5%"
"CHW","251","22","2","8.0%","23.1%",".116",".331",".262",".329",".378",".311","97","0.0","33.0%","87.9%","38.8%"
"LAD","232","26","3","7.8%","18.1%",".159",".273",".250",".312",".409",".311","98","0.7","27.1%","86.1%","37.1%"
"KCR","203","18","4","7.4%","17.7%",".181",".286",".253",".302",".434",".311","95","-0.2","33.9%","86.2%","35.5%"
"SEA","262","31","2","5.3%","21.4%",".183",".275",".238",".294",".421",".307","98","-0.5","29.6%","86.9%","40.3%"
"DET","178","16","4","9.6%","20.8%",".064",".347",".268",".348",".331",".304","92","0.0","27.5%","81.4%","28.9%"
"LAA","275","33","3","13.1%","17.5%",".134",".256",".224",".333",".358",".301","91","0.4","30.5%","88.7%","41.5%"
"OAK","262","30","1","10.7%","23.3%",".128",".290",".233",".323",".361",".299","94","-0.1","31.1%","78.9%","40.6%"
"BAL","252","22","0","8.7%","23.8%",".142",".283",".227",".307",".369",".296","84","-1.0","32.4%","83.2%","33.1%"
"PIT","224","29","2","11.2%","25.9%",".135",".279",".224",".317",".359",".294","81","-0.4","30.6%","82.9%","37.4%"
"TOR","257","23","2","7.0%","19.8%",".182",".233",".220",".276",".403",".292","81","0.4","38.3%","88.8%","42.2%"
"CLE","243","23","4","4.1%","29.6%",".166",".302",".236",".276",".402",".291","83","-0.7","31.5%","82.0%","40.5%"
"COL","239","25","0","4.6%","26.4%",".107",".338",".254",".301",".362",".289","67","0.1","35.1%","84.7%","37.9%"
"ARI","252","22","2","8.3%","21.8%",".150",".269",".225",".292",".374",".287","76","0.7","31.1%","86.1%","28.6%"
"MIA","216","19","3","5.1%","23.6%",".173",".257",".223",".269",".396",".283","80","-0.1","32.3%","86.5%","40.8%"
"TEX","257","24","7","6.2%","24.1%",".130",".299",".238",".284",".368",".281","78","0.1","30.8%","84.8%","27.9%"
"MIL","243","25","1","11.9%","21.0%",".162",".184",".176",".277",".338",".271","66","0.1","30.0%","83.5%","34.0%"
"NYM","183","14","2","7.1%","29.0%",".102",".295",".216",".279",".317",".264","69","-0.3","36.6%","81.0%","36.5%"
