"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"DET","45.0","5.80","3.40","0.00",".279","78.9%","2.20","3.07","5.04","1.24"
"TBR","54.0","8.00","2.17","1.00",".224","87.7%","2.33","3.72","4.37","0.94"
"NYY","54.0","10.33","1.67","0.67",".302","80.2%","2.50","2.49","3.10","1.04"
"KCR","48.0","8.25","3.00","0.56",".274","79.5%","2.81","3.39","4.20","1.10"
"PHI","64.0","8.44","4.08","0.56",".267","74.3%","3.23","3.65","4.57","1.20"
"OAK","63.0","9.00","2.71","1.29",".247","80.1%","3.29","4.26","4.48","1.08"
"BAL","62.2","7.47","2.59","0.72",".295","76.1%","3.30","3.45","4.13","1.23"
"STL","68.0","7.94","3.71","1.06",".240","78.8%","3.31","4.25","4.62","1.16"
"ATL","63.0","7.57","2.86","0.86",".271","76.9%","3.43","3.76","4.38","1.17"
"MIL","63.0","10.14","2.14","0.86",".297","66.1%","3.57","3.10","3.66","1.11"
"SFG","54.1","9.28","2.48","1.33",".331","81.1%","3.64","4.01","3.92","1.40"
"MIN","54.0","9.83","2.67","1.50",".314","82.8%","3.67","4.25","3.89","1.28"
"CHW","55.0","10.64","1.80","0.98",".363","75.5%","3.76","2.93","3.08","1.27"
"CLE","64.0","9.14","2.53","1.27",".329","79.0%","3.80","3.90","3.42","1.31"
"LAD","54.0","8.67","3.17","1.00",".284","68.7%","3.83","3.85","4.43","1.28"
"TOR","59.0","9.76","5.19","0.92",".340","77.9%","4.12","4.35","4.73","1.54"
"SEA","62.0","8.42","4.21","1.16",".247","72.7%","4.35","4.47","4.76","1.26"
"CIN","56.0","9.80","4.66","1.45",".283","75.7%","4.50","4.68","4.23","1.41"
"HOU","62.2","7.32","5.03","0.57",".289","69.4%","4.74","4.23","4.95","1.45"
"ARI","63.0","9.00","3.14","2.14",".294","73.1%","5.00","5.35","4.73","1.38"
"TEX","58.0","8.84","4.19","1.71",".284","74.3%","5.12","5.27","4.51","1.38"
"WSN","62.1","8.09","4.04","2.02",".294","74.0%","5.20","5.78","4.96","1.52"
"BOS","45.0","10.00","3.60","1.20",".356","68.8%","5.40","4.01","3.96","1.47"
"LAA","66.0","6.68","3.14","1.64",".275","65.2%","5.45","5.18","5.17","1.36"
"SDP","56.0","9.32","3.38","0.96",".340","60.8%","5.46","3.72","4.31","1.46"
"COL","56.0","7.23","2.25","1.45",".312","63.8%","5.46","4.61","4.32","1.36"
"MIA","52.0","9.35","4.50","0.87",".361","61.4%","5.88","3.95","4.77","1.69"
"PIT","50.0","9.00","5.58","2.16",".314","75.8%","6.12","6.26","5.51","1.72"
"NYM","40.0","8.10","5.63","1.80",".286","61.6%","6.53","6.06","5.80","1.63"
"CHC","50.0","9.72","2.88","2.88",".349","62.9%","7.92","6.30","4.23","1.66"
