"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1398.0","9.90","3.03","1.00",".259","76.9%","2.99","3.54","3.76","1.10"
"SFG","1400.0","8.79","2.60","0.96",".277","74.7%","3.30","3.60","3.90","1.15"
"MIL","1387.0","10.24","3.38","1.01",".276","75.1%","3.39","3.63","3.70","1.17"
"TBR","1404.0","9.16","2.72","1.15",".283","73.5%","3.72","3.81","3.97","1.18"
"NYY","1382.1","9.85","3.09","1.22",".283","73.8%","3.74","3.88","3.99","1.20"
"CHW","1349.1","10.27","3.10","1.19",".288","74.3%","3.75","3.75","3.80","1.21"
"HOU","1391.0","9.09","3.44","1.14",".275","75.1%","3.76","4.08","4.11","1.23"
"TOR","1351.1","9.39","3.07","1.32",".284","75.5%","3.88","4.16","4.05","1.24"
"OAK","1383.2","8.39","2.73","1.16",".288","74.2%","3.90","4.01","4.32","1.24"
"NYM","1320.1","9.45","3.12","1.24",".288","73.0%","3.92","4.05","4.01","1.24"
"MIA","1356.2","8.68","3.39","1.01",".288","71.6%","3.93","4.01","4.24","1.28"
"ATL","1356.2","9.08","3.33","1.18",".283","74.2%","3.96","4.10","4.10","1.26"
"STL","1365.0","7.73","3.88","0.96",".271","72.9%","4.01","4.30","4.69","1.30"
"SDP","1380.0","9.57","3.21","1.25",".288","73.8%","4.01","4.09","4.04","1.25"
"DET","1360.2","7.97","3.60","1.24",".288","72.7%","4.27","4.56","4.63","1.36"
"BOS","1367.0","9.63","3.44","1.13",".324","71.7%","4.31","3.97","4.08","1.38"
"CLE","1348.0","9.03","3.38","1.39",".283","73.1%","4.31","4.42","4.22","1.28"
"SEA","1386.1","8.28","3.04","1.23",".290","70.9%","4.34","4.25","4.47","1.29"
"CIN","1384.1","9.52","3.87","1.29",".293","72.8%","4.35","4.33","4.19","1.35"
"PHI","1369.2","9.37","3.23","1.29",".296","71.4%","4.41","4.17","4.02","1.29"
"KCR","1355.1","8.63","3.84","1.22",".300","70.8%","4.64","4.41","4.52","1.39"
"LAA","1370.2","9.23","3.76","1.21",".305","69.5%","4.70","4.28","4.26","1.38"
"COL","1344.1","8.21","3.45","1.29",".300","70.0%","4.79","4.48","4.36","1.38"
"WSN","1342.1","8.66","3.45","1.60",".287","70.9%","4.79","4.85","4.49","1.36"
"TEX","1370.1","7.85","3.27","1.50",".289","70.8%","4.80","4.80","4.57","1.35"
"MIN","1366.1","8.36","3.06","1.55",".288","68.8%","4.84","4.68","4.43","1.32"
"CHC","1362.0","8.70","3.81","1.52",".295","70.7%","4.95","4.90","4.42","1.41"
"PIT","1334.1","8.45","3.90","1.36",".299","70.1%","5.05","4.72","4.69","1.42"
"ARI","1366.0","7.83","3.52","1.50",".298","68.0%","5.19","4.91","4.86","1.43"
"BAL","1351.0","8.01","3.66","1.61",".307","66.6%","5.84","5.08","4.89","1.49"
