"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SDP","660.1","10.18","3.05","1.10",".272","78.1%","3.13","3.71","3.73","1.13"
"NYM","552.1","10.15","2.92","0.90",".286","74.4%","3.14","3.31","3.44","1.14"
"LAD","634.0","10.11","2.95","1.05",".265","73.4%","3.26","3.55","3.68","1.11"
"SFG","637.2","8.62","2.63","1.04",".264","74.0%","3.32","3.76","3.90","1.12"
"CHW","618.2","10.42","3.01","1.12",".284","76.0%","3.32","3.58","3.72","1.17"
"TBR","663.0","9.39","2.69","1.09",".275","74.3%","3.39","3.65","3.68","1.12"
"MIA","622.2","8.63","2.92","0.79",".279","72.8%","3.40","3.54","4.04","1.17"
"NYY","632.2","9.49","2.77","1.12",".275","73.2%","3.57","3.72","3.92","1.14"
"HOU","636.2","8.89","3.28","1.23",".258","74.9%","3.68","4.21","4.23","1.17"
"MIL","643.0","10.33","3.39","1.16",".275","74.0%","3.71","3.84","3.65","1.19"
"CHC","635.1","9.09","3.88","1.19",".277","76.7%","3.78","4.37","4.22","1.30"
"WSN","592.1","8.98","3.34","1.28",".264","75.0%","3.78","4.25","4.23","1.20"
"OAK","645.2","8.41","2.70","1.06",".292","73.2%","3.86","3.84","4.32","1.25"
"TOR","606.2","9.45","3.35","1.48",".285","75.0%","4.12","4.49","4.13","1.28"
"CLE","602.2","10.02","3.76","1.25",".286","73.5%","4.17","4.14","3.96","1.28"
"PHI","604.0","9.46","3.13","1.33",".295","73.3%","4.20","4.19","3.95","1.27"
"BOS","632.1","9.64","3.60","1.00",".331","72.2%","4.26","3.83","4.03","1.41"
"STL","624.0","8.32","4.44","0.85",".274","70.8%","4.27","4.29","4.76","1.34"
"ATL","604.0","9.16","3.47","1.27",".292","69.9%","4.46","4.28","4.20","1.32"
"SEA","647.2","8.30","3.28","1.17",".286","69.5%","4.46","4.26","4.40","1.29"
"DET","627.0","8.40","3.73","1.26",".293","70.6%","4.58","4.57","4.55","1.38"
"TEX","627.2","8.32","3.15","1.36",".308","71.8%","4.63","4.45","4.23","1.38"
"KCR","607.0","9.24","3.90","1.19",".307","70.6%","4.67","4.24","4.35","1.40"
"CIN","621.1","9.94","4.24","1.27",".291","69.1%","4.77","4.36","4.26","1.37"
"PIT","603.1","8.59","3.62","1.28",".287","69.1%","4.79","4.48","4.42","1.34"
"LAA","630.2","9.88","4.02","1.28",".305","69.0%","4.85","4.31","4.08","1.40"
"MIN","619.1","8.43","3.07","1.54",".296","68.4%","4.90","4.67","4.39","1.35"
"COL","623.1","7.81","3.80","1.26",".300","67.9%","4.98","4.66","4.48","1.43"
"BAL","610.0","9.04","3.38","1.59",".305","69.5%","5.25","4.71","4.37","1.40"
"ARI","633.2","8.17","3.59","1.48",".306","66.8%","5.44","4.84","4.72","1.46"
