"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","2774","399","22","9.0%","18.6%",".177",".311",".276",".346",".453",".344","124","-6.2","28.7%","88.4%","41.0%"
"TOR","2641","351","35","8.1%","22.2%",".186",".303",".262",".326",".447",".334","110","-2.0","31.8%","85.8%","41.7%"
"LAD","2782","373","21","11.1%","22.5%",".170",".292",".244",".341",".414",".330","113","1.3","26.8%","84.9%","39.5%"
"SFG","2699","358","32","10.4%","25.0%",".193",".290",".241",".325",".434",".328","110","-4.8","27.1%","83.4%","40.6%"
"BOS","2687","362","24","7.1%","23.7%",".183",".312",".258",".318",".441",".327","104","3.6","35.2%","82.7%","42.0%"
"LAA","2676","357","28","7.4%","23.0%",".180",".306",".257",".320",".437",".327","109","-1.6","32.0%","85.3%","37.6%"
"CIN","2689","346","17","8.8%","22.6%",".171",".294",".248",".327",".419",".326","103","-8.2","30.5%","84.7%","39.2%"
"ATL","2570","332","29","9.7%","25.2%",".192",".286",".238",".320",".430",".324","103","0.4","30.8%","82.4%","41.5%"
"CHW","2679","349","30","10.2%","23.6%",".149",".312",".250",".335",".400",".323","107","5.2","32.9%","84.4%","38.9%"
"MIN","2676","323","24","8.5%","23.1%",".185",".285",".244",".314",".429",".322","104","2.4","31.5%","83.6%","42.1%"
"OAK","2703","329","26","9.7%","23.6%",".178",".280",".236",".319",".413",".319","107","-2.4","28.4%","84.4%","40.9%"
"WSN","2504","260","30","8.1%","23.1%",".144",".303",".248",".318",".392",".310","94","-0.9","28.9%","84.9%","41.7%"
"NYY","2644","281","15","10.3%","24.8%",".156",".282",".232",".315",".389",".309","96","-13.0","28.8%","82.3%","42.6%"
"SDP","2791","334","68","10.2%","22.1%",".152",".278",".235",".318",".387",".309","98","8.4","26.5%","86.2%","41.9%"
"TBR","2820","353","47","9.9%","27.2%",".161",".293",".229",".314",".390",".308","100","1.2","30.4%","79.9%","39.6%"
"COL","2682","322","40","8.0%","23.1%",".150",".304",".248",".312",".398",".308","80","11.4","32.7%","85.3%","35.7%"
"CHC","2628","314","36","8.6%","25.8%",".174",".273",".226",".304",".400",".306","94","0.9","31.8%","84.1%","40.4%"
"PHI","2581","295","39","8.5%","25.9%",".149",".305",".241",".312",".391",".306","93","2.4","30.7%","82.1%","38.2%"
"BAL","2600","291","23","7.5%","23.8%",".162",".288",".238",".302",".401",".306","94","-2.8","35.2%","83.7%","35.0%"
"KCR","2568","296","50","7.7%","21.8%",".146",".291",".244",".307",".390",".304","91","8.3","33.9%","85.1%","39.2%"
"CLE","2497","301","34","8.1%","22.8%",".163",".268",".228",".298",".391",".301","88","-1.4","32.2%","84.1%","40.0%"
"NYM","2319","242","22","8.9%","24.1%",".145",".281",".229",".309",".375",".300","95","-9.8","32.8%","84.3%","38.2%"
"DET","2647","279","42","8.5%","27.7%",".148",".295",".229",".300",".377",".297","86","-1.3","33.2%","81.6%","39.2%"
"ARI","2783","309","17","8.5%","23.7%",".142",".286",".231",".303",".373",".296","86","1.1","30.6%","83.3%","35.9%"
"MIA","2632","281","46","8.1%","26.0%",".137",".298",".234",".303",".372",".295","91","0.1","33.2%","83.6%","37.9%"
"MIL","2682","290","32","9.8%","26.2%",".155",".264",".213",".302",".367",".295","86","3.8","29.6%","82.8%","40.0%"
"STL","2628","287","35","8.1%","23.1%",".151",".271",".227",".299",".378",".295","89","3.6","32.0%","83.8%","38.2%"
"TEX","2633","278","48","8.1%","25.1%",".142",".281",".228",".297",".369",".293","86","-3.8","32.1%","81.5%","37.7%"
"SEA","2662","300","33","8.5%","26.6%",".161",".268",".216",".291",".377",".293","89","-0.1","30.4%","81.5%","36.1%"
"PIT","2573","245","22","8.4%","22.5%",".125",".280",".228",".299",".352",".287","82","3.7","31.2%","86.7%","32.9%"
