"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"SFG","283","59","6","10.6%","18.4%",".313",".367",".333",".407",".646",".439","182","0.5","29.9%","86.0%","41.2%"
"HOU","227","41","2","10.1%","21.6%",".251",".331",".296",".374",".548",".393","156","-0.7","25.3%","86.6%","46.1%"
"LAA","274","42","3","6.6%","19.7%",".213",".344",".304",".355",".518",".374","141","-0.2","31.3%","84.0%","42.5%"
"COL","275","43","7","8.0%","18.9%",".202",".351",".306",".363",".508",".373","124","2.3","33.3%","89.0%","39.5%"
"BOS","234","35","0","6.0%","22.2%",".225",".353",".298",".343",".523",".370","133","-0.3","35.3%","81.8%","44.3%"
"SDP","255","37","1","9.0%","19.2%",".274",".279",".265",".333",".540",".367","135","-0.3","23.1%","89.7%","45.1%"
"WSN","235","27","4","8.9%","21.3%",".191",".340",".292",".361",".483",".365","129","0.6","28.4%","84.6%","40.7%"
"ATL","214","31","5","11.2%","24.8%",".200",".328",".261",".354",".461",".351","120","0.4","28.3%","82.7%","36.8%"
"SEA","256","39","3","6.6%","27.3%",".192",".359",".282",".333",".474",".347","125","-0.5","33.8%","83.4%","29.9%"
"KCR","232","24","4","7.8%","19.0%",".131",".354",".296",".353",".427",".342","116","0.8","31.4%","86.7%","39.6%"
"LAD","232","29","1","12.1%","19.0%",".175",".283",".247",".354",".423",".341","118","0.4","27.5%","86.3%","35.5%"
"OAK","230","33","2","10.0%","23.5%",".167",".304",".253",".348",".419",".336","118","0.1","32.8%","81.9%","39.7%"
"DET","280","36","4","9.3%","24.6%",".160",".339",".268",".343",".428",".336","112","-0.6","33.2%","84.4%","39.0%"
"CLE","256","44","1","6.6%","21.1%",".185",".286",".254",".320",".440",".330","108","-0.4","33.2%","83.2%","34.6%"
"BAL","261","33","3","5.4%","28.0%",".205",".289",".243",".304",".448",".326","107","-0.1","37.0%","84.3%","33.5%"
"NYY","223","29","1","10.8%","26.0%",".200",".248",".215",".299",".415",".310","97","-1.1","29.6%","80.2%","41.8%"
"MIN","226","24","3","7.1%","21.7%",".152",".299",".252",".305",".405",".308","95","0.7","37.3%","85.5%","36.6%"
"TOR","262","30","3","8.8%","21.8%",".152",".283",".241",".309",".392",".308","93","-0.4","32.5%","87.0%","32.0%"
"PHI","229","24","2","6.6%","24.9%",".171",".293",".242",".294",".412",".303","90","0.0","32.7%","87.5%","42.9%"
"PIT","218","22","2","9.2%","17.4%",".124",".257",".227",".301",".351",".289","83","0.7","31.1%","90.9%","36.5%"
"MIL","267","25","5","10.1%","24.3%",".108",".276",".212",".302",".320",".280","73","1.1","29.4%","81.1%","36.6%"
"CIN","263","27","4","8.4%","24.3%",".078",".297",".225",".305",".303",".274","68","-0.9","31.1%","86.0%","36.0%"
"MIA","221","24","5","9.5%","22.6%",".128",".236",".204",".283",".332",".274","76","0.8","28.5%","87.0%","38.3%"
"TBR","260","25","4","6.2%","28.5%",".170",".256",".207",".258",".378",".273","77","0.2","30.8%","78.2%","38.5%"
"NYM","258","23","2","10.9%","24.8%",".150",".213",".181",".276",".332",".267","73","-1.6","31.6%","84.1%","41.5%"
"ARI","260","31","2","6.5%","22.7%",".092",".279",".217",".274",".308",".260","62","0.3","35.2%","90.1%","35.7%"
"CHW","245","21","1","6.5%","26.9%",".101",".278",".211",".262",".311",".254","62","-0.1","34.6%","82.5%","33.7%"
"TEX","189","16","1","6.9%","19.6%",".121",".212",".195",".254",".316",".253","59","-0.3","31.2%","84.7%","36.2%"
"STL","220","17","4","6.4%","22.3%",".080",".260",".209",".269",".289",".249","59","-0.3","35.1%","83.1%","29.2%"
"CHC","229","14","0","6.6%","31.0%",".144",".148",".135",".211",".279",".220","40","-0.2","34.2%","82.9%","39.9%"
