"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"MIA","50.1","7.51","2.32","0.72",".225","85.6%","1.79","3.55","4.27","0.91"
"HOU","55.0","8.51","3.27","0.65",".216","80.6%","1.96","3.31","3.78","0.98"
"WSN","59.0","7.47","1.68","0.92",".239","90.5%","1.98","3.44","3.82","0.95"
"LAD","54.0","10.17","3.00","0.33",".289","76.0%","2.67","2.45","3.40","1.13"
"STL","56.0","8.84","4.18","0.64",".255","80.4%","2.89","3.69","4.11","1.18"
"NYM","65.0","10.94","2.63","1.66",".264","90.7%","3.05","4.15","3.14","1.08"
"SEA","65.0","9.00","1.94","1.11",".259","78.5%","3.18","3.46","3.52","1.00"
"NYY","54.0","8.33","3.17","1.33",".276","81.6%","3.33","4.47","4.43","1.24"
"CIN","60.1","11.04","3.73","1.49",".276","77.8%","3.88","4.21","4.05","1.24"
"MIN","53.0","9.34","2.38","1.36",".294","74.8%","3.91","3.96","4.20","1.21"
"BOS","52.0","9.52","3.29","1.04",".336","69.0%","4.15","3.77","3.99","1.46"
"OAK","52.0","9.52","2.60","1.38",".294","73.9%","4.33","3.98","3.84","1.21"
"TBR","61.1","9.68","1.76","1.17",".337","62.3%","4.40","3.35","2.86","1.24"
"SFG","63.0","7.86","2.00","1.14",".280","58.6%","4.43","3.84","4.12","1.17"
"COL","64.0","5.63","3.52","1.13",".267","69.5%","4.50","4.81","4.67","1.31"
"CHW","60.1","9.85","3.58","1.49",".321","66.2%","4.62","4.43","4.38","1.43"
"CLE","61.0","10.03","3.39","1.03",".288","66.5%","4.72","3.76","3.97","1.23"
"SDP","60.0","8.25","3.00","0.75",".337","69.1%","4.80","3.52","4.20","1.43"
"PIT","51.0","8.29","2.82","1.59",".286","70.9%","4.94","4.80","4.20","1.27"
"CHC","60.0","8.55","4.95","1.50",".234","68.2%","4.95","5.14","4.53","1.32"
"MIL","63.0","8.71","3.43","1.14",".303","66.0%","5.00","4.22","3.88","1.37"
"TEX","45.0","8.20","3.40","2.20",".304","75.6%","5.00","5.72","4.27","1.47"
"PHI","50.0","8.82","3.42","1.80",".279","71.9%","5.04","5.19","4.60","1.34"
"TOR","61.1","8.80","3.23","2.49",".242","77.7%","5.14","6.09","4.35","1.29"
"LAA","61.0","9.44","4.87","0.89",".319","67.0%","5.16","4.27","4.81","1.51"
"KCR","54.0","8.50","2.33","1.67",".346","72.1%","5.33","4.63","4.09","1.46"
"ATL","50.0","9.00","2.52","1.26",".299","62.7%","5.40","3.95","4.49","1.24"
"DET","61.0","7.67","2.95","1.62",".353","70.9%","5.75","4.89","4.40","1.61"
"BAL","59.0","8.54","3.51","1.53",".314","57.1%","6.86","4.80","4.69","1.49"
"ARI","59.0","7.17","5.95","1.98",".354","62.4%","8.39","6.58","6.01","2.05"
