"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"COL","1045","125","5","7.8%","20.5%",".153",".303",".257",".324",".410",".328","100","-2.4","32.3%","85.9%","37.4%"
"LAA","1110","139","18","10.0%","24.8%",".164",".297",".241",".322",".405",".326","118","-5.7","26.3%","83.9%","37.2%"
"NYY","1010","123","17","9.4%","22.4%",".171",".278",".241",".318",".412",".326","119","-0.5","33.3%","83.9%","48.8%"
"NYM","1140","136","13","8.9%","20.3%",".128",".306",".255",".335",".384",".325","118","-0.5","31.8%","85.7%","34.3%"
"CLE","1057","132","14","8.3%","19.7%",".144",".303",".257",".323",".400",".323","116","-3.3","31.8%","87.4%","34.3%"
"PHI","1029","122","15","8.1%","23.1%",".158",".297",".247",".313",".405",".321","107","3.7","33.8%","84.1%","42.9%"
"LAD","971","134","16","10.9%","21.4%",".149",".284",".239",".324",".388",".320","111","3.4","26.7%","85.5%","41.2%"
"MIN","1054","117","5","9.3%","23.5%",".152",".290",".238",".317",".390",".318","113","-5.6","31.0%","85.6%","41.3%"
"TBR","1078","130","21","8.6%","23.8%",".149",".304",".245",".316",".395",".318","118","-2.9","30.5%","82.5%","41.4%"
"MIL","1064","138","16","9.0%","24.8%",".170",".279",".232",".308",".402",".318","105","1.7","28.5%","84.7%","40.8%"
"SEA","1091","118","17","10.1%","21.0%",".151",".269",".230",".314",".381",".313","114","0.1","31.0%","86.3%","36.8%"
"SFG","1051","131","15","9.7%","22.0%",".137",".280",".237",".318",".374",".312","106","1.8","29.4%","83.4%","39.0%"
"ATL","1100","122","12","8.9%","25.3%",".169",".274",".226",".301",".394",".311","100","-1.5","34.4%","81.6%","40.7%"
"MIA","1053","111","16","9.1%","23.9%",".142",".287",".231",".312",".373",".309","105","0.7","34.3%","84.4%","36.0%"
"TOR","1094","115","13","7.3%","22.9%",".155",".281",".237",".300",".392",".309","102","3.2","33.2%","85.1%","44.3%"
"WSN","1126","125","9","8.0%","20.1%",".112",".306",".254",".319",".366",".309","98","-2.0","34.0%","85.5%","36.1%"
"STL","1050","121","26","8.8%","19.8%",".130",".281",".239",".313",".368",".308","104","5.7","34.7%","84.6%","32.7%"
"SDP","1095","127","14","11.1%","22.4%",".135",".271",".223",".319",".359",".307","103","1.7","29.0%","87.7%","36.7%"
"HOU","1065","110","10","9.9%","22.3%",".166",".249",".217",".297",".383",".305","106","-1.2","30.3%","86.7%","41.4%"
"CHC","987","103","6","9.4%","24.0%",".130",".293",".232",".312",".362",".304","97","-2.3","31.7%","84.4%","40.3%"
"BAL","1053","96","15","8.4%","25.0%",".114",".301",".232",".308",".347",".297","96","2.3","33.6%","83.3%","40.6%"
"PIT","995","102","10","8.7%","25.0%",".118",".298",".233",".301",".352",".295","92","0.5","30.0%","87.0%","38.9%"
"ARI","1056","100","13","10.5%","25.1%",".153",".232",".193",".284",".346",".286","83","3.4","28.5%","85.9%","38.1%"
"TEX","962","109","16","7.9%","21.6%",".121",".262",".222",".288",".343",".285","90","6.7","30.5%","83.8%","39.4%"
"CHW","964","89","15","6.0%","20.0%",".126",".260",".225",".281",".351",".284","89","2.2","34.8%","85.5%","44.0%"
"BOS","1071","95","4","6.1%","21.7%",".114",".277",".228",".279",".342",".277","79","0.2","35.5%","83.2%","39.3%"
"KCR","911","78","14","7.6%","19.4%",".097",".265",".222",".286",".319",".275","80","1.2","32.5%","84.2%","37.4%"
"CIN","999","100","7","7.8%","26.4%",".122",".262",".204",".277",".326",".275","73","-8.0","33.2%","84.4%","33.8%"
"DET","972","78","4","8.4%","25.1%",".085",".290",".220",".291",".305",".273","80","-6.5","33.6%","84.0%","34.0%"
"OAK","997","96","16","7.0%","27.0%",".113",".260",".200",".264",".314",".262","77","3.3","34.0%","83.7%","38.2%"
