"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"MIL","236","44","3","10.6%","24.2%",".240",".328",".279",".369",".520",".391","154","-0.4","28.3%","84.5%","51.0%"
"WSN","230","30","3","7.4%","19.1%",".174",".350",".304",".360",".478",".371","139","-0.2","35.8%","84.1%","43.7%"
"BAL","220","25","3","5.0%","22.3%",".172",".333",".281",".323",".453",".342","128","0.7","40.5%","86.8%","44.6%"
"PIT","188","22","1","9.0%","26.1%",".208",".286",".238",".314",".446",".338","121","0.2","27.1%","89.1%","46.7%"
"HOU","242","28","2","13.2%","21.5%",".206",".245",".225",".326",".431",".338","130","-0.4","30.2%","85.4%","42.4%"
"CLE","228","31","5","9.6%","11.4%",".106",".301",".276",".352",".382",".332","123","-0.7","30.0%","90.3%","33.9%"
"LAD","188","32","0","12.8%","20.2%",".155",".295",".248",".340",".404",".331","118","0.3","27.5%","83.3%","49.2%"
"ARI","222","27","5","11.7%","24.8%",".176",".295",".238",".327",".415",".331","114","0.8","31.8%","87.7%","41.1%"
"MIN","245","23","1","7.8%","19.6%",".156",".299",".257",".327",".413",".330","121","-1.2","30.1%","89.9%","41.0%"
"TBR","276","40","5","6.9%","21.7%",".165",".308",".260",".319",".425",".330","128","-1.9","31.8%","80.7%","37.1%"
"STL","263","32","4","9.9%","19.0%",".162",".274",".239",".316",".402",".321","113","0.8","34.8%","86.4%","30.6%"
"SFG","222","22","1","11.7%","15.8%",".121",".255",".237",".329",".358",".313","106","-0.1","31.8%","86.3%","34.6%"
"PHI","186","16","3","4.8%","21.5%",".131",".313",".261",".301",".392",".310","100","0.5","33.3%","87.8%","40.4%"
"NYM","254","28","1","7.9%","20.9%",".135",".275",".235",".303",".370",".304","104","-0.1","32.3%","84.3%","36.5%"
"CIN","225","33","3","8.4%","30.7%",".162",".294",".217",".298",".379",".304","93","-0.9","33.9%","85.0%","30.3%"
"CHW","224","20","5","6.3%","18.3%",".102",".288",".249",".312",".350",".298","98","0.9","35.3%","86.7%","44.8%"
"ATL","255","33","5","9.0%","27.8%",".150",".272",".216",".290",".366",".296","89","0.0","35.4%","78.3%","39.0%"
"MIA","256","28","4","5.9%","19.9%",".141",".242",".214",".273",".355",".283","87","0.6","36.1%","84.7%","36.8%"
"TOR","249","23","1","8.8%","23.7%",".116",".276",".214",".286",".330",".280","82","-0.2","33.6%","85.8%","40.7%"
"TEX","145","13","2","4.8%","29.0%",".147",".270",".213",".262",".360",".280","87","0.7","32.9%","82.9%","42.6%"
"BOS","219","14","0","5.9%","22.8%",".114",".280",".223",".279",".337",".278","79","-0.7","33.3%","79.5%","37.3%"
"NYY","181","17","6","8.8%","22.1%",".148",".214",".191",".267",".340",".275","83","0.6","31.5%","84.8%","50.8%"
"COL","215","21","1","4.7%","20.0%",".109",".271",".228",".271",".337",".274","64","-0.5","33.5%","86.7%","40.0%"
"KCR","179","15","0","3.9%","17.3%",".078",".295",".251",".279",".329",".271","77","0.1","34.8%","90.3%","37.9%"
"LAA","250","29","2","10.0%","30.4%",".126",".239",".185",".273",".311",".268","77","-1.2","25.0%","82.2%","34.7%"
"SDP","219","18","2","13.7%","24.2%",".106",".227",".181",".292",".287",".268","77","0.9","27.0%","90.3%","35.3%"
"SEA","244","16","3","7.8%","18.0%",".131",".211",".198",".263",".329",".267","82","-0.9","31.1%","90.3%","38.3%"
"CHC","169","7","2","7.1%","27.8%",".103",".217",".167",".231",".269",".230","47","-0.3","33.4%","85.5%","45.0%"
"DET","205","11","1","5.9%","26.8%",".068",".241",".177",".224",".245",".213","38","-1.5","36.3%","83.7%","31.2%"
"OAK","204","12","4","5.9%","30.4%",".048",".228",".159",".216",".206",".197","31","0.8","36.3%","81.8%","31.3%"
