"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYY","3262","450","58","10.2%","21.9%",".199",".273",".245",".327",".444",".334","119","-2.6","31.0%","84.1%","43.5%"
"LAD","3249","429","58","10.0%","22.0%",".180",".298",".253",".330",".433",".332","116","12.2","28.5%","84.4%","41.9%"
"ATL","3286","416","48","7.9%","24.4%",".194",".298",".251",".316",".445",".330","110","4.5","34.8%","82.3%","43.7%"
"HOU","3181","384","41","9.6%","19.8%",".188",".269",".243",".322",".431",".328","117","-9.2","31.2%","86.9%","39.9%"
"TOR","3293","397","32","8.0%","20.7%",".173",".297",".257",".323",".430",".328","110","-0.6","31.6%","85.3%","44.1%"
"MIN","3324","404","14","8.8%","21.7%",".170",".297",".254",".324",".424",".327","113","-10.7","31.4%","86.3%","43.1%"
"BOS","3319","410","31","7.8%","20.8%",".155",".310",".261",".325",".416",".322","106","-1.7","33.7%","84.8%","41.3%"
"PHI","3249","409","53","8.5%","22.2%",".171",".289",".247",".315",".418",".320","104","6.7","33.6%","85.4%","40.7%"
"MIL","3266","396","55","9.2%","23.5%",".177",".279",".237",".316",".413",".319","103","0.3","29.1%","85.2%","39.2%"
"NYM","3266","409","30","7.9%","19.7%",".145",".297",".255",".325",".400",".318","110","-0.4","32.7%","86.1%","36.9%"
"CHC","3292","376","57","8.9%","23.1%",".153",".301",".246",".322",".398",".316","102","-1.4","31.6%","83.4%","38.1%"
"COL","3260","381","19","7.8%","20.5%",".142",".306",".257",".320",".400",".316","89","-7.3","33.8%","87.6%","36.4%"
"SFG","3193","396","38","9.9%","23.1%",".159",".280",".235",".320",".395",".314","105","2.3","29.2%","84.4%","38.5%"
"STL","3340","394","59","8.2%","20.5%",".149",".291",".249",".317",".398",".314","105","6.1","34.6%","86.2%","34.7%"
"SEA","3283","354","48","9.5%","22.6%",".152",".282",".234",".317",".386",".310","107","-5.6","30.4%","86.0%","35.3%"
"MIA","3133","359","70","7.6%","23.5%",".150",".293",".242",".306",".392",".307","100","1.3","34.3%","85.1%","37.7%"
"TEX","3097","372","66","7.5%","22.9%",".160",".280",".240",".300",".400",".306","99","12.5","33.0%","83.1%","40.0%"
"WSN","3290","341","33","8.4%","19.3%",".126",".293",".248",".317",".374",".305","94","-18.7","33.8%","85.9%","35.4%"
"CIN","3164","367","41","7.5%","23.8%",".139",".297",".240",".308",".379",".303","89","-7.7","33.2%","85.7%","36.8%"
"CLE","3130","358","52","7.8%","18.6%",".136",".285",".246",".310",".382",".303","97","2.6","32.7%","87.8%","34.4%"
"CHW","3198","360","35","6.3%","20.6%",".124",".306",".255",".311",".379",".303","98","2.2","35.9%","85.9%","39.7%"
"LAA","3203","347","48","8.3%","26.3%",".157",".290",".232",".302",".389",".302","96","-1.2","29.5%","82.9%","38.3%"
"SDP","3322","378","26","9.1%","21.9%",".132",".291",".239",".314",".371",".302","97","4.1","31.7%","86.2%","35.4%"
"KCR","3141","328","49","8.2%","20.5%",".135",".287",".241",".307",".377",".301","93","-0.6","32.4%","85.8%","37.3%"
"TBR","3160","350","58","8.1%","23.7%",".142",".293",".238",".304",".380",".301","100","0.4","32.3%","83.9%","38.5%"
"ARI","3194","367","35","9.4%","23.2%",".161",".262",".222",".301",".383",".300","90","15.1","28.5%","85.9%","36.7%"
"BAL","3260","360","52","7.5%","23.9%",".151",".283",".231",".299",".382",".299","92","7.1","35.0%","85.0%","39.5%"
"PIT","3114","316","35","8.2%","25.6%",".153",".271",".221",".289",".373",".291","87","-1.7","30.8%","86.6%","38.2%"
"DET","3036","270","22","6.8%","23.6%",".107",".289",".230",".288",".337",".277","78","-8.7","35.3%","85.4%","35.8%"
"OAK","3096","273","52","7.0%","23.4%",".118",".257",".209",".271",".327",".266","74","0.9","33.6%","84.6%","35.1%"
