"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"ATL","68.0","8.60","3.18","0.79",".271","91.0%","1.59","3.53","3.70","1.16"
"PHI","53.0","6.62","2.89","0.17",".227","84.0%","1.70","3.01","4.23","0.98"
"SEA","56.0","8.04","2.41","0.80",".294","87.1%","2.09","3.39","3.64","1.20"
"NYM","65.1","9.92","2.20","0.69",".258","78.9%","2.34","2.81","3.19","0.92"
"MIA","64.2","6.96","2.78","0.84",".236","74.7%","2.78","3.92","4.01","1.07"
"LAD","64.0","8.72","1.83","1.13",".209","75.3%","2.95","3.63","3.41","0.84"
"DET","70.0","5.91","2.44","0.64",".259","72.4%","3.09","3.70","4.70","1.13"
"ARI","63.0","7.57","3.00","0.57",".263","69.6%","3.29","3.44","4.51","1.14"
"STL","62.0","7.26","2.32","1.16",".274","79.3%","3.34","3.99","3.93","1.16"
"CIN","75.0","9.60","2.88","0.84",".322","78.3%","3.36","3.46","3.62","1.27"
"BAL","65.0","9.42","2.63","1.25",".283","80.1%","3.60","3.83","3.66","1.18"
"OAK","54.0","6.50","2.00","1.17",".272","77.5%","3.67","4.07","4.79","1.17"
"HOU","62.0","8.13","2.76","1.31",".250","71.9%","3.77","4.20","3.88","1.11"
"LAA","49.2","9.60","3.44","0.54",".301","68.6%","3.81","2.96","3.68","1.27"
"CHC","60.2","9.20","3.71","1.48",".259","72.1%","3.86","4.69","4.22","1.27"
"TBR","52.1","10.32","1.89","1.20",".351","75.2%","3.96","3.47","3.18","1.34"
"SFG","60.0","8.70","3.45","0.45",".300","67.3%","4.05","2.97","3.66","1.28"
"MIL","55.0","11.45","3.60","1.47",".297","74.9%","4.09","3.94","3.17","1.25"
"TOR","59.0","7.78","3.51","1.68",".220","70.1%","4.12","5.17","4.52","1.14"
"CHW","65.0","8.03","3.46","1.66",".259","75.5%","4.29","4.92","4.11","1.26"
"COL","59.0","7.47","4.42","1.22",".289","73.5%","4.73","4.73","4.36","1.44"
"TEX","53.2","7.55","3.69","1.51",".317","67.2%","4.86","5.12","4.63","1.53"
"CLE","57.1","8.01","3.61","0.63",".353","62.9%","4.87","3.49","3.99","1.60"
"NYY","52.2","8.89","2.39","1.71",".282","66.0%","4.96","4.45","3.60","1.25"
"PIT","61.0","9.59","3.39","1.62",".374","73.6%","5.02","4.55","3.72","1.62"
"SDP","55.0","10.15","3.93","1.31",".311","69.2%","5.07","4.27","4.20","1.42"
"MIN","53.0","7.98","3.23","1.53",".338","69.2%","5.26","4.78","4.24","1.49"
"WSN","62.0","8.85","3.48","1.89",".330","71.1%","5.66","5.12","4.27","1.53"
"BOS","64.0","8.58","4.78","1.13",".317","63.5%","5.91","4.51","4.61","1.55"
"KCR","60.2","7.42","5.04","1.78",".326","72.7%","5.93","5.86","4.79","1.75"
