"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","6948.0","3","0","2","1","-1","5","35","21","65","987","807",".818","356","","9.9","4.3","0.3","4.9","5.5","15.0","6.7","28.9"
"Twins","6678.0","2","-1","-2","-2","11","6","19","16","50","982","800",".815","356","","5.2","9.2","0.0","13.7","-5.6","17.3","9.3","20.5"
"Royals","6540.0","1","1","0","-1","0","3","18","10","29","1071","854",".797","306","","7.8","-0.3","1.2","7.8","8.0","16.7","4.8","16.7"
"Dodgers","6789.0","3","2","1","1","6","7","43","31","94","951","774",".814","338","","9.4","10.6","-0.2","4.2","-0.7","13.9","11.6","15.9"
"Phillies","6660.0","0","0","5","1","3","-4","-3","-1","4","1070","859",".803","265","","6.9","3.7","-1.1","-0.6","5.0","7.0","3.8","15.0"
"Rays","6789.0","3","0","-1","3","7","2","24","14","49","919","740",".805","339","","4.9","6.7","0.1","4.3","-1.4","9.7","7.1","13.6"
"Cubs","6687.0","-2","-1","0","5","4","0","7","3","13","1032","856",".830","270","","-11.4","2.1","3.1","2.6","6.6","14.5","4.4","13.5"
"Athletics","6909.0","-6","-3","1","-6","6","-2","14","8","12","1106","911",".824","290","","-11.4","5.2","-1.0","0.8","8.0","13.0","5.6","12.0"
"Red Sox","6789.0","5","2","2","-1","5","9","-27","6","3","983","806",".820","262","","17.5","10.1","-1.8","-3.4","2.6","7.5","6.3","10.5"
"Astros","6801.0","0","1","0","-2","-2","12","30","32","70","925","756",".817","350","","-5.9","-0.7","-3.8","9.1","4.4","8.9","3.7","7.9"
"Angels","6678.0","-4","-5","-1","-2","-3","-1","9","4","-4","1012","836",".826","291","","-9.7","-1.4","-2.4","3.2","7.8","7.2","1.6","7.2"
"Padres","6558.0","15","5","0","-2","2","-2","-10","-6","1","1053","838",".796","284","","26.9","-1.2","-1.4","3.9","4.3","5.5","0.7","6.5"
"Marlins","6546.0","1","-1","0","2","-5","3","8","0","7","990","802",".810","268","","1.8","1.5","2.0","1.5","0.0","5.0","2.2","6.0"
"Cardinals","6459.0","-6","-3","2","2","1","-1","21","16","37","975","804",".825","258","","-6.9","3.6","1.2","2.8","0.2","7.9","4.2","4.0"
"Rangers","6669.0","-5","1","-5","5","-4","-6","-20","8","-26","1088","866",".796","264","","-17.6","-1.9","2.9","0.8","6.8","8.6","1.4","3.6"
"Giants","6582.0","6","-1","-2","-4","3","1","27","8","38","995","809",".813","277","","14.2","1.5","-0.7","8.1","-4.4","4.4","2.1","1.4"
"Indians","6492.0","9","1","-1","-1","1","3","-4","16","22","914","745",".815","293","","8.9","0.1","-1.0","-1.2","2.1","-0.1","0.1","0.9"
"Reds","6372.0","4","-1","-3","3","2","3","20","14","38","902","720",".798","290","","7.6","-3.0","2.1","2.3","2.2","3.7","-0.3","-1.3"
"Yankees","6498.0","-3","0","1","1","-2","5","-18","-3","-21","944","728",".771","323","","-9.3","-2.5","1.6","-0.6","-3.1","-4.5","-2.8","-3.5"
"Rockies","6768.0","-8","1","3","3","-8","-4","-5","16","-1","1057","849",".803","331","","-10.9","-5.5","1.7","-1.3","-0.9","-6.0","-3.7","-4.0"
"Brewers","6771.0","6","-1","-4","1","-2","9","15","4","27","927","730",".788","312","","15.6","0.8","1.0","1.7","-5.1","-1.6","-0.4","-4.6"
"Blue Jays","6606.0","4","2","1","-3","1","-3","-26","11","-12","1021","812",".795","303","","12.0","-1.4","-1.9","-13.0","4.3","-12.0","-3.8","-7.0"
"White Sox","6204.0","-6","2","2","3","-1","-4","-31","9","-23","931","746",".801","303","","-19.5","-3.7","0.6","-2.2","-7.8","-13.1","-5.5","-11.1"
"Tigers","6288.0","-2","2","0","-3","-5","-2","-18","5","-26","1026","812",".791","269","","-9.1","-7.3","-0.2","-5.3","0.3","-12.6","-6.4","-11.6"
"Braves","6792.0","8","2","-2","-1","-3","-3","11","-2","8","1035","830",".802","303","","18.3","-2.2","-0.8","-7.7","0.4","-10.3","-3.6","-13.3"
"Pirates","6507.0","-6","-1","0","-1","-3","-6","-8","7","-18","972","773",".795","298","","-17.0","-0.5","0.5","-4.4","-9.3","-13.6","-5.3","-13.6"
"Orioles","6516.0","-14","-1","2","4","-13","-12","-30","0","-62","995","809",".813","366","","-17.9","-12.7","1.0","0.1","-8.8","-20.5","-11.2","-17.5"
"Nationals","6510.0","-4","1","-1","-1","1","-1","-32","3","-35","950","775",".816","274","","-6.7","-5.9","-1.8","-9.1","-0.3","-17.1","-7.9","-18.1"
"Mets","6729.0","-7","1","0","1","4","-7","-47","-6","-65","1033","823",".797","262","","-9.7","-0.8","0.4","-8.9","-3.7","-13.0","-4.1","-29.7"
"Mariners","6972.0","-4","-4","-1","-4","-8","-8","-32","-1","-67","1179","930",".789","327","","-10.2","-8.3","-1.5","-14.0","-15.2","-39.0","-11.7","-43.0"
