"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","758.1","9.03","2.49","0.94",".265","77.5%","2.96","3.44","3.64","1.07"
"HOU","752.2","8.87","2.91","0.91",".256","76.7%","2.97","3.56","3.79","1.09"
"NYY","772.0","9.12","2.60","0.93",".264","78.7%","3.04","3.42","3.54","1.08"
"TBR","756.2","8.83","2.59","1.17",".272","74.8%","3.35","3.84","3.76","1.15"
"ATL","782.1","9.64","3.28","0.83",".295","72.9%","3.57","3.40","3.62","1.23"
"SEA","771.2","8.53","2.86","1.27",".276","77.8%","3.58","4.11","3.98","1.21"
"SDP","780.1","8.97","3.11","0.98",".273","73.7%","3.64","3.72","3.82","1.18"
"PHI","765.0","8.89","3.05","0.93",".289","72.4%","3.73","3.65","3.79","1.22"
"NYM","765.2","9.49","2.88","1.12",".290","74.9%","3.76","3.71","3.59","1.20"
"STL","778.2","7.39","3.18","1.01",".281","75.5%","3.77","4.10","4.11","1.27"
"MIN","779.1","8.16","2.97","1.17",".277","74.9%","3.78","4.08","4.14","1.23"
"MIL","770.1","9.63","3.25","1.12",".288","72.9%","3.79","3.77","3.58","1.24"
"MIA","741.2","8.66","3.22","1.07",".282","72.6%","3.80","3.96","3.88","1.24"
"BOS","770.1","8.62","3.15","1.07",".282","73.3%","3.81","3.94","4.01","1.24"
"LAA","766.2","8.48","3.18","1.13",".278","72.6%","3.94","4.03","3.97","1.24"
"BAL","768.2","7.47","2.86","1.08",".293","72.8%","3.96","4.10","4.20","1.29"
"TEX","737.1","8.20","3.48","1.00",".287","72.1%","3.97","4.04","4.05","1.30"
"SFG","745.0","8.37","2.68","0.81",".306","68.9%","3.99","3.39","3.65","1.27"
"CLE","734.1","8.31","3.11","1.16",".285","71.8%","4.01","4.11","4.06","1.27"
"DET","743.0","7.75","3.13","1.02",".279","70.9%","4.01","3.98","4.24","1.25"
"CHW","757.0","9.32","3.71","1.14",".297","70.7%","4.10","4.00","3.95","1.33"
"TOR","771.0","8.40","2.80","1.19",".295","71.9%","4.13","4.04","3.91","1.27"
"ARI","760.0","7.38","3.19","1.10",".287","69.6%","4.30","4.25","4.41","1.32"
"OAK","760.1","7.69","3.31","1.14",".288","71.6%","4.36","4.28","4.35","1.33"
"CHC","767.0","8.94","3.38","1.37",".299","68.9%","4.67","4.36","3.95","1.35"
"PIT","753.0","8.21","3.78","1.18",".306","68.9%","4.76","4.40","4.33","1.44"
"COL","757.0","7.12","3.28","1.11",".309","66.5%","4.96","4.32","4.36","1.43"
"KCR","738.0","7.46","4.10","1.15",".305","69.5%","4.99","4.60","4.62","1.49"
"WSN","773.0","7.95","3.80","1.46",".306","69.4%","5.16","4.85","4.46","1.48"
"CIN","753.2","9.00","3.83","1.43",".304","69.2%","5.30","4.67","4.35","1.42"
