"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYY","259","47","8","10.4%","20.8%",".258",".374",".323",".395",".581",".417","177","-0.1","28.3%","86.8%","41.2%"
"MIN","251","40","1","10.0%","18.3%",".257",".296",".284",".363",".541",".388","156","-0.8","29.8%","88.9%","45.8%"
"HOU","274","41","1","12.0%","16.8%",".217",".286",".268",".355",".485",".361","140","-1.8","30.5%","87.8%","38.7%"
"ATL","270","38","8","8.1%","19.6%",".187",".328",".289",".348",".476",".356","128","1.4","35.2%","80.6%","45.4%"
"LAD","259","36","4","10.0%","19.7%",".194",".298",".264",".347",".458",".350","128","0.5","28.1%","84.1%","43.3%"
"TEX","238","36","3","9.2%","20.6%",".191",".292",".263",".333",".455",".339","124","0.2","34.5%","84.5%","43.0%"
"SEA","224","35","4","8.9%","22.8%",".189",".303",".259",".330",".448",".336","125","-0.1","29.8%","87.5%","43.7%"
"BOS","272","36","1","6.3%","24.3%",".183",".320",".267",".317",".450",".333","113","-0.7","35.5%","83.4%","40.6%"
"KCR","265","32","4","8.7%","23.4%",".150",".327",".267",".332",".417",".329","113","0.0","31.4%","86.2%","33.0%"
"CLE","268","27","2","7.5%","17.2%",".134",".305",".268",".333",".402",".323","111","-1.2","34.1%","88.5%","36.0%"
"ARI","258","38","4","9.7%","19.0%",".140",".309",".263",".333",".404",".323","107","0.8","27.5%","87.1%","39.1%"
"BAL","266","38","5","9.0%","21.4%",".122",".333",".266",".340",".388",".321","108","1.6","33.6%","84.5%","39.0%"
"CHW","261","32","0","5.7%","20.3%",".133",".320",".270",".323",".402",".318","108","-1.0","39.0%","85.5%","39.2%"
"NYM","280","32","1","6.8%","17.5%",".161",".276",".248",".315",".409",".318","111","-0.8","35.0%","88.4%","34.0%"
"CIN","297","32","1","6.7%","30.0%",".162",".325",".241",".312",".402",".313","96","-1.4","36.4%","86.3%","38.9%"
"TBR","240","25","3","12.1%","25.4%",".130",".308",".232",".333",".362",".312","109","-0.5","28.8%","81.8%","42.9%"
"PHI","214","24","1","7.5%","23.4%",".186",".268",".237",".294",".423",".309","97","-0.1","31.1%","83.1%","42.2%"
"MIL","225","22","7","10.7%","27.6%",".152",".285",".218",".311",".371",".300","90","0.8","29.3%","80.0%","32.4%"
"DET","293","39","7","8.5%","21.2%",".106",".303",".249",".317",".355",".299","94","-0.2","32.1%","87.5%","38.2%"
"SFG","273","31","4","10.6%","25.3%",".145",".267",".214",".313",".359",".296","91","1.0","29.2%","80.7%","36.7%"
"PIT","250","25","1","6.8%","28.8%",".178",".267",".213",".272",".391",".288","85","-1.3","31.0%","87.8%","37.7%"
"TOR","258","17","5","3.9%","19.4%",".126",".277",".244",".279",".370",".283","79","0.0","34.7%","86.2%","40.3%"
"CHC","258","29","7","6.6%","26.4%",".179",".245",".201",".266",".380",".283","79","0.3","33.8%","77.9%","39.1%"
"COL","253","21","4","5.9%","21.7%",".145",".247",".209",".265",".353",".271","59","-0.3","35.0%","91.1%","42.8%"
"LAA","219","16","9","6.8%","26.5%",".082",".287",".219",".289",".301",".267","71","1.8","30.8%","81.4%","41.8%"
"MIA","250","18","8","5.2%","23.6%",".117",".262",".213",".259",".330",".260","68","1.2","34.6%","85.8%","37.5%"
"WSN","258","16","3","7.8%","19.4%",".094",".249",".209",".276",".302",".259","64","-1.3","35.1%","85.2%","31.7%"
"SDP","220","13","1","10.5%","24.5%",".066",".271",".209",".291",".276",".258","67","0.0","33.5%","85.4%","35.7%"
"STL","267","11","2","8.6%","21.7%",".068",".257",".208",".285",".275",".252","65","0.3","35.3%","81.8%","30.8%"
"OAK","194","18","1","7.7%","18.6%",".134",".165",".163",".242",".297",".242","59","0.2","35.7%","89.3%","38.8%"
