"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Mets","5","1","3","25","6","54.0","9.33","3.33","0.67",".301","78.2 %","44.9 %","6.7 %","3.00","3.23","4.45","1.5"
"Indians","5","2","1","25","7","67.2","7.98","2.66","0.67",".271","79.2 %","41.6 %","7.2 %","2.66","3.52","4.57","1.5"
"Mariners","6","1","2","25","7","64.0","8.16","0.70","1.41",".257","87.2 %","48.9 %","16.9 %","2.67","3.73","3.51","1.5"
"Astros","4","2","1","23","6","55.0","9.82","2.45","0.82",".250","81.6 %","45.5 %","10.0 %","2.29","3.10","3.71","1.4"
"Tigers","0","6","0","29","6","58.0","11.79","3.72","1.09",".347","72.2 %","38.4 %","12.3 %","4.66","3.63","3.99","1.4"
"Blue Jays","2","4","0","31","6","58.0","8.84","3.41","0.93",".349","67.8 %","43.4 %","10.2 %","4.97","3.80","4.45","1.2"
"Red Sox","5","2","1","30","7","62.0","10.16","4.21","0.87",".323","69.1 %","46.5 %","10.9 %","4.35","3.63","4.12","1.1"
"Rangers","3","4","1","25","7","59.1","8.95","3.34","1.37",".265","72.1 %","45.7 %","14.3 %","4.10","4.48","4.59","1.1"
"Nationals","4","3","2","30","7","63.0","9.43","3.43","1.00",".270","72.9 %","40.5 %","11.5 %","3.86","3.82","4.27","1.0"
"Marlins","4","2","1","22","6","53.0","9.51","2.89","1.02",".222","70.8 %","34.1 %","9.8 %","3.74","3.78","4.57","0.9"
"Padres","2","4","0","27","6","54.0","8.67","4.67","0.67",".303","79.3 %","46.1 %","8.3 %","3.50","3.93","4.72","0.8"
"Cubs","2","4","1","35","6","55.1","8.30","3.42","0.81",".272","75.4 %","34.0 %","7.8 %","3.58","3.97","5.07","0.7"
"Cardinals","5","2","3","30","7","64.0","8.44","3.80","0.98",".317","70.0 %","43.8 %","10.9 %","5.06","4.28","4.82","0.7"
"Twins","4","3","1","25","7","63.0","8.71","2.57","1.57",".363","69.0 %","40.7 %","14.7 %","5.57","4.42","4.49","0.7"
"Giants","4","2","3","27","6","59.0","9.15","2.44","1.37",".262","79.0 %","40.7 %","15.5 %","3.66","4.19","4.14","0.7"
"Phillies","3","2","0","22","5","51.0","10.76","4.24","1.24",".293","67.0 %","48.0 %","15.9 %","3.88","4.27","4.18","0.7"
"Angels","3","3","2","33","6","61.0","7.97","3.84","1.03",".318","66.5 %","43.3 %","10.9 %","5.02","4.33","4.90","0.6"
"Diamondbacks","3","3","2","24","6","52.2","10.59","1.88","1.88",".300","85.8 %","40.6 %","21.2 %","3.59","4.27","3.50","0.5"
"Athletics","3","4","1","31","7","63.0","8.00","3.57","1.43",".304","64.2 %","38.5 %","15.4 %","6.14","4.90","4.86","0.5"
"Reds","4","2","4","26","6","53.0","9.34","4.75","1.19",".319","71.0 %","43.4 %","14.9 %","5.09","4.57","4.59","0.5"
"Rockies","2","5","1","27","7","58.0","7.14","4.03","1.40",".294","75.9 %","43.2 %","14.8 %","4.66","5.21","5.26","0.5"
"Braves","2","3","0","21","5","44.0","11.25","3.07","1.84",".336","74.9 %","42.4 %","22.5 %","4.50","4.48","3.61","0.5"
"Dodgers","2","3","1","20","5","44.0","8.39","3.68","1.23",".315","73.4 %","45.3 %","13.6 %","4.09","4.57","4.76","0.5"
"Brewers","3","3","2","25","6","55.0","10.80","2.45","1.96",".314","59.4 %","36.5 %","21.4 %","6.22","4.70","3.87","0.4"
"Orioles","4","3","2","33","7","67.1","7.35","4.28","1.47",".263","74.1 %","38.7 %","13.1 %","4.68","5.19","5.52","0.4"
"White Sox","2","5","0","25","7","63.0","8.14","1.57","2.14",".228","67.4 %","50.8 %","24.2 %","4.71","5.18","4.02","0.4"
"Royals","3","3","3","26","6","59.0","7.32","3.20","1.37",".313","75.3 %","44.6 %","15.8 %","4.42","4.91","4.82","0.2"
"Rays","3","3","3","31","6","56.0","8.84","3.05","1.93",".297","69.1 %","39.4 %","16.2 %","5.79","5.12","4.93","0.2"
"Yankees","3","4","2","31","7","60.0","9.45","3.90","3.45",".382","56.8 %","36.1 %","27.7 %","10.35","7.51","5.25","-0.8"
"Pirates","0","7","0","30","7","61.0","7.97","3.10","2.80",".222","63.2 %","35.3 %","20.9 %","5.75","6.79","5.67","-0.8"
