"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","45","33","19","338","78","702.1","9.30","2.97","0.94",".277","76.6 %","45.9 %","11.9 %","3.24","3.58","3.93","12.1"
"Dodgers","54","25","25","315","79","704.1","9.01","2.24","1.15",".260","76.0 %","45.1 %","14.0 %","3.19","3.71","3.82","11.9"
"Twins","50","27","23","310","77","689.0","8.62","2.86","1.18",".294","73.1 %","41.1 %","12.8 %","3.97","4.05","4.33","11.4"
"Reds","36","40","18","341","76","674.0","9.77","3.41","1.08",".291","77.0 %","44.8 %","13.9 %","3.61","3.82","3.93","10.9"
"Red Sox","42","37","16","349","79","718.1","10.00","3.28","1.22",".303","71.6 %","42.5 %","13.3 %","4.27","3.97","4.19","10.6"
"Astros","49","30","21","297","79","708.2","10.16","2.73","1.49",".258","77.2 %","42.8 %","17.0 %","3.72","4.08","3.82","10.4"
"Yankees","49","28","27","318","77","686.0","9.34","3.11","1.48",".284","76.1 %","44.0 %","16.3 %","4.01","4.38","4.20","10.1"
"Indians","42","35","23","327","77","677.1","9.59","2.90","1.36",".286","75.4 %","40.1 %","14.5 %","3.85","4.11","4.16","10.0"
"Athletics","41","38","17","348","80","723.2","7.81","3.32","1.13",".276","72.2 %","40.6 %","11.0 %","4.22","4.34","4.92","9.5"
"Nationals","37","40","18","333","77","679.1","9.57","3.30","1.30",".304","70.2 %","41.6 %","13.7 %","4.66","4.20","4.37","8.9"
"Diamondbacks","39","40","16","324","79","719.0","8.64","3.12","1.21",".300","72.4 %","42.9 %","13.8 %","4.34","4.18","4.31","8.3"
"Mets","37","41","18","304","78","696.1","9.22","3.36","1.29",".307","69.9 %","42.6 %","13.4 %","4.67","4.25","4.45","7.9"
"Cubs","42","35","18","327","77","690.0","8.66","3.55","1.19",".291","74.8 %","47.5 %","15.2 %","3.91","4.25","4.22","7.8"
"Brewers","42","36","22","338","78","707.1","9.40","3.50","1.40",".304","71.7 %","42.3 %","16.2 %","4.71","4.41","4.24","7.1"
"Rangers","42","36","20","317","78","697.0","8.38","3.60","1.46",".312","72.3 %","41.1 %","14.8 %","4.89","4.77","4.78","7.0"
"Rockies","40","37","13","350","77","699.0","8.27","3.44","1.45",".307","70.1 %","47.1 %","17.3 %","5.15","4.70","4.40","6.1"
"Marlins","30","46","18","313","76","682.1","8.56","3.67","1.16",".287","73.6 %","41.4 %","12.3 %","4.22","4.33","4.68","5.6"
"Tigers","26","47","21","332","74","653.2","8.11","3.37","1.53",".303","69.5 %","43.5 %","15.5 %","4.96","4.86","4.78","5.5"
"Cardinals","40","37","22","337","77","683.2","8.64","3.50","1.30",".283","74.0 %","46.4 %","16.7 %","4.15","4.44","4.23","5.5"
"Padres","38","40","30","337","78","692.2","8.76","2.64","1.40",".294","69.9 %","44.1 %","15.1 %","4.60","4.29","4.25","5.3"
"Pirates","36","40","21","322","76","680.0","8.95","3.77","1.36",".311","68.6 %","41.2 %","14.1 %","5.08","4.57","4.69","5.2"
"White Sox","36","39","18","319","75","645.2","8.32","3.86","1.51",".300","71.0 %","39.8 %","14.7 %","5.00","4.91","4.93","5.0"
"Royals","27","51","13","311","78","684.1","7.94","3.70","1.24",".305","70.9 %","43.4 %","13.5 %","4.94","4.64","4.82","4.9"
"Braves","46","32","21","360","78","702.2","8.61","3.77","1.26",".293","72.3 %","44.6 %","14.3 %","4.23","4.51","4.58","4.5"
"Blue Jays","29","49","15","339","78","691.2","8.35","3.88","1.46",".300","71.7 %","45.4 %","16.0 %","4.80","4.86","4.72","3.9"
"Angels","39","40","20","348","79","697.0","8.91","3.58","1.69",".282","73.0 %","38.2 %","16.1 %","4.98","4.99","4.80","3.5"
"Phillies","39","38","21","327","77","687.0","8.52","3.45","1.69",".298","76.8 %","43.1 %","18.0 %","4.51","5.01","4.58","2.7"
"Mariners","35","47","18","348","82","730.1","7.79","3.35","1.69",".303","66.1 %","42.6 %","16.5 %","5.36","5.13","4.89","2.3"
"Giants","33","43","21","327","76","677.1","8.49","3.36","1.47",".294","70.9 %","41.2 %","16.0 %","4.68","4.71","4.55","1.8"
"Orioles","22","56","14","319","78","688.0","7.81","3.85","2.04",".293","67.8 %","40.5 %","18.4 %","5.93","5.84","5.28","0.0"
