"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1125","3063","128","415","404","26","10.0 %","20.1 %",".206",".299",".266",".346",".472",".344","115","2.5","61.7","41.1","19.8"
"Twins","1064","3009","147","440","424","19","7.9 %","20.1 %",".231",".297",".271",".338",".502",".351","118","-6.1","64.0","11.6","17.7"
"Astros","1081","3058","128","405","396","37","9.9 %","17.9 %",".206",".288",".267",".343",".473",".344","120","-4.9","71.4","-0.5","17.5"
"Braves","1159","3069","121","427","412","27","9.4 %","21.6 %",".197",".308",".266",".341",".463",".339","106","2.0","27.3","16.5","14.0"
"Diamondbacks","1133","3130","117","405","386","42","7.9 %","21.7 %",".195",".298",".257",".323",".452",".326","98","3.6","-6.5","41.1","13.3"
"Red Sox","1139","3157","111","423","399","45","9.8 %","21.3 %",".183",".307",".263",".340",".446",".333","104","1.8","16.5","8.4","13.3"
"Angels","1157","3070","113","401","381","30","9.5 %","17.0 %",".179",".282",".260",".338",".439",".330","110","-2.5","34.7","-7.0","13.3"
"Rays","1119","3016","97","359","341","46","8.6 %","24.2 %",".171",".318",".259",".331",".430",".325","105","2.5","22.4","3.4","12.9"
"Cubs","1100","2971","120","389","374","23","10.1 %","23.4 %",".194",".297",".252",".336",".446",".331","103","-2.3","8.0","27.1","12.9"
"Brewers","1150","3058","135","390","382","50","10.0 %","24.4 %",".200",".295",".251",".332",".451",".331","102","3.6","10.1","18.8","12.5"
"Athletics","1148","3086","121","399","374","27","8.6 %","19.9 %",".190",".275",".248",".321",".438",".322","103","0.1","12.4","-0.5","11.8"
"Yankees","1075","2936","126","425","403","32","9.6 %","23.1 %",".194",".301",".259",".335",".453",".334","107","-2.2","25.2","-15.9","11.0"
"Mariners","1156","3207","144","435","423","55","9.7 %","24.9 %",".208",".288",".246",".325",".454",".330","111","5.1","49.7","-53.8","10.6"
"Rangers","1090","3028","109","435","412","65","9.4 %","25.3 %",".194",".317",".257",".334",".450",".332","100","11.4","12.1","-10.9","10.5"
"Mets","1162","3015","109","371","360","31","8.6 %","23.4 %",".178",".301",".252",".326",".430",".322","103","-7.8","2.2","2.3","10.0"
"Phillies","1108","2939","91","360","342","26","9.8 %","22.5 %",".171",".287",".240",".320",".412",".311","90","1.4","-36.6","34.6","9.1"
"Cardinals","1142","2924","95","355","332","54","9.2 %","22.1 %",".159",".287",".243",".321",".402",".311","91","7.4","-27.0","21.8","8.8"
"Padres","1137","2889","112","343","331","38","7.9 %","26.5 %",".182",".296",".241",".306",".423",".309","91","-7.1","-41.8","34.9","8.5"
"Nationals","1108","2931","107","383","366","43","8.6 %","22.6 %",".181",".299",".254",".327",".436",".323","96","1.3","-16.3","-0.5","7.7"
"Royals","1063","2921","78","333","322","78","7.6 %","22.9 %",".159",".297",".245",".308",".403",".303","86","4.9","-45.2","11.6","6.8"
"Pirates","1135","2942","75","346","339","29","7.0 %","20.8 %",".154",".314",".263",".320",".417",".312","92","2.5","-27.4","-2.9","6.4"
"Rockies","1138","3031","101","434","419","27","7.7 %","23.9 %",".190",".329",".269",".330",".460",".332","88","-0.7","-48.7","10.5","5.9"
"Indians","1093","2877","97","341","316","56","9.8 %","22.6 %",".167",".278",".236",".317",".404",".308","87","7.4","-38.9","-4.9","5.6"
"White Sox","1062","2760","86","322","306","40","6.8 %","25.1 %",".151",".316",".254",".312",".405",".307","92","4.6","-23.2","-28.0","4.5"
"Reds","1160","2845","106","334","323","33","8.3 %","23.6 %",".176",".276",".235",".308",".411",".305","84","-9.2","-68.8","20.7","4.3"
"Blue Jays","1101","2898","102","318","300","21","8.3 %","24.7 %",".167",".268",".225",".293",".392",".293","81","-2.4","-71.2","-11.8","1.9"
"Giants","1116","2819","70","299","292","23","8.1 %","23.7 %",".145",".273",".224",".291",".369",".283","74","-4.4","-99.2","25.8","1.8"
"Marlins","1101","2833","60","267","259","23","6.6 %","23.7 %",".117",".297",".238",".297",".355",".282","75","-9.7","-101.6","23.1","1.3"
"Orioles","1116","2931","91","313","291","41","7.1 %","23.8 %",".156",".286",".237",".299",".393",".296","83","-2.3","-66.5","-34.0","0.3"
"Tigers","1058","2747","64","260","247","32","7.3 %","26.2 %",".149",".294",".230",".291",".379",".286","76","0.8","-82.2","-22.4","-0.8"
