"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","250","650","33","102","98","3","11.2 %","18.5 %",".247",".300",".282",".372",".529",".377","135","0.3","30.2","6.1","5.6"
"Mariners","243","701","38","124","122","19","9.1 %","23.3 %",".253",".322",".284",".355",".537",".374","145","4.9","43.1","-19.9","4.7"
"Rays","217","593","19","70","67","15","9.3 %","25.1 %",".173",".334",".266",".340",".439",".334","116","4.3","15.8","6.1","4.2"
"Athletics","268","687","34","94","91","6","7.6 %","17.9 %",".207",".270",".258",".322",".465",".334","115","-1.7","11.0","2.7","3.7"
"Astros","201","564","22","64","64","8","9.4 %","20.2 %",".195",".326",".284",".353",".479",".355","131","-3.6","17.6","-1.7","3.5"
"Braves","202","544","18","75","70","5","12.7 %","21.3 %",".179",".317",".267",".364",".446",".347","111","1.3","8.8","7.5","3.3"
"Phillies","197","509","18","76","74","2","13.4 %","21.8 %",".194",".293",".249",".356",".443",".338","108","1.6","7.0","7.3","3.0"
"Mets","220","567","18","88","84","8","10.8 %","25.4 %",".177",".341",".266",".357",".443",".345","116","1.5","13.3","-1.3","3.0"
"Cubs","215","565","23","86","82","9","11.2 %","23.4 %",".189",".326",".272",".359",".461",".353","116","1.6","13.2","-2.2","2.9"
"Yankees","196","532","26","71","69","4","11.3 %","23.7 %",".210",".298",".260",".350",".469",".350","122","-1.3","13.0","-4.0","2.7"
"Brewers","210","575","27","77","77","7","10.1 %","22.4 %",".202",".298",".261",".345",".463",".343","108","1.5","7.5","1.1","2.7"
"Diamondbacks","212","590","23","79","75","7","6.9 %","22.5 %",".204",".309",".264",".321",".468",".334","102","-2.6","-0.9","7.1","2.5"
"Cardinals","211","536","20","69","61","9","9.0 %","25.4 %",".195",".286",".236",".316",".431",".320","96","3.7","0.8","3.4","2.1"
"Twins","165","420","14","59","53","3","7.9 %","20.2 %",".196",".310",".268",".340",".464",".342","115","-2.6","5.0","0.4","2.0"
"Nationals","199","512","21","80","76","8","9.6 %","25.0 %",".203",".309",".257",".336",".460",".339","106","0.5","4.2","-1.3","1.9"
"Royals","207","530","14","65","62","16","7.4 %","20.8 %",".176",".288",".246",".309",".422",".311","95","3.2","0.1","-1.3","1.7"
"Padres","236","574","23","60","60","7","8.5 %","24.9 %",".193",".274",".232",".303",".425",".311","91","-2.7","-9.7","7.2","1.5"
"Angels","221","538","15","59","57","5","9.7 %","16.5 %",".133",".233",".215",".302",".348",".283","82","-0.7","-12.3","5.2","1.2"
"Rangers","181","482","17","64","62","9","9.8 %","28.0 %",".182",".311",".241",".324",".422",".323","97","-3.8","-5.8","-0.7","1.0"
"Pirates","199","503","11","47","46","10","8.9 %","22.3 %",".142",".297",".240",".318",".382",".303","86","1.7","-7.8","1.7","1.0"
"Red Sox","220","572","16","69","60","9","9.3 %","19.8 %",".153",".279",".241",".315",".394",".305","88","-1.8","-10.2","-0.9","0.9"
"Orioles","221","566","15","71","62","5","8.3 %","22.6 %",".144",".277",".230",".301",".374",".294","84","0.9","-10.3","-1.4","0.8"
"White Sox","190","484","16","59","57","8","7.9 %","26.2 %",".158",".298",".238",".302",".396",".303","92","0.1","-4.5","-9.5","0.3"
"Blue Jays","214","535","13","52","47","3","8.4 %","29.0 %",".138",".266",".201",".280",".339",".271","69","1.1","-19.0","-0.3","-0.1"
"Marlins","218","527","15","45","45","5","6.5 %","24.7 %",".133",".284",".232",".289",".364",".284","77","-3.8","-20.0","2.3","-0.1"
"Giants","238","589","10","47","46","4","6.5 %","24.6 %",".120",".262",".208",".268",".328",".258","58","-2.2","-34.9","12.7","-0.4"
"Reds","204","457","18","47","46","2","8.3 %","25.6 %",".189",".237",".203",".279",".392",".287","72","-1.3","-18.2","-0.1","-0.4"
"Tigers","193","513","6","36","33","6","9.2 %","26.5 %",".109",".266",".199",".279",".308",".260","61","-1.1","-25.2","1.4","-0.6"
"Indians","210","493","10","44","40","7","11.0 %","28.8 %",".120",".246",".185",".276",".306",".257","56","2.5","-24.1","-0.8","-0.8"
"Rockies","230","571","9","42","40","3","6.7 %","26.4 %",".109",".265",".203",".261",".313",".250","36","-1.8","-50.2","2.4","-3.0"
