"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Giants","1332.0","2","0","1","-2","2","1","20","2","26","187","156",".834","61","","4.4","1.9","0.0","3.1","1.3","6.3","15.1","8.3"
"Rays","1215.0","1","0","1","-1","1","2","2","2","9","146","122",".836","53","","1.5","0.3","0.1","3.4","1.3","5.1","12.6","7.1"
"Athletics","1455.0","-2","-2","1","0","4","0","1","2","5","242","200",".826","55","","-2.6","4.1","0.6","-3.0","3.3","5.0","12.2","6.0"
"Angels","1161.0","0","-2","0","0","-1","5","3","1","5","167","143",".856","51","","0.5","0.6","1.2","3.1","1.0","6.0","11.2","6.0"
"Padres","1278.0","0","1","-1","-2","3","1","11","1","14","180","144",".800","60","","-0.8","1.3","-0.6","4.1","1.0","5.8","14.8","4.8"
"Braves","1107.0","0","0","1","0","1","1","10","3","15","174","149",".856","40","","0.7","0.0","-0.3","0.8","2.1","2.5","4.8","4.3"
"Diamondbacks","1215.0","0","1","0","0","-1","-1","9","7","13","168","138",".821","58","","1.4","1.3","-0.2","1.1","0.3","2.5","8.1","3.9"
"Phillies","1044.0","0","1","1","0","0","-1","-14","-2","-15","170","127",".747","45","","2.0","1.6","0.1","1.5","-0.7","2.5","14.5","3.5"
"Tigers","1125.0","1","-1","2","0","2","0","9","3","15","149","129",".866","39","","0.4","-2.8","-0.3","3.1","0.9","0.9","-11.7","2.9"
"Orioles","1188.0","-3","0","3","1","0","0","-14","1","-10","190","149",".784","69","","-2.4","0.7","0.1","-3.2","1.1","-1.4","-1.2","2.6"
"Rangers","1020.0","0","0","-1","0","-1","-1","2","-1","-1","177","137",".774","45","","-3.3","-0.7","0.6","3.3","-0.6","2.6","1.9","2.6"
"Dodgers","1296.0","1","1","0","0","1","-1","2","3","6","199","164",".824","46","","1.2","2.0","-0.3","-2.9","2.7","1.5","8.9","1.5"
"Blue Jays","1203.0","1","1","0","0","1","0","-7","7","3","165","139",".842","55","","2.6","-1.1","0.2","0.3","0.9","0.4","-3.7","1.4"
"Cardinals","1125.0","0","1","0","0","0","-1","6","6","13","160","138",".863","45","","-1.3","1.2","0.0","-0.3","0.2","1.0","6.0","1.0"
"Rockies","1254.0","-1","0","2","0","-1","0","3","4","7","193","155",".803","65","","-1.2","-2.2","0.4","0.9","-0.3","-1.1","-5.7","0.9"
"Indians","1089.0","1","1","-1","0","1","1","4","-1","6","150","121",".807","46","","0.4","-0.2","0.0","0.6","1.0","1.5","2.5","0.5"
"Twins","873.0","-1","0","0","-1","1","-2","-1","0","-3","126","101",".802","35","","-1.4","0.7","0.1","0.5","-0.4","1.0","4.7","-0.4"
"Red Sox","1149.0","-1","0","-1","-1","2","-1","-8","1","-9","191","158",".827","44","","0.7","0.5","-0.8","0.5","0.2","0.4","2.8","-0.6"
"Astros","1170.0","0","1","-1","0","0","0","8","4","13","155","125",".807","67","","1.4","0.1","-0.5","1.6","-0.8","0.4","2.3","-0.6"
"Royals","1125.0","1","0","-1","0","1","2","-3","1","0","163","135",".828","45","","2.2","-0.1","0.0","-0.4","0.7","0.2","0.5","-0.8"
"Marlins","1170.0","0","1","1","0","-1","1","-9","-2","-9","185","143",".773","43","","1.7","0.4","0.1","-0.7","-1.9","-2.1","-5.0","-1.1"
"Yankees","1083.0","-1","1","0","0","0","-1","-9","0","-11","181","141",".779","44","","-4.4","0.2","-0.2","-0.4","0.3","-0.1","0.5","-1.1"
"Pirates","1062.0","0","-1","1","0","-1","-2","-1","2","-3","151","128",".848","44","","0.0","-0.2","0.4","2.3","-5.1","-2.6","-9.3","-1.6"
"Cubs","1074.0","-1","1","1","0","0","-2","-3","4","0","168","138",".821","42","","-2.6","-1.4","0.6","-2.0","-1.2","-4.0","-13.0","-2.0"
"Brewers","1188.0","1","-1","-1","0","0","1","8","4","12","156","124",".795","56","","0.7","0.0","-0.2","-0.6","-0.1","-1.0","-2.4","-2.0"
"Reds","1029.0","0","-1","-2","0","-2","2","7","-2","2","142","117",".824","44","","1.0","-2.9","0.9","0.0","1.3","-0.7","-10.4","-2.7"
"Nationals","1053.0","-1","0","2","0","-2","0","-7","1","-7","146","114",".781","50","","-1.7","-2.1","-0.6","-3.4","0.5","-5.6","-17.1","-3.6"
"Mets","1119.0","-2","1","0","0","2","-3","-8","0","-9","171","133",".778","45","","-1.8","1.0","-0.7","-3.9","-0.2","-3.7","-3.6","-3.7"
"White Sox","990.0","1","0","-2","0","-1","-2","-6","2","-10","153","119",".778","49","","-1.2","-0.8","-0.5","-2.2","-2.0","-5.5","-11.8","-8.5"
"Mariners","1404.0","-1","-3","-1","-2","-4","-2","-13","2","-26","253","199",".787","57","","0.4","-3.4","-0.6","-7.3","-5.9","-17.2","-24.3","-19.2"
