"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","7578.0","2","-1","2","-1","-1","7","32","24","65","1065","872",".819","380","","11.9","6.3","0.0","6.3","6.0","18.5","6.9","35.4"
"Royals","7341.0","1","1","0","1","-1","2","16","7","23","1204","951",".790","345","","5.8","-0.2","2.1","7.7","11.7","21.2","4.5","21.2"
"Phillies","7362.0","1","0","5","1","3","-5","-4","1","4","1153","933",".809","299","","5.3","6.9","-2.9","2.8","5.2","12.0","5.1","20.0"
"Twins","7425.0","3","0","-3","0","11","8","25","16","60","1077","876",".813","382","","4.1","11.2","0.4","18.3","-10.2","19.7","8.4","19.9"
"Rays","7698.0","4","-1","-1","3","7","0","23","16","47","1006","812",".807","369","","8.8","7.8","0.5","5.6","-3.7","10.2","5.6","17.9"
"Athletics","7656.0","-6","-3","1","-6","7","-2","10","10","13","1211","999",".825","317","","-12.7","6.2","-2.0","3.6","9.0","16.8","5.5","17.8"
"Angels","7392.0","-5","-6","0","-1","-3","-3","12","2","-5","1106","912",".825","315","","-12.4","2.1","0.1","7.2","6.0","15.4","3.9","16.4"
"Cubs","7377.0","-3","0","-1","5","3","4","6","4","15","1143","941",".823","291","","-13.4","1.0","5.9","2.6","4.8","14.3","3.0","12.3"
"Dodgers","7518.0","4","2","1","1","5","4","39","34","89","1047","847",".809","362","","12.0","7.8","-0.2","7.0","-5.6","9.1","5.9","11.1"
"Padres","7386.0","18","4","0","-2","1","-4","-8","-4","2","1164","931",".800","322","","30.7","-4.2","-0.5","8.9","3.8","8.0","-0.1","9.0"
"Indians","7140.0","12","2","-1","-2","0","4","-3","16","25","997","815",".818","307","","10.1","-0.2","-1.5","2.1","4.3","4.7","1.0","6.7"
"Astros","7545.0","-1","1","1","-2","-1","12","23","30","62","1003","817",".815","382","","-8.0","-2.9","-5.1","9.2","3.6","4.7","0.3","4.7"
"Cardinals","7179.0","-8","-2","2","4","0","0","27","18","47","1059","871",".823","288","","-9.3","3.7","2.2","0.6","3.9","10.5","4.0","4.2"
"Giants","7317.0","8","-1","-1","-5","3","-1","24","9","36","1106","895",".809","307","","17.4","2.5","-3.5","10.0","-2.9","6.1","2.5","4.1"
"Red Sox","7509.0","5","2","2","-3","5","7","-28","6","-3","1077","887",".824","281","","20.5","9.4","-3.2","-6.2","0.9","0.9","2.9","2.9"
"Marlins","7239.0","2","-2","0","2","-7","4","6","0","3","1063","862",".811","289","","2.5","-2.1","1.1","3.4","-0.1","2.4","0.1","2.4"
"Brewers","7578.0","6","-3","-2","3","0","8","17","4","32","1027","812",".791","349","","20.1","1.2","1.6","4.1","-4.9","2.0","0.9","1.0"
"Reds","7110.0","4","1","-2","3","3","5","23","14","47","991","791",".798","317","","6.5","-1.4","1.6","2.3","1.6","4.1","0.6","0.1"
"Rangers","7488.0","-6","2","-5","3","-5","-8","-21","8","-33","1208","960",".795","293","","-21.2","-5.5","3.2","-0.5","5.9","3.1","-0.9","-2.9"
"Rockies","7389.0","-8","1","3","4","-7","-3","-3","18","5","1149","926",".806","355","","-10.4","-4.9","1.6","-1.8","-3.6","-8.7","-3.4","-6.7"
"White Sox","6861.0","-5","1","2","4","-2","-2","-31","9","-21","1036","831",".802","331","","-16.7","-1.0","3.0","-3.8","-7.1","-8.8","-2.7","-6.8"
"Yankees","7233.0","-4","0","1","0","-2","5","-14","-6","-22","1048","806",".769","356","","-11.1","-3.7","2.2","-4.8","-1.9","-8.3","-3.5","-7.3"
"Nationals","7257.0","-5","2","-1","-1","4","0","-31","3","-30","1043","852",".817","297","","-8.9","-2.0","-3.3","-6.8","2.0","-10.1","-2.9","-11.1"
"Braves","7521.0","10","1","-2","0","-1","-3","14","-1","14","1137","913",".803","341","","20.8","1.9","-0.2","-11.3","1.7","-7.9","-0.9","-11.9"
"Blue Jays","7407.0","5","2","2","-1","-1","-3","-25","11","-9","1135","905",".797","339","","14.8","-2.4","-2.7","-19.9","6.4","-18.6","-4.7","-12.6"
"Pirates","7299.0","-7","-2","1","0","0","-5","-10","7","-15","1078","857",".795","319","","-20.1","-0.1","0.2","-11.1","-7.0","-18.0","-5.4","-17.0"
"Tigers","7014.0","-3","2","-1","-3","-5","-5","-22","5","-36","1151","899",".781","297","","-10.1","-9.0","-1.1","-9.6","2.4","-17.3","-6.5","-18.3"
"Orioles","7299.0","-15","-2","2","3","-14","-11","-32","-2","-70","1111","898",".808","401","","-19.8","-16.5","1.5","-1.7","-12.4","-29.1","-12.2","-27.1"
"Mariners","7674.0","-4","-4","-1","-4","-6","-12","-30","-1","-67","1285","1017",".791","359","","-13.7","-9.8","-1.6","-7.2","-14.0","-32.6","-8.6","-36.6"
"Mets","7368.0","-9","1","-1","0","3","-5","-48","-2","-67","1110","886",".798","279","","-10.3","-2.0","0.4","-17.0","-4.8","-23.5","-5.8","-44.8"
