"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1344","3651","151","492","477","30","9.7 %","20.5 %",".205",".296",".263",".342",".467",".339","112","3.0","59.8","40.8","21.3"
"Twins","1269","3596","171","520","500","24","7.7 %","20.5 %",".225",".301",".272",".336",".497",".348","116","-5.2","67.7","9.8","19.9"
"Astros","1293","3615","147","473","462","43","9.7 %","18.1 %",".202",".292",".269",".343",".471",".343","119","-5.7","79.4","-7.2","19.5"
"Red Sox","1341","3688","135","519","490","51","9.4 %","20.9 %",".190",".314",".271",".344",".462",".339","107","1.4","35.4","3.9","16.5"
"Angels","1363","3613","137","479","457","35","9.4 %","17.8 %",".182",".286",".262",".338",".444",".330","110","-4.5","40.6","0.7","16.4"
"Braves","1373","3629","148","503","486","37","9.2 %","22.3 %",".201",".306",".263",".337",".464",".336","105","1.3","22.8","24.0","16.0"
"Cubs","1315","3540","143","469","452","24","10.1 %","23.5 %",".198",".301",".255",".337",".453",".333","104","-3.0","16.1","28.3","15.5"
"Rays","1358","3657","121","444","419","59","8.3 %","24.0 %",".175",".313",".256",".327",".431",".322","103","6.4","21.3","4.5","15.1"
"Diamondbacks","1339","3651","133","470","450","50","7.7 %","21.6 %",".189",".298",".257",".321",".446",".322","95","7.6","-15.1","50.2","15.0"
"Athletics","1348","3626","149","485","454","29","8.7 %","19.9 %",".197",".275",".249",".323",".446",".325","105","-2.5","19.1","2.6","14.6"
"Yankees","1266","3467","149","508","485","35","9.6 %","23.0 %",".197",".309",".265",".340",".462",".338","110","-1.5","43.0","-19.6","14.2"
"Brewers","1382","3626","156","444","432","60","9.7 %","24.5 %",".200",".293",".248",".328",".447",".326","99","3.8","-3.1","30.4","14.1"
"Phillies","1329","3532","116","445","424","38","9.6 %","22.5 %",".176",".293",".246",".324",".422",".316","93","3.2","-28.6","41.6","12.4"
"Mariners","1353","3714","160","481","467","65","9.6 %","25.0 %",".202",".284",".241",".319",".443",".322","105","6.1","31.8","-49.6","11.0"
"Padres","1343","3416","143","410","397","46","7.8 %","26.1 %",".189",".290",".241",".306",".430",".310","92","-6.2","-43.7","41.5","10.6"
"Mets","1369","3552","129","428","416","37","8.4 %","23.0 %",".176",".301",".253",".326",".430",".321","102","-10.2","-1.9","-5.7","10.5"
"Rangers","1299","3599","133","505","477","76","9.1 %","26.0 %",".194",".314",".253",".328",".448",".327","97","10.3","-5.5","-19.7","9.9"
"Pirates","1355","3524","102","439","432","34","6.9 %","20.3 %",".167",".317",".270",".326",".437",".321","98","1.8","-7.8","-6.9","9.7"
"Nationals","1301","3476","126","448","426","55","8.7 %","22.0 %",".181",".297",".254",".328",".436",".323","95","0.4","-20.8","7.3","9.7"
"Cardinals","1327","3414","109","399","375","59","8.8 %","22.3 %",".156",".288",".243",".318",".399",".307","89","7.2","-44.1","27.1","9.1"
"Indians","1278","3380","118","401","373","61","9.6 %","22.3 %",".173",".284",".243",".320",".416",".312","90","7.1","-35.2","0.2","8.2"
"Royals","1272","3488","90","394","377","86","7.5 %","23.4 %",".155",".301",".246",".308",".401",".302","85","1.0","-63.8","15.6","7.3"
"White Sox","1262","3256","103","381","365","44","6.6 %","25.2 %",".152",".319",".256",".313",".408",".307","92","6.1","-26.6","-24.0","6.3"
"Rockies","1341","3552","120","502","483","32","7.6 %","24.3 %",".190",".328",".267",".326",".458",".329","86","0.4","-67.2","10.8","5.7"
"Reds","1350","3324","121","387","375","40","7.9 %","23.5 %",".176",".282",".239",".309",".414",".306","85","-9.1","-77.0","23.5","5.3"
"Giants","1341","3386","93","383","373","26","8.1 %","23.2 %",".157",".277",".230",".297",".387",".291","80","-3.9","-94.9","32.2","4.6"
"Blue Jays","1309","3459","128","395","377","29","8.3 %","24.5 %",".175",".274",".232",".298",".407",".299","85","-1.6","-65.7","-17.9","3.7"
"Marlins","1311","3347","71","322","313","25","6.4 %","24.0 %",".120",".301",".240",".297",".360",".283","76","-13.1","-118.1","23.3","1.4"
"Orioles","1316","3459","111","385","362","44","7.1 %","24.2 %",".161",".291",".240",".301",".400",".299","84","-0.4","-69.8","-46.2","0.6"
"Tigers","1269","3281","77","317","302","35","7.2 %","26.0 %",".148",".296",".232",".292",".380",".286","76","0.3","-99.2","-30.5","-1.4"
