"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Yankees","1","2","0","12","3","26.0","11.08","0.69","0.00",".348","84.6 %","47.8 %","0.0 %","1.38","0.97","2.94","1.5"
"Rays","3","1","1","15","4","35.0","12.09","1.29","1.03",".280","79.6 %","48.8 %","14.8 %","2.83","2.43","2.46","1.3"
"Nationals","3","0","1","13","3","27.0","10.67","1.67","0.33",".333","87.0 %","41.4 %","3.7 %","1.67","1.87","3.36","1.1"
"Rangers","3","1","0","19","4","40.0","8.33","3.15","1.13",".288","79.6 %","40.5 %","11.9 %","3.38","4.03","4.47","1.1"
"Giants","2","1","1","15","3","27.2","9.76","2.28","0.33",".407","74.5 %","47.6 %","4.5 %","3.25","2.48","3.57","1.0"
"Royals","2","1","2","11","3","26.0","8.31","2.42","0.69",".268","67.5 %","58.9 %","12.5 %","3.46","3.16","3.38","0.7"
"Athletics","3","0","2","13","3","27.0","6.00","1.67","0.67",".299","86.1 %","44.9 %","6.9 %","2.33","3.39","4.54","0.7"
"Twins","2","1","1","17","3","29.0","10.55","2.79","1.24",".262","87.1 %","44.1 %","15.4 %","2.17","3.79","3.76","0.6"
"Blue Jays","2","1","1","13","3","26.0","6.23","2.08","0.35",".284","85.4 %","39.0 %","3.0 %","2.08","3.36","5.35","0.5"
"Diamondbacks","2","1","2","12","3","26.0","9.00","2.77","1.38",".167","80.5 %","53.0 %","25.0 %","1.73","4.13","3.34","0.4"
"Red Sox","2","1","1","15","3","27.0","12.33","3.33","2.00",".306","76.9 %","33.8 %","18.8 %","5.00","4.68","4.13","0.4"
"Cardinals","1","2","1","10","3","26.0","8.65","2.77","1.73",".123","100.0 %","41.9 %","19.2 %","2.42","5.05","4.52","0.4"
"Cubs","2","1","1","16","3","26.0","9.69","1.73","2.08",".273","92.2 %","45.1 %","27.3 %","3.46","4.63","3.29","0.3"
"Angels","2","1","0","14","3","27.1","8.89","4.28","0.66",".307","71.8 %","43.4 %","9.5 %","4.28","3.71","4.28","0.3"
"Rockies","1","2","1","12","3","26.0","7.96","1.73","1.73",".384","52.8 %","44.4 %","16.7 %","7.96","4.51","4.28","0.3"
"Mets","1","2","1","10","3","26.0","8.65","1.38","2.08",".300","63.9 %","42.1 %","21.4 %","6.23","5.20","4.32","0.3"
"Indians","1","2","0","14","3","27.0","11.00","3.67","1.67",".273","82.8 %","34.3 %","15.2 %","3.00","4.61","4.61","0.2"
"Tigers","0","3","0","12","3","25.0","8.64","3.60","1.44",".319","59.2 %","38.9 %","13.3 %","6.12","4.56","4.84","0.2"
"Phillies","1","2","0","13","3","27.0","6.67","4.33","1.00",".241","78.6 %","45.2 %","10.3 %","3.00","4.61","5.28","0.1"
"Brewers","1","2","0","15","3","27.0","10.67","3.33","2.00",".304","59.4 %","47.9 %","25.0 %","6.00","4.83","3.69","0.1"
"Marlins","1","2","0","14","3","26.0","11.42","5.88","1.38",".305","80.8 %","29.5 %","14.8 %","4.15","4.63","4.67","0.1"
"Padres","1","2","1","15","3","28.0","8.36","2.57","2.25",".260","78.5 %","48.8 %","26.9 %","4.82","5.45","4.03","0.0"
"Orioles","1","3","1","18","4","35.0","6.69","2.57","2.57",".325","53.3 %","39.5 %","19.6 %","8.49","6.46","5.61","0.0"
"Dodgers","1","2","0","14","3","26.0","10.04","1.38","2.42",".242","67.9 %","45.6 %","23.3 %","5.19","4.93","3.70","0.0"
"White Sox","1","2","1","15","3","25.0","5.76","4.32","1.80",".346","69.2 %","58.1 %","26.3 %","6.48","6.08","4.98","-0.1"
"Pirates","1","2","1","11","3","25.0","10.44","5.04","2.16",".328","67.5 %","40.0 %","22.2 %","6.84","5.68","4.69","-0.1"
"Astros","2","2","1","21","4","37.2","11.71","3.82","2.63",".327","67.3 %","46.8 %","28.2 %","6.45","5.75","3.99","-0.2"
"Reds","1","2","0","15","3","26.0","10.73","3.12","3.12",".427","72.2 %","38.3 %","31.0 %","7.62","6.36","4.05","-0.2"
"Braves","3","0","3","12","3","28.0","7.39","5.14","1.61",".243","88.2 %","55.8 %","21.7 %","3.21","5.81","5.10","-0.2"
"Mariners","0","3","0","16","3","25.0","8.28","4.68","2.88",".325","50.3 %","40.5 %","27.6 %","8.28","7.20","5.33","-0.4"
