"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1186.2","8.96","2.59","0.89",".257","77.7%","2.86","3.43","3.71","1.06"
"HOU","1191.1","9.18","2.93","0.85",".266","77.0%","2.98","3.42","3.71","1.11"
"TBR","1177.2","8.80","2.38","1.05",".277","75.0%","3.27","3.61","3.64","1.13"
"NYY","1200.1","8.94","2.63","0.98",".266","76.2%","3.32","3.57","3.63","1.11"
"ATL","1209.2","9.63","3.09","0.88",".289","74.1%","3.44","3.41","3.56","1.20"
"SEA","1199.0","8.53","2.78","1.12",".281","77.3%","3.49","3.88","3.95","1.19"
"NYM","1201.2","9.50","2.79","1.03",".296","76.1%","3.54","3.57","3.56","1.20"
"CLE","1173.1","8.55","2.83","1.09",".277","73.4%","3.65","3.85","3.83","1.19"
"STL","1188.2","7.35","3.01","0.92",".283","74.1%","3.76","3.95","4.01","1.25"
"BAL","1177.2","7.66","2.69","1.07",".294","74.7%","3.77","3.99","4.07","1.27"
"LAA","1191.0","8.61","3.40","1.05",".277","72.6%","3.83","3.98","4.02","1.25"
"MIL","1183.2","9.47","3.32","1.19",".283","72.9%","3.87","3.96","3.72","1.24"
"SDP","1199.0","9.01","2.95","1.04",".289","72.7%","3.88","3.78","3.85","1.23"
"TOR","1177.0","8.80","2.65","1.17",".297","73.8%","3.88","3.89","3.78","1.24"
"MIA","1177.2","8.88","3.24","1.05",".295","73.0%","3.89","3.90","3.79","1.28"
"PHI","1186.1","8.97","2.98","0.93",".298","71.2%","3.91","3.61","3.74","1.24"
"SFG","1168.0","8.59","2.79","0.87",".308","69.4%","3.91","3.51","3.64","1.28"
"MIN","1170.2","8.42","2.94","1.17",".285","73.5%","3.97","4.04","4.04","1.24"
"CHW","1196.0","8.95","3.38","1.08",".296","71.6%","4.00","3.90","3.94","1.30"
"DET","1169.2","7.54","3.21","1.02",".286","70.4%","4.10","4.11","4.33","1.30"
"TEX","1180.1","8.33","3.67","1.04",".291","71.1%","4.18","4.14","4.08","1.34"
"ARI","1175.0","7.59","3.09","1.05",".287","70.1%","4.20","4.11","4.27","1.29"
"OAK","1189.1","7.55","3.28","1.17",".282","71.6%","4.31","4.36","4.41","1.31"
"CHC","1195.2","8.59","3.41","1.35",".293","72.0%","4.33","4.45","4.06","1.34"
"BOS","1204.0","8.45","3.28","1.10",".301","69.2%","4.51","4.07","4.07","1.34"
"PIT","1166.0","7.87","3.67","1.05",".307","68.6%","4.68","4.28","4.32","1.43"
"KCR","1182.1","7.55","3.86","1.17",".309","70.6%","4.74","4.54","4.46","1.48"
"CIN","1161.2","8.90","3.80","1.38",".301","71.1%","4.93","4.62","4.31","1.40"
"WSN","1173.0","7.99","3.64","1.53",".299","70.4%","5.06","4.92","4.46","1.44"
"COL","1187.1","7.19","3.43","1.17",".310","67.0%","5.06","4.48","4.35","1.45"
