"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"ATL","54.0","10.50","2.17","0.33",".236","87.7%","1.17","1.99","2.70","0.83"
"TBR","46.0","7.83","1.96","0.59",".202","95.0%","1.17","3.01","3.69","0.83"
"SEA","56.0","6.91","1.93","0.00",".280","84.4%","1.61","2.54","4.09","1.04"
"HOU","47.2","10.20","2.83","0.76",".230","89.1%","1.70","2.95","3.36","0.94"
"BAL","53.0","6.45","2.04","0.51",".247","82.3%","2.21","3.15","3.91","1.00"
"STL","57.0","5.68","3.00","0.63",".280","84.1%","2.37","3.82","3.93","1.23"
"TOR","56.0","10.61","1.77","0.64",".326","77.6%","2.89","2.38","2.89","1.05"
"CHW","54.0","9.00","2.17","1.00",".286","78.8%","3.17","3.39","3.44","1.13"
"SFG","54.0","8.83","3.00","0.67",".313","73.0%","3.17","3.17","3.43","1.28"
"LAD","62.0","8.27","3.77","1.02",".246","79.2%","3.19","4.20","4.36","1.19"
"CLE","56.0","8.68","4.02","1.61",".206","80.8%","3.21","4.96","4.10","1.14"
"NYM","54.0","8.50","4.00","0.67",".309","72.8%","3.33","3.63","4.22","1.39"
"CIN","58.0","8.53","4.34","1.40",".240","73.7%","3.72","4.84","4.29","1.24"
"NYY","50.0","7.92","1.80","1.26",".279","73.2%","3.78","3.96","3.75","1.12"
"LAA","57.0","7.74","3.00","1.11",".231","70.1%","3.79","4.10","4.15","1.09"
"WSN","54.0","7.17","3.67","1.17",".275","75.9%","4.00","4.54","4.57","1.31"
"MIL","61.0","8.70","3.10","1.18",".289","75.6%","4.13","4.07","3.76","1.26"
"PIT","52.0","8.48","5.54","0.87",".304","74.4%","4.15","4.50","4.58","1.58"
"MIA","53.2","10.23","3.86","1.68",".338","78.3%","4.19","4.66","3.66","1.51"
"COL","50.1","9.12","3.75","1.79",".244","77.1%","4.29","4.92","3.86","1.23"
"OAK","51.2","8.01","3.48","1.57",".314","72.7%","4.70","4.94","4.54","1.49"
"BOS","61.0","7.82","4.43","1.03",".288","70.7%","4.72","4.39","4.54","1.44"
"KCR","51.0","8.47","3.53","1.94",".310","82.0%","4.76","5.51","4.17","1.47"
"ARI","64.0","8.44","2.95","0.84",".323","63.7%","5.06","3.58","3.79","1.36"
"MIN","52.2","8.37","2.22","1.03",".342","67.1%","5.30","3.65","3.92","1.41"
"CHC","51.1","5.26","4.38","1.93",".224","70.0%","5.61","6.37","5.38","1.38"
"SDP","52.0","10.21","3.98","1.38",".307","66.9%","5.71","4.58","4.58","1.40"
"TEX","50.1","9.66","6.26","0.72",".392","66.7%","5.90","4.15","4.14","1.97"
"DET","54.0","7.67","3.67","2.00",".302","66.5%","6.33","5.69","4.95","1.54"
"PHI","49.2","10.15","5.26","0.91",".392","52.2%","7.97","4.10","4.33","1.89"
