"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","10527.0","2","-2","1","0","0","7","33","34","76","1480","1204",".814","556","","4.6","4.8","-1.4","11.4","5.4","20.1","4.9","35.3"
"Indians","10392.0","16","3","1","-2","6","9","6","14","55","1490","1218",".817","439","","10.8","10.6","-2.3","7.0","10.1","25.4","7.1","32.4"
"Royals","10281.0","1","2","1","1","-2","7","6","4","18","1698","1352",".796","470","","3.9","-2.6","4.1","7.2","12.5","21.3","3.1","26.3"
"Phillies","10341.0","1","-2","7","-1","5","-6","-2","5","11","1606","1292",".805","412","","7.6","7.4","-4.5","7.3","4.8","15.0","4.1","25.0"
"Athletics","10488.0","-8","-3","0","-5","7","-5","22","12","20","1697","1402",".826","424","","-4.9","6.1","-0.5","5.9","14.0","25.4","5.3","24.4"
"Cardinals","10191.0","-14","0","3","2","1","-3","43","24","70","1516","1239",".817","427","","-12.8","2.2","3.7","1.3","8.9","16.1","3.7","24.1"
"Braves","10599.0","14","-1","-3","-2","1","-1","14","-3","14","1645","1304",".793","442","","16.2","3.8","0.9","-23.6","9.3","-9.5","-0.4","17.8"
"Cubs","10332.0","-2","1","0","8","2","6","5","0","15","1598","1303",".815","407","","-6.2","-0.1","7.9","2.4","8.4","18.5","2.9","16.5"
"Rays","10731.0","7","0","1","1","5","4","21","18","53","1445","1150",".796","496","","4.9","7.1","-0.1","2.5","-6.4","3.1","2.3","14.9"
"Red Sox","10650.0","8","0","2","-3","7","3","-31","4","-6","1530","1261",".824","423","","14.6","11.2","-5.2","-1.9","5.5","9.5","3.7","14.5"
"Angels","10554.0","-4","-4","-2","1","-6","-8","0","1","-22","1623","1316",".811","441","","-5.4","2.8","1.1","3.0","6.7","13.6","2.7","12.6"
"Marlins","10227.0","-1","-4","0","0","-8","6","20","6","19","1466","1187",".810","443","","-5.0","-1.1","1.8","11.5","-2.0","10.2","2.2","11.2"
"Twins","10512.0","3","-2","-4","-3","11","4","3","7","18","1583","1272",".804","516","","4.8","8.0","-0.8","15.6","-18.1","4.7","2.1","9.3"
"Giants","10494.0","10","-1","-1","-7","2","7","25","6","41","1614","1307",".810","433","","5.3","-0.2","-4.2","15.0","-0.3","10.2","1.7","7.2"
"Padres","10209.0","19","4","0","-2","1","-4","11","-4","18","1561","1241",".795","459","","12.5","-4.6","-0.9","9.9","1.5","5.9","-0.5","6.9"
"Astros","10599.0","-2","-2","0","-4","-4","20","32","34","70","1422","1159",".815","530","","0.7","-1.4","-6.6","11.1","0.7","3.8","-0.1","1.8"
"Yankees","10473.0","-2","1","2","-2","3","4","-4","-7","-9","1517","1181",".779","512","","-6.0","1.2","1.8","-0.5","-0.5","2.0","0.7","1.0"
"Dodgers","10509.0","9","1","0","2","7","8","59","43","126","1431","1149",".803","507","","10.2","8.4","0.5","6.1","-15.3","-0.4","2.5","-1.4"
"Reds","10191.0","4","1","-3","4","6","3","23","12","47","1429","1132",".792","456","","0.6","-1.6","1.3","-0.2","2.9","2.4","0.2","-4.6"
"Brewers","10452.0","14","-2","-4","0","-2","5","12","4","21","1449","1152",".795","482","","20.8","1.4","1.1","6.0","-7.3","1.2","0.6","-5.8"
"Rangers","10485.0","-8","4","-4","0","-3","-11","-25","9","-38","1703","1356",".796","416","","-11.3","-6.6","1.8","-0.1","3.4","-1.5","-1.4","-6.5"
"Nationals","10317.0","-8","1","-2","-2","6","2","-12","3","-12","1484","1228",".828","466","","-7.8","-0.5","-4.1","-7.1","7.2","-4.6","-1.1","-6.6"
"Blue Jays","10533.0","9","4","2","0","-2","-1","-24","15","4","1600","1277",".798","494","","9.3","-0.3","-3.0","-19.6","7.3","-15.5","-2.7","-7.5"
"White Sox","10164.0","-11","1","2","7","-1","-1","-44","8","-38","1541","1227",".796","488","","-13.5","-0.5","4.9","-4.6","-10.8","-10.9","-2.0","-9.9"
"Rockies","10413.0","-14","1","3","5","-17","-3","6","17","2","1636","1313",".803","512","","-11.3","-13.5","1.0","-0.7","-2.3","-15.5","-5.3","-11.5"
"Tigers","10233.0","-4","2","0","-5","-14","-4","-36","10","-55","1623","1270",".783","462","","-8.8","-14.0","-1.3","-10.9","3.0","-23.2","-6.8","-24.2"
"Mets","10473.0","-10","0","-1","3","5","-10","-59","-1","-80","1572","1265",".805","405","","-5.8","-1.5","3.5","-18.6","-2.5","-19.1","-3.5","-30.1"
"Mariners","10347.0","-5","-1","-1","-4","-2","-12","-40","3","-68","1731","1375",".794","483","","-7.5","-7.7","-2.1","-9.5","-10.5","-29.8","-6.0","-33.8"
"Orioles","10344.0","-18","0","0","4","-17","-12","-46","-2","-91","1576","1282",".814","592","","-15.7","-16.6","2.1","-5.1","-13.5","-33.1","-9.3","-35.1"
"Pirates","10296.0","-7","-4","1","2","-1","-3","-34","7","-42","1538","1199",".780","440","","-9.0","-2.5","0.9","-20.7","-17.9","-40.2","-8.9","-39.2"
