"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"CHW","229","36","0","7.4%","19.2%",".201",".338",".301",".362",".502",".376","148","-0.5","37.6%","87.9%","44.2%"
"WSN","244","35","3","7.8%","21.3%",".172",".362",".299",".361",".471",".362","132","-1.3","34.3%","85.8%","42.9%"
"BOS","281","41","5","10.3%","23.5%",".145",".393",".302",".379",".448",".362","133","0.7","32.5%","83.5%","45.1%"
"KCR","238","31","4","6.7%","23.5%",".221",".325",".272",".333",".493",".356","131","0.0","34.2%","84.9%","35.2%"
"ARI","267","45","3","7.9%","20.2%",".169",".346",".291",".352",".460",".353","125","0.8","34.7%","84.8%","33.9%"
"STL","238","37","6","10.5%","18.1%",".239",".239",".239",".324",".478",".347","127","0.7","33.4%","86.7%","38.1%"
"PHI","238","36","3","8.0%","23.1%",".138",".377",".295",".353",".433",".344","121","-0.6","31.8%","87.1%","42.9%"
"SEA","249","37","1","11.2%","18.1%",".216",".247",".239",".329",".454",".342","130","-0.8","25.0%","87.2%","41.4%"
"ATL","213","25","5","11.3%","31.0%",".230",".297",".235",".324",".465",".340","115","0.3","30.7%","79.6%","56.6%"
"SFG","239","35","0","12.6%","26.4%",".118",".362",".265",".368",".382",".337","119","-0.6","28.7%","86.5%","40.8%"
"CIN","236","29","4","10.2%","14.8%",".161",".277",".265",".340",".427",".332","106","0.0","33.9%","90.2%","33.3%"
"TBR","192","21","4","6.8%","20.3%",".109",".341",".276",".337",".385",".319","114","-0.2","35.4%","83.7%","38.0%"
"OAK","230","24","0","7.4%","21.3%",".130",".314",".261",".325",".391",".317","112","-0.1","33.9%","84.7%","37.9%"
"TOR","239","27","4","11.7%","14.2%",".146",".238",".224",".335",".371",".315","106","-0.4","29.0%","89.6%","47.4%"
"LAD","271","33","5","11.4%","23.6%",".177",".253",".211",".317",".388",".312","102","1.1","27.4%","77.2%","41.8%"
"MIN","222","27","0","10.4%","21.6%",".144",".285",".236",".320",".379",".310","104","-1.7","32.3%","86.0%","37.6%"
"BAL","213","21","5","8.9%","23.5%",".198",".241",".219",".288",".417",".306","101","1.5","31.7%","85.1%","46.5%"
"SDP","234","27","0","12.4%","20.1%",".136",".247",".212",".323",".348",".304","98","0.1","27.1%","86.4%","41.6%"
"HOU","208","23","2","10.1%","20.7%",".099",".299",".243",".325",".343",".298","94","-0.3","36.6%","91.3%","38.0%"
"MIL","263","25","3","9.1%","24.0%",".122",".281",".228",".304",".350",".290","84","0.4","27.7%","84.4%","36.8%"
"NYM","205","19","3","6.3%","17.1%",".150",".253",".235",".283",".385",".288","90","0.2","33.9%","83.7%","39.7%"
"CHC","217","18","4","6.0%","22.1%",".104",".311",".248",".300",".351",".287","83","-0.9","33.6%","84.7%","34.4%"
"TEX","223","19","6","8.1%","21.5%",".118",".265",".225",".287",".343",".280","82","1.6","33.6%","85.2%","35.0%"
"DET","217","15","0","6.5%","22.1%",".098",".262",".216",".286",".314",".268","73","0.0","34.2%","86.0%","34.2%"
"PIT","214","14","1","6.5%","30.4%",".112",".270",".199",".263",".311",".256","60","0.4","33.0%","85.4%","40.2%"
"LAA","214","16","1","6.1%","26.6%",".132",".237",".198",".252",".330",".256","64","-0.7","32.0%","81.4%","28.2%"
"COL","215","15","3","9.3%","28.8%",".098",".264",".191",".270",".289",".254","46","-0.3","35.8%","87.2%","44.7%"
"CLE","220","9","2","7.3%","15.9%",".035",".256",".216",".286",".251",".245","55","-0.2","35.9%","91.3%","21.8%"
"NYY","218","15","1","8.3%","22.9%",".138",".179",".164",".236",".303",".237","55","-0.2","36.9%","82.0%","36.2%"
"MIA","213","8","2","7.5%","26.8%",".072",".234",".174",".239",".246",".222","41","-0.3","33.1%","86.2%","38.8%"
