"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"TOR","52.0","6.92","2.77","0.00",".248","77.4%","1.90","2.58","4.06","1.00"
"SFG","55.0","6.87","2.13","0.65",".263","84.8%","1.96","3.26","3.62","1.11"
"ATL","54.0","11.17","1.17","0.67",".304","81.1%","2.33","2.06","2.40","0.91"
"TBR","53.0","8.15","3.06","0.85",".287","76.7%","2.72","3.63","3.78","1.25"
"BOS","62.2","10.34","3.02","0.72",".287","81.2%","2.73","3.12","3.57","1.13"
"COL","63.0","8.43","2.57","0.57",".255","73.7%","2.86","3.14","3.82","1.02"
"SDP","64.0","8.16","2.67","0.14",".290","70.1%","3.09","2.61","3.79","1.14"
"LAA","64.0","7.45","2.53","0.70",".320","75.6%","3.09","3.48","3.81","1.34"
"MIA","54.0","8.00","2.67","0.83",".321","79.7%","3.17","3.62","3.74","1.35"
"CLE","63.0","8.43","2.29","2.29",".259","90.1%","3.29","5.47","3.67","1.21"
"SEA","53.0","6.96","3.57","1.70",".229","83.3%","3.40","5.46","4.85","1.21"
"PHI","54.0","7.50","3.67","0.67",".272","73.4%","3.50","3.77","4.50","1.28"
"NYY","57.0","8.05","2.21","1.58",".292","83.1%","3.79","4.47","3.57","1.25"
"HOU","54.0","9.67","3.83","1.50",".224","68.6%","3.83","4.77","4.03","1.15"
"DET","45.0","9.20","2.60","1.20",".322","75.6%","4.20","3.83","3.78","1.29"
"CHW","58.0","10.71","3.57","1.55",".308","64.1%","4.34","4.19","3.68","1.34"
"LAD","50.0","9.72","3.06","1.26",".262","68.4%","4.50","4.00","3.72","1.16"
"CIN","59.2","8.75","3.32","1.36",".268","70.2%","4.53","4.56","4.36","1.26"
"STL","52.2","7.18","2.56","0.51",".308","62.7%","4.61","3.25","3.95","1.25"
"TEX","55.0","8.84","3.60","0.33",".349","59.6%","4.91","3.01","4.10","1.49"
"ARI","57.2","8.43","3.12","1.72",".343","72.2%","4.99","4.94","4.33","1.56"
"PIT","50.0","9.54","2.52","1.44",".314","66.9%","5.22","4.12","3.58","1.30"
"WSN","52.1","7.74","3.10","1.89",".312","67.6%","5.50","5.24","4.23","1.49"
"KCR","63.0","8.14","4.14","1.43",".335","70.0%","5.57","4.87","4.40","1.62"
"BAL","43.0","4.60","3.98","2.09",".267","72.2%","5.65","6.46","5.47","1.58"
"MIN","54.0","8.17","4.00","1.83",".310","70.4%","5.83","5.41","4.49","1.54"
"OAK","49.2","6.34","2.17","1.81",".319","60.0%","6.52","5.07","4.21","1.49"
"NYM","51.0","10.94","3.71","1.76",".356","60.6%","6.71","4.55","3.60","1.55"
"MIL","52.0","7.10","3.81","2.77",".323","72.5%","6.75","6.83","4.45","1.73"
"CHC","36.2","8.10","4.42","3.93",".265","64.9%","8.35","8.73","5.56","1.66"
